supplier_type,supplier_id,su_name,sto,own_state,assigned_hub,total_vol,direct_vol,pct_direct,ifr_direct,ifr_local,ifr_lift,del_direct,del_local,del_lift,avg_gain_direct
constrained,22696,Surya GA 30184 (1 Surya Dr),Rugs,GA,MARIETTA LOCAL,113269,7474,0.06598451473924904,0.9910355900454922,0.9560414001628103,0.03499418988268199,0.8862724110248879,0.8690836143737634,0.017188796651124494,0.8709479190653379
constrained,237104,Devion Furniture,APS,CA,CHINO LOCAL,36136,6010,0.16631613903032985,0.6682196339434264,0.9076162889759749,-0.23939665503254848,0.8559068219633945,0.8865905605725006,-0.030683738609106115,0.9537231008494851
constrained,52925,Loloi Rugs GA 30121,Rugs,GA,MARIETTA LOCAL,44462,3587,0.08067563312491566,0.7652634513521035,0.7867491736872193,-0.02148572233511581,0.8107053247839412,0.7960436392554493,0.014661685528491897,0.8715370238161996
constrained,35069,JLA Home GA 31407 - SV2,Soft Home,GA,SAVANNAH,38354,2833,0.07386452521249413,0.9110483586304275,0.9595637682006886,-0.048515409570261014,0.826685492410872,0.8634290392374729,-0.03674354682660097,0.8722388456901478
constrained,238512,CP HomeDecor CA 91761(2),APS,CA,CHINO LOCAL,11250,1994,0.17724444444444445,0.7983951855566702,0.9133019291161951,-0.1149067435595249,0.8580742226680032,0.873485868102287,-0.01541164543428386,0.951853372515312
constrained,39837,Kingston CA,Plumbing,CA,CHINO LOCAL,11727,1808,0.154174128080498,0.9341814159292035,0.9734327417830505,-0.03925132585384705,0.9126106194690267,0.9158878504672882,-0.0032772309982614933,0.951219279440903
constrained,316872,"Heze Starfire Trading Co., Ltd CA 91761(5)",APS,CA,CHINO LOCAL,8635,1800,0.20845396641574984,0.8088888888888881,0.7340619307832422,0.07482695810564588,0.9305555555555558,0.8290831815421981,0.10147237401335774,0.9562640839758615
constrained,302342,Westin Outdoor GA 31320,Outdoor Furniture,GA,SAVANNAH,21034,1739,0.08267566796615004,0.8234617596319719,0.9055682188212293,-0.08210645918925741,0.8878665899942494,0.9016064257028092,-0.013739835708559855,0.8872827508558759
constrained,85184,Aosom LLC GA30294,APS Outdoor,GA,ATLANTA LOCAL,13391,1610,0.12023000522739154,0.9900621118012418,0.9624741455727375,0.027587966228504346,0.9192546583850912,0.8877179158869289,0.031536742498162296,0.8658865570028237
constrained,119437,Aosom LLC CA 92374,APS Outdoor,CA,WEST RIALTO,14060,1321,0.09395448079658605,0.9977289931869793,0.993409128357225,0.004319864829754327,0.9031037093111286,0.9308782336464003,-0.027774524335271722,0.9412262445732617
constrained,325564,SLM GA3,APS Outdoor,GA,SAVANNAH,15385,1286,0.08358791030224244,0.8771384136858469,0.9432364385442898,-0.06609802485844296,0.8506998444790042,0.908216983291371,-0.057517138812366864,0.8536366782145987
constrained,28971,NFusion CA 91761 Warehouse CA11,Outdoor Furniture,CA,CHINO LOCAL,11282,1282,0.11363233469243042,0.7792511700468019,0.8120687766947748,-0.03281760664797295,0.8003120124804993,0.8165589749205993,-0.016246962440099932,0.9415449742704254
constrained,292636,Green Living Group INC CA 91762,Soft Home,CA,CHINO LOCAL,8082,1262,0.15614946795347687,0.9397781299524561,0.9440333024976886,-0.004255172545232444,0.8668779714738511,0.8749614554424916,-0.008083483968640448,0.9513202550294997
constrained,272805,Karat Home Inc (14 Karat) CA 92880,APS Upholstery,CA,CHINO LOCAL,8518,1230,0.14440009391876027,0.8032520325203252,0.9362079149438863,-0.13295588242356116,0.8731707317073176,0.8920555227406975,-0.018884791033379922,0.9517705908342293
constrained,17066,  CA2,Outdoor Furniture,CA,INDUSTRY,6720,1136,0.16904761904761906,0.6760563380281692,0.8126463700234199,-0.13659003199525066,0.8345070422535209,0.7358834244080148,0.0986236178455061,0.9171482222723216
constrained,36423,NFusion GA 31407,Outdoor Furniture,GA,SAVANNAH,14046,1111,0.07909725188665813,0.5220522052205223,0.7528251489623996,-0.2307729437418773,0.8028802880288026,0.8492911444421611,-0.046410856413358514,0.8341075799485524
constrained,236498,Oberon Dist,Lighting,CA,CHINO LOCAL,5330,1096,0.20562851782363978,0.835766423357664,0.9087000505816883,-0.0729336272240243,0.8959854014598543,0.9109762266059681,-0.014990825146113829,0.9550943896906663
constrained,297318,Eazeemats CA 91752 (4),APS Upholstery,CA,WEST RIALTO,6469,1088,0.16818673674447365,0.9742647058823519,0.9849236641221377,-0.010658958239785798,0.8538602941176464,0.8187022900763358,0.03515800404131064,0.947828265801052
constrained,59119,Safavieh CA 92518,Rugs,CA,RIALTO LOCAL,18889,997,0.05278204245857377,0.9909729187562685,0.9078443593624796,0.08312855939378883,0.8886659979939815,0.8893241919686589,-0.000658193974677368,0.9076255268885556
constrained,20530,Million Dollar Baby CA 90660,Youth Furniture & Decor,CA,SANTA FE SPRINGS,8411,959,0.11401735822137676,0.9468196037539106,0.9391703786191526,0.007649225134757964,0.8373305526590196,0.86010579064588,-0.02277523798686043,0.9503565770038889
constrained,8833,Lifetime Brands Inc.92376,Tabletop,CA,WEST RIALTO,7744,959,0.12383780991735537,0.7549530761209587,0.8769921089277424,-0.12203903280678363,0.7528675703858184,0.8463561813399366,-0.0934886109541182,0.9533161816167388
constrained,117518,Winsome House CA 92881,Decor,CA,WEST RIALTO,7659,954,0.1245593419506463,0.823899371069183,0.9203344376084539,-0.09643506653927092,0.8071278825995809,0.8917810380186152,-0.08465315541903429,0.946655651493213
constrained,293214,CIAO JING INC CA 92879 ,Upholstery,CA,WEST RIALTO,5511,945,0.17147523135547088,0.8179894179894185,0.7389495579823192,0.07903986000709928,0.8433862433862435,0.809152366094643,0.034233877291600434,0.9561607224606831
constrained,25980,California Umbrella CA,Outdoor Furniture,CA,RIALTO LOCAL,6102,938,0.15372009177318913,0.9957356076759063,0.9172218857258221,0.07851372195008421,0.8773987206823023,0.6488996567736739,0.2284990639086284,0.9572521803414338
constrained,10983,JLA Home GA 31407 - SV3,Soft Home,GA,SAVANNAH,11958,932,0.07793945475832079,0.8251072961373388,0.8005479969765683,0.024559299160770487,0.8733905579399139,0.802248677248676,0.07114188069123795,0.8784104691538123
constrained,122081,Jonathan Y SC 29927,Lighting,SC,SAVANNAH,10250,904,0.08819512195121951,0.4358407079646016,0.6942890442890423,-0.25844833632444064,0.6825221238938045,0.830536130536131,-0.14801400664232645,0.8859488901036957
constrained,111667,Winsome House GA 30013,Decor,GA,ATLANTA LOCAL,6339,878,0.13850765104906138,0.9339407744874711,0.9631449631449632,-0.02920418865749208,0.9441913439635532,0.9361179361179348,0.008073407845618386,0.8818447506106486
constrained,275205,Town Country Linen Corporation CA 92376,Tabletop,CA,WEST RIALTO,5103,826,0.16186556927297668,0.9830508474576264,0.9792023489111821,0.0038484985464443122,0.8825665859564161,0.8656716417910448,0.016894944165371295,0.9493108506256501
constrained,79383,ColourTree CA,Upholstery,CA,INDUSTRY,5282,809,0.1531616811813707,0.4449938195302842,0.7754385964912295,-0.33044477696094526,0.9060568603213844,0.9181286549707613,-0.01207179464937691,0.9472880101273591
constrained,288245,Xiamen MDM CA 91761,APS,CA,CHINO LOCAL,5954,802,0.1346993617735976,0.8591022443890273,0.915751647035335,-0.05664940264630769,0.8503740648379049,0.8356957476542213,0.01467831718368362,0.9489088103876661
constrained,280028, CHINO,APS Outdoor,CA,CHINO LOCAL,6837,800,0.11701038467163961,0.9312500000000006,0.968385729424234,-0.03713572942423338,0.8424999999999998,0.8968562345460971,-0.05435623454609728,0.9439486803145828
constrained,338215,"Bedshe International Co.,LTD CA 91761",APS,CA,CHINO LOCAL,11366,799,0.07029737814534577,0.889862327909888,0.9285792052259123,-0.038716877316024356,0.7859824780976223,0.8671747414262371,-0.08119226332861473,0.9251016036843511
constrained,302637,"GigaCloud Trading, Inc. GA 31302",Outdoor Furniture,GA,SAVANNAH,11354,793,0.06984322705654394,0.49180327868852464,0.6882352941176468,-0.1964320154291222,0.813366960907945,0.8820349761526227,-0.0686680152446777,0.7967987158271344
constrained,158009,Modway Inc. CA 92345,Outdoor Furniture,CA,WEST RIALTO,7449,773,0.1037723184320043,0.6934023285899095,0.5810435319543097,0.11235879663559978,0.7153945666235447,0.6696511268910151,0.04574343973252959,0.9212336570169795
