vol_bucket,why_flagged,ops,purchase_order_number,tracking_number,supplier_id,su_name,parent_suid,parent_su_name,parent_warehouse_states,sto,srm_contact,own_state,city_name,postal_code,address_1,delivery_date,assigned_induction_hub_name,assigned_station_state,assigned_station_zip,actual_induction_hub_name,actual_induction_hub_state,actual_induction_hub_zip,destination_state,destination_zipcode,dist_assignedhub_customer_mi,dist_actualhub_customer_mi,dist_assignedhub_actualhub_mi,miles_closer_to_customer,direct_gain,ifr,delivery_rel
misshipping,Inducted in sibling parent WH state (different WH under same parent_suid),80205131550,674263801,538122031118,352637,CHANGSHA BATHROOM BUTLER DEZIGN INC OR 97007,208443,CHANGSHA BATHROOM BUTLER DEZIGN INC,"FL,OH,PA",NOT IN RE,Asia Supplier Service Desk,OH,Beaverton,97007,18590 SW Snowglade Dr ,2026-08-20,WEST PORTLAND,OR,97217,Sanford,FL,32771,WI,53217,2070.0,1265.0,3037.0,805.0,0.389,1,1
misshipping,Inducted in sibling parent WH state (different WH under same parent_suid),80226820130,676203072,538130329147,526586,ROGER HOUSE LLC OR 97214-4656,194182,ROGER HOUSE LLC,"CA,FL,OR,PA",Plumbing,Kate Poletynski,OR,PORTLAND,97214-4656,1920 SE 10TH AVE,2026-09-01,WEST PORTLAND,OR,97217,Sanford,FL,32771,CA,95630,609.0,2906.0,3037.0,-2297.0,-3.773,1,1
misshipping,Inducted in sibling parent WH state (different WH under same parent_suid),80203787590,674140639,538120794222,407308,long yan shi shang lao wu mao yi you xian gong si_1 OR 97214,308256,long yan shi shang lao wu mao yi you xian gong si_1,"CA,FL,NY,OR,PA",APS Wayfair Professional,Asia Supplier Service Desk,OR,PORTLAND,97214,1920 SE 10TH AVE,2026-08-24,WEST PORTLAND,OR,97217,Sanford,FL,32771,UT,84096,790.0,2332.0,3037.0,-1542.0,-1.952,1,0
misshipping,Inducted in sibling parent WH state (different WH under same parent_suid),80203578680,674121755,538120794196,352637,CHANGSHA BATHROOM BUTLER DEZIGN INC OR 97007,208443,CHANGSHA BATHROOM BUTLER DEZIGN INC,"FL,OH,PA",NOT IN RE,Asia Supplier Service Desk,OH,Beaverton,97007,18590 SW Snowglade Dr ,2026-08-22,WEST PORTLAND,OR,97217,Sanford,FL,32771,OR,97221,7.0,3040.0,3037.0,-3033.0,-415.425,1,0
misshipping,Inducted in sibling parent WH state (different WH under same parent_suid),80227458080,676259753,538131279719,526586,ROGER HOUSE LLC OR 97214-4656,194182,ROGER HOUSE LLC,"CA,FL,OR,PA",Plumbing,Kate Poletynski,OR,PORTLAND,97214-4656,1920 SE 10TH AVE,2026-09-01,WEST PORTLAND,OR,97217,Sanford,FL,32771,CA,91754,978.0,2493.0,3037.0,-1516.0,-1.55,1,1
misshipping,Inducted in sibling parent WH state (different WH under same parent_suid),11541847687,673730140,538119483565,407308,long yan shi shang lao wu mao yi you xian gong si_1 OR 97214,308256,long yan shi shang lao wu mao yi you xian gong si_1,"CA,FL,NY,OR,PA",APS Wayfair Professional,Asia Supplier Service Desk,OR,PORTLAND,97214,1920 SE 10TH AVE,2026-08-21,WEST PORTLAND,OR,97217,Sanford,FL,32771,OR,97520,289.0,3181.0,3037.0,-2892.0,-10.002,1,0
misshipping,Inducted in sibling parent WH state (different WH under same parent_suid),80225091980,676048942,538130338347,407310,zheng zhou xin hu li dian zi shang wu you xian gong si OR 97214,292507,zheng zhou xin hu li dian zi shang wu you xian gong si,"CA,FL,OR",Other,Asia Supplier Service Desk,OR,PORTLAND,97214,1920 SE 10TH AVE,2026-08-29,WEST PORTLAND,OR,97217,Sanford,FL,32771,IL,60124,2095.0,1194.0,3037.0,900.0,0.43,1,1
misshipping,Inducted in sibling parent WH state (different WH under same parent_suid),80228398220,676342027,538131277256,407310,zheng zhou xin hu li dian zi shang wu you xian gong si OR 97214,292507,zheng zhou xin hu li dian zi shang wu you xian gong si,"CA,FL,OR",Other,Asia Supplier Service Desk,OR,PORTLAND,97214,1920 SE 10TH AVE,2026-08-30,WEST PORTLAND,OR,97217,Sanford,FL,32771,IL,60201,2132.0,1175.0,3037.0,957.0,0.449,1,1
misshipping,Inducted in sibling parent WH state (different WH under same parent_suid),80203495640,674114323,538121596167,519957,Virtual WH for FBA-guang zhou kai zhen ke ji y-US,399699,guang zhou kai zhen ke ji you xian gong si,"CA,IL,MA",APS Wayfair Professional,Asia Supplier Service Desk,MA,Boston,02116,4 Copley Place,2026-08-21,WILMINGTON,MA,1887,Santa Fe Springs,CA,90670,PA,18018,307.0,2697.0,2990.0,-2390.0,-7.774,1,1
misshipping,Inducted in sibling parent WH state (different WH under same parent_suid),12508462782,672482911,531308486580,519957,Virtual WH for FBA-guang zhou kai zhen ke ji y-US,399699,guang zhou kai zhen ke ji you xian gong si,"CA,IL,MA",APS Wayfair Professional,Asia Supplier Service Desk,MA,Boston,02116,4 Copley Place,2026-08-15,WILMINGTON,MA,1887,Santa Fe Springs,CA,90670,VA,20132,487.0,2622.0,2990.0,-2135.0,-4.387,1,0
