sto,vol_bucket,vol,ifr,delivery_rel,sto_total,pct_of_sto_vol
APS,aligned,65882,0.9224522631371235,0.8137275735405732,269636,0.24433680962482754
APS,ghost,6553,0.772318022279874,0.5998779185106061,269636,0.024303134596270527
APS,local_wrong_hub,130585,0.8967262702454339,0.8776352567293337,269636,0.4843010577222626
APS,misshipping,14001,0.9012213413327618,0.6548103706878101,269636,0.05192555890163034
APS,other_closer,52615,0.8892521144160407,0.8805663784091997,269636,0.19513343915500897
APS AEOF,aligned,25988,0.9406264429736804,0.8360012313375402,104181,0.24945047561455544
APS AEOF,ghost,2114,0.8046357615894044,0.5856196783349102,104181,0.020291607874756434
APS AEOF,local_wrong_hub,55134,0.9437370769398193,0.9055029564334166,104181,0.5292135802113629
APS AEOF,misshipping,3500,0.9037142857142865,0.6271428571428567,104181,0.03359537727608681
APS AEOF,other_closer,17445,0.9282889079965606,0.8916021782745782,104181,0.1674489590232384
APS Bedroom,aligned,26254,0.9114801554048897,0.8148472613696992,116740,0.22489292444749015
APS Bedroom,ghost,4039,0.7494429314186667,0.6360485268630847,116740,0.03459825252698304
APS Bedroom,local_wrong_hub,55874,0.9285356337473593,0.9124637577406314,116740,0.478619153674833
APS Bedroom,misshipping,4787,0.8959682473365355,0.774597869229163,116740,0.04100565358917252
APS Bedroom,other_closer,25786,0.9092143023345985,0.8986271620259043,116740,0.22088401576152134
APS Decor,aligned,9991,0.9426483835451906,0.7935141627464722,35862,0.2785957280687078
APS Decor,ghost,958,0.8997912317327768,0.7275574112734869,35862,0.026713512910601752
APS Decor,local_wrong_hub,17020,0.8878378378378367,0.8522326674500594,35862,0.47459706653282024
APS Decor,misshipping,2725,0.8513761467889894,0.637431192660551,35862,0.07598572304946741
APS Decor,other_closer,5168,0.915441176470587,0.9088622291021669,35862,0.14410796943840276
APS EU F&D,aligned,26,1.0,0.9615384615384616,53,0.49056603773584906
APS EU F&D,ghost,1,0.0,0.0,53,0.018867924528301886
APS EU F&D,local_wrong_hub,18,0.9444444444444443,0.9444444444444443,53,0.33962264150943394
APS EU F&D,misshipping,6,0.8333333333333334,0.8333333333333334,53,0.11320754716981132
APS EU F&D,other_closer,2,0.5,0.5,53,0.03773584905660377
APS EU Outdoor & Non-F&D,aligned,12,0.6666666666666666,0.9166666666666666,12,1.0
APS Health & Fitness,aligned,64,0.9218749999999997,0.890625,223,0.28699551569506726
APS Health & Fitness,ghost,5,1.0,0.8,223,0.02242152466367713
APS Health & Fitness,local_wrong_hub,93,0.795698924731183,0.9247311827956992,223,0.4170403587443946
APS Health & Fitness,misshipping,29,0.8965517241379308,0.5517241379310345,223,0.13004484304932734
APS Health & Fitness,other_closer,32,0.96875,0.9375,223,0.14349775784753363
APS Home Improvement,aligned,50282,0.9325205839067645,0.8299192553995453,149932,0.33536536563242003
APS Home Improvement,ghost,3834,0.8721961398017745,0.6692749087115286,149932,0.02557159245524638
