example,path,supplier_id,su_name,tracking_number,purchase_order_number,ops,msbd_week,dest_region,destination_state,destination_zipcode,assigned_hub,actual_hub,o2d_stated,o2d_actual,ifr,delivery_rel,det_on_time,direct_gain,mi_actual_to_cust,mi_assigned_to_cust,delivery_date,det_delivery_date
Surge: Kingston → Southeast (2026-06-07),direct,39837,Kingston CA,500738871940,660242930,12246102059,2026-06-07,Southeast,MS,38655,CHINO LOCAL,Olive Branch,6,4,1,1,1,0.9566773301523612,79.9,1844.3,2026-06-08,2026-06-11
Surge: Kingston → Southeast (2026-06-07),direct,39837,Kingston CA,381919188440,661194952,12259051579,2026-06-07,Southeast,NC,28409,CHINO LOCAL,Greensboro,8,7,1,1,1,0.9119884523855968,225.6,2563.3,2026-06-16,2026-06-17
Surge: Kingston → Southeast (2026-06-07),direct,39837,Kingston CA,500738882204,661128308,12258615949,2026-06-07,Southeast,GA,30606,CHINO LOCAL,Marietta,9,8,1,1,1,0.9638494253913672,79.9,2210.2,2026-06-16,2026-06-16
Surge: Kingston → Southeast (2026-06-07),direct,39837,Kingston CA,381893437363,660514804,12310581541,2026-06-07,Southeast,SC,29466,CHINO LOCAL,Charlotte,10,11,1,0,0,0.9122091144149966,217.3,2475.2,2026-06-16,2026-06-15
Surge: Kingston → Southeast (2026-06-07),local,39837,Kingston CA,381982459569,661506781,12204608833,2026-06-07,Southeast,MS,39666,CHINO LOCAL,Industry,8,6,1,1,1,-0.002931457200724869,1881.7,1876.2,2026-06-16,2026-06-18
Surge: Kingston → Southeast (2026-06-07),local,39837,Kingston CA,500738887950,661481651,12204356533,2026-06-07,Southeast,KY,42071,CHINO LOCAL,Industry,8,7,1,1,1,-0.0033813660718930447,1928.8,1922.3,2026-06-17,2026-06-18
Surge: Kingston → Southeast (2026-06-07),local,39837,Kingston CA,500738887630,661523831,80129365720,2026-06-07,Southeast,SC,29210,CHINO LOCAL,Industry,0,8,1,0,0,-0.002583432153142624,2367.3,2361.2,2026-06-19,2026-06-18
Surge: Kingston → Southeast (2026-06-07),local,39837,Kingston CA,500738887802,661469036,12261272139,2026-06-07,Southeast,GA,30114,CHINO LOCAL,Industry,7,33,1,0,0,-0.0029995385325334565,2173.5,2167.0,2026-07-13,2026-06-18
Surge: CA2 → Midwest (2026-05-24),direct,17066,  CA2,872275969506,658683148,12198039259,2026-05-24,Midwest,IL,60046,INDUSTRY,Chicago,7,2,1,1,1,0.969998998297105,59.9,1996.6,2026-05-29,2026-06-02
Surge: CA2 → Midwest (2026-05-24),direct,17066,  CA2,872213048387,658272884,12163189153,2026-05-24,Midwest,MN,55347,INDUSTRY,St. Paul,7,5,0,1,1,0.9797664958529241,38.3,1892.9,2026-05-30,2026-06-01
Surge: CA2 → Midwest (2026-05-24),direct,17066,  CA2,872155734122,657386881,11406993467,2026-05-24,Midwest,IL,60120,INDUSTRY,East Carol Stream,10,7,1,1,1,0.9914586070959264,16.9,1978.6,2026-05-29,2026-06-01
Surge: CA2 → Midwest (2026-05-24),direct,17066,  CA2,872181618955,657915057,12290422995,2026-05-24,Midwest,OH,43023,INDUSTRY,East Columbus,8,10,0,0,0,0.9894928178755099,23.7,2255.6,2026-06-03,2026-06-01
Surge: CA2 → Midwest (2026-05-24),local,17066,  CA2,872185119346,657677908,12156968313,2026-05-24,Midwest,NE,68508,INDUSTRY,Kansas City,8,4,1,1,1,,,1474.4,2026-06-01,2026-06-01
Surge: CA2 → Midwest (2026-05-24),local,17066,  CA2,872181071310,657673090,12215729179,2026-05-24,Midwest,IA,51401,INDUSTRY,North Kansas City Ncpc,8,6,1,1,1,,,1619.4,2026-05-30,2026-06-01
Surge: CA2 → Midwest (2026-05-24),local,17066,  CA2,872214995361,658314369,12290946692,2026-05-24,Midwest,IA,50266,INDUSTRY,North Kansas City Ncpc,7,8,0,0,0,0.8909013811485341,180.1,1650.8,2026-06-02,2026-06-01
Surge: CA2 → Midwest (2026-05-24),local,17066,  CA2,872168204711,657506826,12153046433,2026-05-24,Midwest,IA,50849,INDUSTRY,North Kansas City Ncpc,9,10,1,0,0,,,1625.6,2026-06-02,2026-06-01
Surge: Hangzhou Mengfeisi → Midwest (2026-05-24),direct,322082,"Hangzhou Mengfeisi Home Furnishings Co., CA 92571 ",872264219067,658316470,12221265509,2026-05-24,Midwest,IA,52404,RIALTO LOCAL,Cedar Rapids,8,4,1,1,0,1.0,0.0,1763.9,2026-06-06,2026-06-03
