example,supplier_id,su_name,sto,week,dest,vol_direct,vol_local,o2d_direct,o2d_local,o2d_delta,ifr_direct,ifr_local,del_direct,del_local,det_direct,det_local,mi_direct,mi_local,top_hub_direct,top_hub_local
Surge: Kingston → Southeast (2026-06-07),39837,Kingston CA,Plumbing,2026-06-07,Southeast,121,10,7.669421487603306,10.0,-2.330578512396694,1.0,1.0,0.9338842975206612,0.6,0.8842975206611571,0.6,110.90495867768595,2092.7200000000003,Marietta,Industry
Surge: CA2 → Midwest (2026-05-24),17066,  CA2,Outdoor Furniture,2026-05-24,Midwest,195,24,6.138461538461539,6.875,-0.7365384615384611,0.7333333333333333,0.625,0.8923076923076924,0.6666666666666666,0.7384615384615385,0.5833333333333334,60.312820512820515,124.02941176470588,Chicago,Kansas City
Surge: Hangzhou Mengfeisi → Midwest (2026-05-24),322082,"Hangzhou Mengfeisi Home Furnishings Co., CA 92571 ",APS Outdoor,2026-05-24,Midwest,180,15,6.861111111111111,8.6,-1.738888888888889,0.9888888888888889,0.7333333333333333,0.9777777777777777,0.7333333333333333,0.5388888888888889,0.06666666666666667,72.27277777777778,185.0285714285714,Toledo,North Kansas City Ncpc
Surge: California Umbrella → Northeast (2026-05-24),25980,California Umbrella CA,Outdoor Furniture,2026-05-24,Northeast,14,33,7.428571428571429,9.818181818181818,-2.3896103896103895,1.0,1.0,0.9285714285714286,1.0,0.9285714285714286,1.0,72.41428571428571,2692.8545454545456,Metuchen,Rialto
Surge: MKAY GROUP → Midwest (2026-05-31),79733,MKAY GROUP CORP,Outdoor Structures,2026-05-31,Midwest,52,24,7.75,15.541666666666666,-7.791666666666666,1.0,0.5,0.9615384615384616,0.4166666666666667,0.9230769230769231,0.4583333333333333,79.16730769230769,1455.4750000000001,Chicago,Arcadia
Surge: Grand Leisure → Midwest (2026-05-31),463964,Grand Leisure Outdoor Product CA 92335,APS Outdoor,2026-05-31,Midwest,36,13,7.472222222222222,10.692307692307692,-3.2200854700854693,1.0,0.9230769230769231,0.9444444444444444,0.6923076923076923,0.8611111111111112,0.6153846153846154,69.69444444444444,266.8333333333333,Chicago,North Kansas City Ncpc
OF: California Umbrella → Northeast (May–Aug),25980,California Umbrella CA,Outdoor Furniture,May–Aug,Northeast,281,799,10.729537366548042,13.464824120603016,-2.7352867540549735,0.9857651245551602,0.9198998748435544,0.900355871886121,0.7221526908635795,0.8647686832740213,0.769712140175219,74.99252669039146,2691.6055699481867,Metuchen,Rialto
OF: California Umbrella → Midwest (May–Aug),25980,California Umbrella CA,Outdoor Furniture,May–Aug,Midwest,320,994,11.877742946708464,13.00909090909091,-1.1313479623824456,0.99375,0.9496981891348089,0.81875,0.7464788732394366,0.828125,0.8028169014084507,64.91499999999999,1974.9695109261186,Chicago,Rialto
OF: Modway → South Central (May–Aug),158009,Modway Inc. CA 92345,Outdoor Furniture,May–Aug,South Central,430,1440,4.9906976744186045,5.431851851851852,-0.4411541774332477,0.7465116279069768,0.5986111111111111,0.7255813953488373,0.5048611111111111,0.641860465116279,0.5680555555555555,97.08116279069766,1386.49765051395,West Dallas Ncpc,South Rialto - Ncpc
OF: CA2 → Southeast (May–Aug),17066,  CA2,Outdoor Furniture,May–Aug,Southeast,351,368,5.66,6.014044943820225,-0.35404494382022467,0.6780626780626781,0.9103260869565217,0.8603988603988604,0.7581521739130435,0.7720797720797721,0.6358695652173914,127.55014245014247,2242.1319884726227,Greensboro,Arcadia
