origin_region,actual_hub_region,vol,suppliers,pct_of_directs
West Coast,Midwest,48457,5201,0.0833251653795691
West Coast,Southeast,46766,5205,0.08041737383950573
Southeast,Midwest,34344,2682,0.05905688506915248
Northeast,Southeast,32913,3487,0.05659618152460446
Northeast,Midwest,32690,3499,0.05621271758998936
West Coast,West Coast,32565,4853,0.05599777143829928
West Coast,Northeast,25238,3931,0.04339848781083363
West Coast,Florida,22786,3847,0.03918210409928105
West Coast,Mid-Atlantic,19773,3629,0.034001042058943394
Southeast,Florida,19146,2069,0.03292287216206596
West Coast,Mountain,18932,3759,0.03255488435037254
Southeast,Southeast,17995,2143,0.030943647997303717
West Coast,South Central,17810,2960,0.0306255276928024
Southeast,Northeast,16902,1782,0.029064158846925668
Southeast,West Coast,15860,1470,0.027272367726437173
Northeast,Florida,15312,2450,0.026330043797427868
Southeast,South Central,13434,1273,0.02310069281443613
Southeast,Mid-Atlantic,12829,1743,0.022060353440256145
Northeast,West Coast,12697,1743,0.021833370304071426
Southeast,Mountain,10059,1329,0.017297146718804005
Midwest,Southeast,9256,823,0.01591633264034694
Northeast,South Central,9057,1330,0.015574138366856335
South Central,Southeast,8269,1212,0.01421911782660208
South Central,Midwest,7796,1028,0.013405761588606822
Midwest,West Coast,7019,660,0.012069656309701294
Northeast,Mountain,6811,1446,0.011711985913289003
South Central,West Coast,5917,740,0.01017469103640156
Midwest,Northeast,5487,657,0.00943527627458769
Midwest,South Central,3898,458,0.006702880794303411
South Central,Mountain,3825,713,0.006577352241716405
South Central,Florida,3812,810,0.006554997841940637
Midwest,Mid-Atlantic,3735,500,0.006422591012499548
Midwest,Midwest,3390,484,0.005829339633834932
South Central,Northeast,3331,733,0.005727885050237215
Midwest,Mountain,2980,419,0.005124316256291474
Midwest,Florida,2759,368,0.004744291460103415
South Central,Mid-Atlantic,2111,523,0.0036300106097420476
Florida,Southeast,1834,228,0.0031536899375968334
Mid-Atlantic,West Coast,1821,577,0.003131335537821065
Mid-Atlantic,Southeast,1777,419,0.0030556744924261576
South Central,South Central,1582,463,0.0027203584957896346
Mountain,West Coast,1538,130,0.0026446974503947273
Florida,Midwest,1429,173,0.0024572644061209787
Florida,Mountain,1282,176,0.002204487731733446
Mid-Atlantic,Midwest,1154,227,0.0019843828724028056
Florida,Northeast,1114,169,0.0019156001038619806
Northeast,Mid-Atlantic,1084,233,0.0018640130274563617
Florida,West Coast,1051,173,0.0018072672434101809
Mountain,Southeast,1027,123,0.0017659975822856859
Mountain,Midwest,1026,119,0.001764278013072165
Florida,South Central,977,160,0.0016800191216096542
Mid-Atlantic,South Central,829,222,0.0014255228780086012
Mountain,Northeast,821,111,0.0014117663243004362
Mid-Atlantic,Florida,816,161,0.001403168478232833
Mountain,Mountain,812,88,0.0013962902013787506
Florida,Mid-Atlantic,771,157,0.0013257878636244048
Mountain,Florida,628,79,0.0010798894660909548
Mid-Atlantic,Mountain,622,133,0.0010695720508098311
Mountain,South Central,530,81,0.0009113716831659332
Mountain,Mid-Atlantic,506,88,0.0008701020220414382
Northeast,Northeast,364,108,0.0006259231937215089
Mid-Atlantic,Northeast,155,21,0.00026653322809569744
Florida,Florida,28,17,4.8147937978577606e-05
Mid-Atlantic,Mid-Atlantic,2,1,3.4391384270412577e-06
