origin_region,dest_state,vol,suppliers,pct_of_directs
West Coast,FL,25634,4268,0.0440794372193878
Southeast,FL,19611,2104,0.033722471846353054
Northeast,FL,17004,2642,0.02923955490670477
West Coast,NY,15545,2760,0.026730703424178173
West Coast,CA,14655,3358,0.025200286824144814
West Coast,TX,14538,2591,0.024999097226162902
West Coast,IL,13617,3076,0.023415373980510402
West Coast,NC,12399,3001,0.021320938678442276
Southeast,TX,12205,1046,0.020987342251019274
Southeast,CA,11086,920,0.019063144301089692
West Coast,PA,11051,2760,0.019002959378616468
Southeast,NY,11007,1269,0.01892729833322156
West Coast,VA,10909,2885,0.01875878055029654
Southeast,IL,10648,1443,0.018309972985567656
West Coast,WA,10306,2778,0.017721880314543602
West Coast,MD,9186,2549,0.015795962795400496
Northeast,NC,9178,2011,0.015782206241692333
Northeast,IL,9160,1949,0.01575125399584896
Northeast,CA,9016,955,0.01550363602910199
West Coast,OH,8981,2657,0.015443451106628767
West Coast,GA,8289,1794,0.014253509210872492
Northeast,TX,7989,1160,0.013737638446816304
Southeast,PA,7947,1376,0.013665416539848436
Northeast,OH,7145,1782,0.012286322030604892
West Coast,MI,6601,2165,0.01135087637844967
Southeast,VA,6501,1316,0.011178919457097609
West Coast,CO,6265,2166,0.010773101122706739
West Coast,OR,6216,2130,0.010688842231244229
Southeast,OH,6170,1182,0.01060974204742228
Northeast,GA,5655,1246,0.009724163902459155
Southeast,MD,5596,1179,0.009622709318861439
West Coast,TN,5512,1967,0.009478265504925707
Northeast,MI,5268,1523,0.009058690616826673
Midwest,CA,5209,499,0.008957236033228955
West Coast,IN,4658,1809,0.008009753396579089
West Coast,WI,4414,1621,0.007590178508480055
West Coast,SC,4411,1660,0.007585019800839494
South Central,FL,4360,915,0.007497321770949941
Southeast,MI,4171,937,0.007172323189594543
South Central,CA,4005,448,0.006886874700150119
West Coast,UT,3994,1573,0.006867959438801392
Southeast,IN,3885,1003,0.006680526394527643
Midwest,NY,3866,511,0.006647854579470751
Northeast,SC,3793,1301,0.006522326026883745
West Coast,MN,3741,1530,0.006432908427780672
Midwest,TX,3697,436,0.0063572473823857644
Northeast,TN,3622,1263,0.0062282796913717174
Southeast,WA,3411,720,0.005865450587318865
Midwest,FL,3401,480,0.005848254895183659
Southeast,WI,3355,794,0.005769154711361709
West Coast,MO,3199,1383,0.0055009019140524916
Northeast,IN,3151,1161,0.0054183625918035015
Southeast,AZ,3036,725,0.005220612132248629
Northeast,WI,3015,1151,0.005184501178764696
Northeast,MN,2783,1091,0.00478556112122791
Southeast,TN,2752,833,0.00473225447560877
West Coast,KY,2610,1266,0.004488075647288841
Southeast,NC,2518,465,0.004329875279644943
Midwest,NC,2490,421,0.004281727341666366
Southeast,MO,2488,733,0.0042782882032393246
West Coast,AZ,2438,1072,0.004192309742563293
West Coast,ID,2429,1129,0.004176833619641608
Southeast,MN,2383,700,0.004097733435819658
West Coast,AL,2380,1099,0.004092574728179097
West Coast,LA,2348,1082,0.004037548513346437
South Central,NY,2213,511,0.0038054066695211515
Northeast,WA,2187,807,0.0037606978699696154
South Central,IL,2146,452,0.0036901955322152695
Southeast,OR,2125,541,0.003654084578731336
Midwest,GA,2104,355,0.003617973625247403
Northeast,AZ,2032,736,0.003494164641873918
Midwest,VA,1984,414,0.0034116253196249274
Northeast,MO,1924,860,0.00330845116681369
Midwest,PA,1848,382,0.0031777639065861223
Southeast,CO,1846,516,0.0031743247681590807
West Coast,DE,1747,920,0.0030040874160205387
South Central,NC,1718,484,0.00295421990882844
South Central,GA,1691,402,0.002907791540063383
Southeast,KY,1635,598,0.002811495664106228
Northeast,LA,1632,738,0.002806336956465666
Northeast,KY,1613,774,0.0027736651414087743
Southeast,LA,1601,611,0.0027530303108465265
Northeast,CO,1588,630,0.0027306759110707584
West Coast,MS,1575,855,0.0027083215112949904
South Central,CO,1562,413,0.0026859671115192223
West Coast,NM,1503,828,0.0025845125279215053
Northeast,AL,1478,647,0.0025415232975834895
West Coast,NV,1426,810,0.0024521056984804167
Southeast,UT,1426,412,0.0024521056984804167
Southeast,NV,1414,459,0.002431470867918169
West Coast,OK,1403,748,0.002412555606569442
Northeast,OR,1399,575,0.0024056773297153598
West Coast,DC,1362,780,0.0023420532688150962
South Central,VA,1359,460,0.0023368945611745347
Mid-Atlantic,CA,1340,390,0.002304222746117643
Midwest,MD,1335,325,0.0022956249000500393
Southeast,AR,1305,491,0.0022440378236444204
Florida,CA,1292,188,0.0022216834238686523
South Central,TN,1284,427,0.0022079268701604873
West Coast,AR,1252,740,0.0021529006553278273
Northeast,VA,1243,480,0.0021374245324061415
Southeast,DE,1226,418,0.002108191855776291
South Central,OH,1213,410,0.0020858374560005226
South Central,PA,1208,419,0.0020772396099329195
West Coast,MT,1199,720,0.0020617634870112337
West Coast,IA,1173,680,0.0020170546874596976
Mountain,CA,1172,120,0.0020153351182461768
Mid-Atlantic,FL,1155,283,0.0019861024416163264
Midwest,AZ,1080,270,0.0018571347506022792
Northeast,NV,1075,477,0.001848536904534676
South Central,MO,1073,378,0.0018450977661076348
Midwest,SC,1059,275,0.001821023797118346
Midwest,TN,1054,275,0.0018124259510507428
Southeast,OK,1035,403,0.0017797541359938509
South Central,WA,1025,286,0.0017625584438586445
Midwest,WA,1020,243,0.0017539605977910414
South Central,AZ,995,328,0.0017109713674530256
Southeast,DC,982,378,0.0016886169676772575
Northeast,MS,982,517,0.0016886169676772575
Florida,NY,978,149,0.001681738690823175
Southeast,MS,956,433,0.0016439081681257212
Northeast,UT,952,431,0.0016370298912716387
South Central,MD,935,364,0.0016077972146417879
Northeast,AR,919,487,0.0015802841072254578
South Central,OK,876,318,0.0015063426310440709
Florida,TX,875,149,0.0015046230618305503
Southeast,AL,872,334,0.0014994643541899884
Southeast,IA,860,375,0.0014788295236277409
Northeast,IA,811,474,0.00139457063216523
West Coast,KS,807,492,0.0013876923553111475
South Central,IN,794,295,0.0013653379555353792
West Coast,WV,790,550,0.0013584596786812967
South Central,SC,744,271,0.0012793594948593478
Mid-Atlantic,TX,718,207,0.0012346506953078114
Southeast,KS,701,249,0.0012054180186779609
Mountain,FL,696,86,0.0011968201726103576
Midwest,MN,682,202,0.001172746203621069
Southeast,ID,677,267,0.0011641483575534656
Midwest,CO,670,168,0.0011521113730588214
South Central,OR,652,225,0.00112115912721545
Midwest,OR,640,191,0.0011005242966532025
Northeast,OK,625,336,0.001074730758450393
South Central,WI,607,224,0.0010437785126070217
Mountain,NY,593,95,0.0010197045436177328
South Central,MI,574,244,0.0009870327285608409
Southeast,SC,551,102,0.0009474826366498664
South Central,NV,541,235,0.0009302869445146602
South Central,TX,538,204,0.0009251282368740983
South Central,AL,519,239,0.0008924564218172064
Florida,IL,518,112,0.0008907368526036857
Mid-Atlantic,GA,513,167,0.0008821390065360825
Midwest,LA,512,171,0.000880419437322562
Midwest,NV,506,176,0.0008701020220414382
Mountain,TX,502,80,0.0008632237451873557
Northeast,KS,499,314,0.0008580650375467938
