origin_state,dest_region,vol,suppliers,pct_of_directs
CA,Midwest,47352,5441,0.08142504139862881
CA,Southeast,36541,4770,0.0628347786312573
CA,West Coast,30652,4688,0.05270823553283432
CA,Northeast,25961,3815,0.04464173635220905
NJ,Midwest,25774,2824,0.04432017690928069
GA,Midwest,25165,2360,0.043272959258246625
CA,Florida,25139,4186,0.043228250458695085
CA,Mid-Atlantic,23573,4070,0.04053540507032178
CA,Mountain,19201,3762,0.03301744846880959
CA,South Central,19171,3214,0.032965861392403976
NJ,Southeast,18264,2453,0.03140621211574077
GA,Florida,14233,1756,0.02447462861603911
NJ,Florida,11663,2039,0.020055335737291093
GA,Northeast,11647,1546,0.020027822629874764
GA,Mid-Atlantic,10761,1739,0.018504284306695488
GA,South Central,9829,1295,0.016901645799694262
GA,West Coast,7687,1081,0.013218328544333073
TX,Midwest,7414,1062,0.012748886149041941
NJ,South Central,6547,1269,0.011258019640919556
TX,Southeast,6418,1032,0.011036195212375395
NJ,West Coast,6376,1113,0.01096397330540753
GA,Southeast,6219,1290,0.01069400093888479
GA,Mountain,5282,1083,0.009082764585815962
TX,West Coast,5208,657,0.008955516464015436
IL,Southeast,4366,433,0.007507639186231065
PA,Midwest,4346,370,0.007473247801960653
TX,Florida,4199,899,0.0072204711275731205
NJ,Mountain,4192,1203,0.007208434143078476
TN,West Coast,4002,108,0.006881715992509556
PA,Southeast,3896,364,0.00669944165587637
TX,Mountain,3849,774,0.0066186219028409
NY,West Coast,3598,254,0.006187010030247223
NY,Midwest,3489,293,0.005999576985973474
NY,Southeast,3356,276,0.00577087428057523
TX,Northeast,3312,700,0.0056952132351803225
TN,Midwest,3221,102,0.0055387324367499454
IL,West Coast,3087,353,0.0053083101621381815
IL,Northeast,2828,347,0.004862941735836338
NY,South Central,2761,220,0.0047477305985304565
SC,Midwest,2698,70,0.004639397738078656
IL,South Central,2695,304,0.004634239030438095
TX,Mid-Atlantic,2658,671,0.004570614969537832
NC,Midwest,2488,178,0.0042782882032393246
NY,Florida,2398,246,0.0041235269740224675
PA,Florida,2389,296,0.004108050851100782
IL,Mid-Atlantic,2332,353,0.004010035405930107
TN,Northeast,2199,108,0.0037813327005318626
TN,South Central,2108,99,0.0036248519021014856
PA,West Coast,1943,207,0.003341122981870582
SC,Northeast,1899,67,0.0032654619364756742
IL,Florida,1894,269,0.003256864090408071
NC,West Coast,1792,148,0.0030814680306289668
TN,Mid-Atlantic,1730,94,0.002974854739390688
NC,Northeast,1706,158,0.002933585078266193
FL,West Coast,1657,210,0.002849326186803682
TX,South Central,1636,496,0.002813215233319749
NY,Mountain,1552,179,0.0026687714193840157
IL,Mountain,1543,238,0.0026532952964623303
TN,Mountain,1529,84,0.0026292213274730415
FL,Southeast,1482,201,0.0025484015744375718
FL,Midwest,1447,186,0.00248821665196435
SC,Florida,1434,58,0.0024658622521885817
NC,Florida,1420,142,0.002441788283199293
TN,Florida,1374,83,0.002362688099377344
FL,Northeast,1356,187,0.002331735853533973
PA,South Central,1294,188,0.002225122562295694
OH,West Coast,1279,77,0.0021993290240928842
SC,West Coast,1256,59,0.0021597789321819096
SC,South Central,1239,53,0.002130546255552059
MS,Midwest,1222,47,0.0021013135789222084
IL,Midwest,1165,238,0.0020032981337515326
NC,South Central,1133,124,0.0019482719189188725
MD,West Coast,1055,420,0.0018141455202642634
FL,South Central,1048,162,0.001802108535769619
MS,South Central,1023,34,0.0017591193054316034
TN,Southeast,1001,81,0.0017212887827341495
SC,Mid-Atlantic,960,55,0.0016507864449798037
MS,West Coast,878,43,0.001509781769471112
OH,Southeast,871,77,0.0014977447849764678
OH,Northeast,855,76,0.0014702316775601376
NV,West Coast,850,44,0.0014616338314925345
KY,West Coast,847,28,0.0014564751238519726
NC,Mountain,843,109,0.00144959684699789
KY,Southeast,840,24,0.0014444381393573281
IN,West Coast,823,60,0.0014152054627274775
PA,Mountain,788,168,0.0013550205402542556
FL,Mid-Atlantic,771,161,0.0013257878636244048
NJ,Mid-Atlantic,718,418,0.0012346506953078114
IN,Southeast,704,62,0.0012105767263185228
NY,Mid-Atlantic,701,108,0.0012054180186779609
FL,Mountain,681,141,0.0011710266344075481
MS,Northeast,673,35,0.0011572700806993831
KY,South Central,669,27,0.0011503918038453006
KY,Northeast,647,30,0.001112561281147847
WI,Southeast,642,45,0.0011039634350802437
OH,Florida,628,69,0.0010798894660909548
WI,West Coast,626,45,0.0010764503276639136
WA,Midwest,613,64,0.0010540959278881456
MD,Southeast,603,246,0.0010369002357529392
MS,Southeast,595,65,0.0010231436820447742
SC,Mountain,586,51,0.0010076675591230884
KY,Mid-Atlantic,581,30,0.0009990697130554853
WI,Northeast,575,43,0.0009887522977743617
OH,South Central,559,60,0.0009612391903580315
NC,Southeast,558,95,0.0009595196211445109
UT,West Coast,550,29,0.0009457630674363459
MD,Florida,533,204,0.0009165303908064952
WA,Southeast,523,51,0.0008993346986712889
MS,Florida,522,35,0.0008976151294577682
KY,Mountain,519,20,0.0008924564218172064
WA,Northeast,516,57,0.0008872977141766445
NV,Midwest,516,49,0.0008872977141766445
VA,West Coast,511,34,0.0008786998681090413
MD,Midwest,506,152,0.0008701020220414382
VA,Midwest,491,46,0.0008443084838386288
SC,Southeast,488,43,0.0008391497761980668
IN,Northeast,488,52,0.0008391497761980668
CA,Unknown,487,356,0.0008374302069845463
MD,Mountain,484,260,0.0008322714993439843
KY,Florida,479,25,0.0008236736532763812
VA,Florida,477,42,0.0008202345148493399
NV,Northeast,477,42,0.0008202345148493399
MS,Mid-Atlantic,475,33,0.0008167953764222986
MD,South Central,457,195,0.0007858431305789274
VA,Southeast,444,31,0.0007634887308031592
MI,West Coast,420,37,0.0007222190696786641
NV,Southeast,416,47,0.0007153407928245816
WI,South Central,414,33,0.0007119016543975403
WA,West Coast,413,56,0.0007101820851840197
MI,Northeast,410,40,0.0007050233775434578
WA,Florida,405,53,0.0006964255314758546
OH,Mountain,388,61,0.0006671928548460039
NV,Florida,383,33,0.0006585950087784008
WI,Mid-Atlantic,375,38,0.0006448384550702358
IN,South Central,373,47,0.0006413993166431946
MS,Mountain,368,32,0.0006328014705755914
IN,Mid-Atlantic,362,51,0.0006224840552944677
WA,Mid-Atlantic,359,48,0.0006173253476539057
NV,Mountain,355,36,0.0006104470707998232
VA,South Central,348,35,0.0005984100863051788
OH,Midwest,346,49,0.0005949709478781375
OH,Mid-Atlantic,345,55,0.000593251378664617
WI,Midwest,331,39,0.0005691774096753281
AR,West Coast,331,15,0.0005691774096753281
MA,Midwest,323,45,0.0005554208559671631
MA,Southeast,320,51,0.0005502621483266013
NV,South Central,310,37,0.0005330664561913949
KY,Midwest,309,21,0.0005313468869778743
IN,Mountain,301,38,0.0005175903332697093
WI,Mountain,299,31,0.0005141511948426681
WA,South Central,294,41,0.0005055533487750649
MI,Southeast,293,33,0.0005038337795615442
RI,Southeast,293,11,0.0005038337795615442
NV,Mid-Atlantic,290,34,0.0004986750719209824
AZ,Midwest,289,35,0.0004969555027074617
IN,Midwest,282,32,0.0004849185182128173
MI,Mid-Atlantic,278,35,0.0004780402413587348
KS,Midwest,276,27,0.00047460110293169356
WA,Mountain,275,50,0.00047288153371817293
AR,Midwest,271,8,0.0004660032568640904
RI,Midwest,266,8,0.00045740541079648724
KS,West Coast,248,22,0.0004264531649531159
AZ,Southeast,248,34,0.0004264531649531159
AZ,Northeast,245,39,0.00042129445731255404
AR,Southeast,243,14,0.0004178553188855128
KS,Southeast,242,24,0.00041613574967199217
AZ,West Coast,238,36,0.00040925747281790966
NY,Northeast,236,59,0.0004058183343908684
DE,Midwest,234,50,0.00040237919596382716
MN,Southeast,234,18,0.00040237919596382716
CT,West Coast,230,26,0.0003955009191097446
RI,West Coast,227,8,0.0003903422114691827
MA,West Coast,226,36,0.0003886226422556621
AL,Midwest,218,14,0.0003748660885474971
MI,South Central,215,27,0.0003697073809069352
MN,West Coast,215,20,0.0003697073809069352
MN,Northeast,213,20,0.00036626824247989396
MA,Florida,211,37,0.00036282910405285266
IN,Florida,209,44,0.0003593899656258114
AZ,South Central,205,29,0.0003525116887717289
MI,Florida,196,27,0.00033703556585004327
MA,South Central,196,38,0.00033703556585004327
RI,Mid-Atlantic,187,5,0.0003215594429283576
MA,Mid-Atlantic,187,39,0.0003215594429283576
AR,South Central,185,7,0.00031812030450131633
MN,Midwest,184,18,0.0003164007352877957
RI,South Central,184,7,0.0003164007352877957
RI,Florida,184,7,0.0003164007352877957
AL,Northeast,183,12,0.0003146811660742751
