dest_region,sto,vol_direct,vol_local,o2d_direct,o2d_local,o2d_delta,ifr_direct,ifr_local,del_direct,del_local,det_direct,det_local
Florida,APS,6554,17701,7.475994000157047,6.957870748361499,0.5181232517955481,0.858712236801953,0.903169312468222,0.8635947512969179,0.8230608440201117,0.7566371681415928,0.7584317270210723
Florida,APS AEOF,786,2358,7.10885993191044,6.908476551166368,0.20038338074407225,0.9071246819338422,0.8927056827820187,0.8829516539440203,0.7960135708227312,0.8753180661577605,0.7514843087362172
Florida,APS Bedroom,1136,2795,7.022007042253521,6.7767728398345914,0.24523420241892957,0.9146126760563382,0.8905187835420394,0.8503521126760564,0.7914132379248656,0.8459507042253522,0.7695885509839
Florida,APS Decor,579,1385,7.533678756476684,7.038712005430037,0.4949667510466469,0.8911917098445594,0.9075812274368231,0.849740932642487,0.8,0.8238341968911918,0.7602888086642597
Florida,APS Home Improvement,2922,8372,7.144421629021216,6.9643534878175695,0.18006814120364645,0.8993839835728953,0.896918299092212,0.8699520876112253,0.7975394171046345,0.836413415468857,0.7683946488294316
Florida,APS Housewares & More,635,1841,7.407874015748032,7.096900627358575,0.3109733883894572,0.8976377952755905,0.9060293318848452,0.8692913385826772,0.8055404671374252,0.8771653543307086,0.7865290602933187
Florida,APS K&D,939,2298,7.034621186028006,6.818924801891724,0.21569638413628223,0.9169329073482428,0.9190600522193212,0.8626198083067093,0.7941688424717145,0.8509052183173589,0.7789382071366405
Florida,APS Mattresses,537,1615,7.307262569832402,6.733875887896579,0.5733866819358235,0.8342644320297953,0.8501547987616098,0.8566108007448789,0.7826625386996903,0.8230912476722533,0.7578947368421053
Florida,APS Outdoor,2037,5137,7.072655866470301,6.756594763645438,0.31606110282486277,0.8988708885616102,0.9217442086821102,0.8478154148257243,0.8107845045746545,0.791850760922926,0.7710726104730389
Florida,APS Upholstery,1212,3799,7.418316831683167,7.0831712107467455,0.3351456209364212,0.9009900990099006,0.8968149513029745,0.8655115511551154,0.8038957620426426,0.8424092409240926,0.7296657015003949
Florida,APS Youth,974,2530,7.236139630390142,6.892531098018544,0.34360853237159805,0.8788501026694046,0.8656126482213437,0.8880903490759754,0.7786561264822137,0.8572895277207393,0.7727272727272725
Florida,Casegoods,1724,4544,7.467154757301215,7.123896972416175,0.34325778488504,0.8677494199535963,0.8919454225352113,0.8277262180974476,0.7744278169014083,0.7929234338747101,0.7610035211267605
Florida,Decor,1314,4064,7.89421613394216,7.199720082707773,0.6944960512343865,0.8987823439878234,0.9256889763779528,0.8531202435312024,0.8088090551181101,0.8333333333333334,0.7977362204724407
Florida,Lighting,1640,4394,7.578048780487806,7.30123229159582,0.27681648889198573,0.8829268292682927,0.9050978607191625,0.8609756097560975,0.7938097405553027,0.8103658536585364,0.7592171142467
Florida,Outdoor Furniture,1601,3475,7.409431605246721,7.403828593062765,0.005603012183955869,0.8251093066833229,0.856115107913669,0.835727670206121,0.7576978417266187,0.7632729544034978,0.7335251798561151
Florida,Plumbing,667,1852,7.710644677661169,7.076954037259784,0.6336906404013849,0.9295352323838078,0.9249460043196545,0.8860569715142429,0.8120950323974082,0.8590704647676162,0.7910367170626349
Florida,Soft Home,1200,3517,7.381666666666667,7.113996566055825,0.2676701006108422,0.9199999999999998,0.9189650270116578,0.8641666666666666,0.8055160648279784,0.8241666666666667,0.7537674154108616
