dest_region,msbd_week,vol_direct,vol_local,o2d_direct,o2d_local,o2d_delta,ifr_direct,ifr_local,del_direct,del_local,det_direct,det_local
Florida,2026-05-10,734,7560,8.320873069936422,7.137954581313382,1.1829184886230397,0.7615803814713896,0.9365079365079364,0.6403269754768393,0.8408730158730157,0.6948228882833788,0.8343915343915345
Florida,2026-06-14,341,8655,7.492016943629847,6.973185938405496,0.5188310052243503,0.9208211143695014,0.911265164644714,0.9208211143695014,0.8640092432120163,0.9266862170087976,0.844251877527441
Mid-Atlantic,2026-05-10,752,6511,8.498670212765957,7.227652864012917,1.2710173487530394,0.761968085106383,0.9305790201197974,0.5571808510638298,0.8172323759791124,0.7273936170212766,0.8018737521118107
Mid-Atlantic,2026-06-14,321,7091,8.037383177570094,7.032358225937154,1.0050249516329401,0.940809968847352,0.9057960795374419,0.9439252336448596,0.8375405443519955,0.9532710280373832,0.8200535890565506
Midwest,2026-05-10,1217,18692,8.57189811010682,6.9820829355270115,1.589815174579809,0.7534921939194741,0.9280975818531995,0.580115036976171,0.8507382837577572,0.6902218570254723,0.8579606248662529
Midwest,2026-05-17,15758,3132,7.375096846776978,7.404336197168185,-0.029239350391206287,0.9084274654143927,0.9179438058748404,0.9209925117400685,0.89272030651341,0.9257519989846428,0.9080459770114943
Midwest,2026-05-24,20806,2610,7.922876638124505,8.568351892862918,-0.6454752547384128,0.8344708257233491,0.7992337164750958,0.8788330289339615,0.8022988505747126,0.7764106507738152,0.7624521072796935
Midwest,2026-05-31,15105,2056,7.146999797577398,8.584824606022146,-1.4378248084447476,0.8788480635551139,0.8010700389105059,0.8150281363786827,0.7392996108949417,0.8091360476663355,0.7597276264591439
Midwest,2026-06-07,12132,3710,6.98744557310808,7.867175929048596,-0.8797303559405156,0.9243323442136502,0.8215633423180593,0.8108308605341248,0.7560646900269542,0.7966534784042203,0.7676549865229111
Midwest,2026-06-14,611,20925,8.405891980360066,6.958195437939468,1.4476965424205979,0.9607201309328969,0.9093906810035842,0.9214402618657938,0.8411947431302268,0.9525368248772504,0.8347909199522102
Northeast,2026-05-10,812,10659,8.389162561576354,7.413407230785612,0.9757553307907418,0.7770935960591133,0.927291490758983,0.6724137931034482,0.8379772961816305,0.75,0.8194952622197205
Northeast,2026-05-17,8228,1244,7.61227995942791,8.099109321594533,-0.4868293621666231,0.8992464754496841,0.9003215434083601,0.9343704423918328,0.8987138263665593,0.925376762275158,0.8946945337620579
Northeast,2026-06-07,6479,1690,7.14602124546411,8.150489060681938,-1.0044678152178284,0.9268405618150949,0.7745562130177515,0.8914956011730205,0.7727810650887574,0.8581571230128104,0.7710059171597633
Northeast,2026-06-14,393,11973,8.364503816793894,7.160222061614114,1.20428175517978,0.9465648854961832,0.9044516829533115,0.9643765903307888,0.861187672262591,0.9592875318066157,0.8256911383947216
Southeast,2026-05-10,1138,13460,8.439477152899824,7.009234348978123,1.4302428039217014,0.7829525483304042,0.9309806835066866,0.5289982425307556,0.815601783060921,0.6643233743409491,0.8057949479940565
Southeast,2026-05-17,11699,1327,7.1804589980573,7.645108191637258,-0.46464919357995793,0.9085391913838788,0.9027882441597589,0.9155483374647406,0.8877166541070083,0.9103342165997094,0.8944988696307461
Southeast,2026-06-07,9734,1879,6.744446086115388,8.131263612237065,-1.3868175261216775,0.933223751797822,0.7738158594997337,0.8648037805629751,0.6577967003725386,0.834908567906308,0.6343799893560405
Southeast,2026-06-14,464,14946,7.790948275862069,6.854927908346266,0.9360203675158036,0.9030172413793104,0.9085374013113874,0.9008620689655172,0.8370801552254783,0.9310344827586207,0.8097149739060621
