lookback_window,window_label,direct_cohort,suppliers,total_vol,candidate_vol,direct_vol,sparse_far_vol,jumbo_vol,ghost_vol,misshipping_vol,candidate_partition_ok,ifr,delivery_rel,ifr_candidate,delivery_rel_candidate,ifr_direct,delivery_rel_direct,ifr_sparse_far,delivery_rel_sparse_far,ifr_jumbo,delivery_rel_jumbo,ifr_ghost,delivery_rel_ghost,ifr_misshipping,delivery_rel_misshipping,missing_actual_hub_vol
msbd_2w,2-week MSBD,no_directs,7035,1116816,6538,316,1732,4065,0,425,True,0.9061143464993339,0.6697074540479363,0.8401651881309269,0.5422147445702049,0.8765822784810127,0.7120253164556962,0.8481524249422633,0.7476905311778291,0.8403444034440345,0.44747847478474784,,,0.7788235294117647,0.48470588235294115,78986
msbd_2w,2-week MSBD,misshipping,1404,207370,18138,57,730,1341,0,16010,True,0.8881805468486282,0.6727057915802671,0.8842209725438306,0.6091630830301026,0.6491228070175439,0.7543859649122807,0.8575342465753425,0.7616438356164383,0.8023862788963461,0.5495898583146905,,,0.8931292941911305,0.6066833229231731,9871
msbd_2w,2-week MSBD,ghost_warehouses,481,64689,14798,215,340,1331,11925,987,True,0.8702716072284314,0.7030870781740327,0.7960535207460468,0.7105689958102446,0.8511627906976744,0.8093023255813954,0.9147058823529411,0.8352941176470589,0.8129226145755072,0.6476333583771601,0.7794549266247379,0.71916142557652,0.9209726443768997,0.6271529888551165,2704
msbd_2w,2-week MSBD,consistently_builds_directs,34,37429,1873,814,48,812,0,199,True,0.8745090705068265,0.6929386304736967,0.8846769887880406,0.6444207154297917,0.9004914004914005,0.7628992628992629,0.875,0.5416666666666666,0.8817733990147784,0.5443349753694581,,,0.8341708542713567,0.592964824120603,1585
msbd_2w,2-week MSBD,sometimes_builds_directs,20,13671,598,291,26,213,0,68,True,0.8995684295223468,0.7096042718162535,0.7759197324414716,0.7307692307692307,0.6941580756013745,0.8384879725085911,0.9230769230769231,0.8076923076923077,0.8028169014084507,0.568075117370892,,,0.9852941176470589,0.75,802
pdd_10w,10-week promised delivery date,no_directs,7231,3456341,107516,3775,69169,27698,0,6874,True,0.9016240006411405,0.8651825731315284,0.8907418430745191,0.8065125190669296,0.8683443708609272,0.8370860927152318,0.9075742023160664,0.8483713802425942,0.855621344501408,0.7106289262762654,,,0.8751818446319465,0.7548734361361653,160292
pdd_10w,10-week promised delivery date,misshipping,4458,1425399,134317,2478,35650,22479,0,73710,True,0.8921537057343242,0.8417460654876284,0.8657206459346174,0.7116820655613213,0.8385794995964487,0.8668280871670703,0.8928190743338008,0.8320056100981768,0.8200542728769074,0.6965612349303795,,,0.8674535341202007,0.6528829195495862,18225
pdd_10w,10-week promised delivery date,ghost_warehouses,616,331149,84941,2423,6591,12741,56117,7069,True,0.8614732341030774,0.8385560578470719,0.772442048009795,0.7719004956381489,0.7148163433759802,0.8638052001650846,0.8384160218479745,0.8023061750872402,0.6875441488109254,0.6857389529864216,0.7754156494466917,0.7936810592155676,0.8600933653982176,0.6944405149243175,3209
pdd_10w,10-week promised delivery date,sometimes_builds_directs,281,1526689,93084,16583,34719,18093,0,23689,True,0.901148170976538,0.8643305873036355,0.8631666022087576,0.8044776760775214,0.8753542784779593,0.8445998914551046,0.8846164924104957,0.8319652063711512,0.8070524512242304,0.7258608301553087,,,0.8660559753472076,0.796150111866267,16559
pdd_10w,10-week promised delivery date,consistently_builds_directs,63,534800,26803,4967,9719,6836,0,5281,True,0.9002318623784594,0.861163051608078,0.8327052941834869,0.7648397567436483,0.8083350110730824,0.8639017515602979,0.8560551497067598,0.7657166375141472,0.7925687536571094,0.6906085430076068,,,0.864608975572808,0.766142775989396,4793
