lookback_window,timebase,supplier_id,su_name,parent_suid,parent_su_name,parent_warehouse_states,sto,srm_contact,own_state,supplier_behavior,total_vol,candidate_vol,misshipping_signal_vol,misshipping_share,undeclared_candidate_vol,directish_vol,directish_share,ghost_hubs,ghost_states,n_ghost_hubs,n_ghost_states,ifr,delivery_rel,misshipping_opid_vol,ghost_opid_vol,jumbo_opid_vol,direct_opid_vol,other_far_opid_vol,non_candidate_vol,ifr_misshipping,ifr_ghost,ifr_direct,ifr_other_far,ifr_candidate,delivery_rel_misshipping,delivery_rel_ghost,delivery_rel_direct,delivery_rel_candidate
pdd_10w,promised_delivery_end_range_date_at_order,22696,Surya GA 30184 (1 Surya Dr),291,Surya,"CA,GA",Rugs,Alex Melius,GA,builds_directs,115800,8060,896,0.007737478411053541,7056,6296,0.05436960276338515,,,0,0,0.9590414507771999,0.8731001727115723,896,0,868,2102,4194,107740,0.918526785714286,,0.9039010466222636,0.9086790653314274,0.9099255583126555,0.8671875000000004,,0.8144624167459563,0.8232009925558319
pdd_10w,promised_delivery_end_range_date_at_order,237104,Devion Furniture,58079,Devion Furniture_1,CA,APS,Sean Xu,CA,builds_directs,34091,4217,0,0.0,4141,3653,0.10715438092165087,,,0,0,0.9269895280279257,0.8945469478748052,0,0,564,2588,1065,29874,,,0.9632921174652239,0.9680751173708927,0.9649039601612529,,,0.862828438948996,0.865544225752904
pdd_10w,promised_delivery_end_range_date_at_order,59806,DesignArt Inc. NY,22180,DesignArt Inc.,NY,Decor,Maxwell Threlkeld,NY,builds_directs,34731,3332,0,0.0,3223,2892,0.08326854971063315,,,0,0,0.9019895770349247,0.8866430566352828,0,0,440,1533,1359,31399,,,0.9386823222439661,0.9293598233995589,0.9285714285714292,,,0.9197651663405084,0.8937575030011996
pdd_10w,promised_delivery_end_range_date_at_order,52925,Loloi Rugs GA 30121,1452,Loloi Rugs,"GA,TX",Rugs,Alex Melius,GA,builds_directs,45779,2947,149,0.0032547674698005635,2718,2512,0.054872321370060505,,,0,0,0.7711832936499274,0.7858843574564756,149,0,286,1549,963,42832,0.7651006711409396,,0.7630729502905103,0.7736240913811004,0.7706141839158462,0.7315436241610739,,0.8063266623628145,0.776722090261283
pdd_10w,promised_delivery_end_range_date_at_order,44034,Wexford Home IL,23886,Wexford Home,IL,Decor,Maxwell Threlkeld,IL,builds_directs,35435,2568,0,0.0,2493,2201,0.062113729363623534,,,0,0,0.8681529561168352,0.8362918018907861,0,0,367,1010,1191,32867,,,0.9108910891089115,0.9244332493702776,0.9151090342679125,,,0.865346534653465,0.8383956386292831
pdd_10w,promised_delivery_end_range_date_at_order,14129,nuLOOM NJ 08512,5468,nuLOOM,"CA,NJ",Rugs,Brianna Barrett,NJ,builds_directs,22590,2032,49,0.002169101372288623,1975,1720,0.07613988490482515,,,0,0,0.9259849490925187,0.9131474103585662,49,0,263,611,1109,20558,0.7551020408163263,,0.9869067103109659,0.9873760144274111,0.9803149606299221,0.673469387755102,,0.9459901800327332,0.9010826771653543
pdd_10w,promised_delivery_end_range_date_at_order,27346,Nearly Natural FL,6812,Nearly Natural,FL,Decor,Maxwell Threlkeld,FL,builds_directs,7339,1915,0,0.0,960,789,0.10750783485488487,,,0,0,0.9506744788118271,0.8871780896579916,0,0,1126,384,405,5424,,,0.9843750000000002,0.9925925925925927,0.9540469973890335,,,0.9270833333333333,0.8851174934725853
pdd_10w,promised_delivery_end_range_date_at_order,100229,Zgear LLC TX 75247,48773,VelvetCraft Furniture LLC,TX,APS Home Improvement,Hernando Xia,TX,builds_directs,20552,1780,0,0.0,1738,1492,0.07259634098871157,,,0,0,0.9694433631763311,0.9190833008952894,0,0,288,761,731,18772,,,0.9684625492772666,0.9822161422708613,0.975842696629213,,,0.9487516425755579,0.921348314606743
pdd_10w,promised_delivery_end_range_date_at_order,43978,Revman International SC 29301,1748,Revman International,"SC,UT",Soft Home,Missy Paragamian,SC,builds_directs,25220,1773,10,0.0003965107057890563,1695,1408,0.05582870737509913,,,0,0,0.9769627279936562,0.9311657414750184,10,0,355,765,643,23447,0.7,,0.9895424836601305,0.9860031104199071,0.9813874788494075,0.4,,0.9333333333333327,0.8911449520586584
pdd_10w,promised_delivery_end_range_date_at_order,35142,Tayse Rugs GA 30701,5250,Tayse Rugs,GA,Rugs,Brianna Barrett,GA,builds_directs,15953,1766,0,0.0,1765,1519,0.09521720052654672,,,0,0,0.7809189494139034,0.7876261518209717,0,0,247,1126,393,14187,,,0.8001776198934277,0.8651399491094148,0.8182332955832389,,,0.8126110124333922,0.8046432616081538
