lookback_window,timebase,supplier_id,su_name,parent_suid,parent_su_name,parent_warehouse_states,sto,srm_contact,own_state,supplier_behavior,total_vol,candidate_vol,misshipping_signal_vol,misshipping_share,undeclared_candidate_vol,directish_vol,directish_share,ghost_hubs,ghost_states,n_ghost_hubs,n_ghost_states,ifr,delivery_rel,misshipping_opid_vol,ghost_opid_vol,jumbo_opid_vol,direct_opid_vol,other_far_opid_vol,non_candidate_vol,ifr_misshipping,ifr_ghost,ifr_direct,ifr_other_far,ifr_candidate,delivery_rel_misshipping,delivery_rel_ghost,delivery_rel_direct,delivery_rel_candidate
pdd_10w,promised_delivery_end_range_date_at_order,49461,Uniek WI 53597,22487,Uniek,WI,Decor,Waverly Winterer,WI,far_hub_noise,26206,1528,0,0.0,1390,1274,0.048614821033351144,,,0,0,0.987178508738457,0.8980004579104035,0,0,254,0,1274,24678,,,,0.9968602825745686,0.9928010471204178,,,,0.8599476439790578
pdd_10w,promised_delivery_end_range_date_at_order,31996,I Enjoy Bedding Company TN37086,19319,I Enjoy Bedding Company,TN,Soft Home,Madison Carvalho,TN,far_hub_noise,24277,1021,0,0.0,908,860,0.0354244758413313,,,0,0,0.977509576965851,0.8933970424681779,0,0,161,0,860,23256,,,,0.9953488372093018,0.9921645445641525,,,,0.852105778648384
pdd_10w,promised_delivery_end_range_date_at_order,62754,Lichtenberg GA,14925,Lichtenberg,GA,Soft Home,Missy Paragamian,GA,far_hub_noise,22787,951,0,0.0,932,860,0.03774081713257559,,,0,0,0.9906964497301082,0.8383727563961902,0,0,91,0,860,21836,,,,0.9860465116279074,0.9863301787592008,,,,0.862250262881178
pdd_10w,promised_delivery_end_range_date_at_order,40360,Cathay Home Inc. NJ,14556,Cathay Home Inc.,NJ,Soft Home,Benjamin Hannigan,NJ,far_hub_noise,20613,926,0,0.0,876,774,0.03754911948770193,,,0,0,0.9108814825595496,0.8741570853344968,0,0,152,0,774,19687,,,,0.9987080103359173,0.9946004319654426,,,,0.8714902807775382
pdd_10w,promised_delivery_end_range_date_at_order,41921,UMA Enterprises KY 41094(2),11272,Deco Marche,KY,Decor,Robert Williams,KY,far_hub_noise,19185,853,0,0.0,799,745,0.03883242116236643,,,0,0,0.8570758405003909,0.8692728694292425,0,0,108,0,745,18332,,,,0.8536912751677849,0.8511137162954286,,,,0.8452520515826503
pdd_10w,promised_delivery_end_range_date_at_order,30825,Trademark Global Oh44053,1093,Trademark Global,OH,Casegoods,Karolina Coulter,OH,far_hub_noise,15469,769,0,0.0,750,652,0.04214881375654535,,,0,0,0.9759519038076161,0.9121468743939488,0,0,117,0,652,14700,,,,0.9677914110429446,0.9362808842652797,,,,0.8608582574772435
pdd_10w,promised_delivery_end_range_date_at_order,20947,Mint Group Inc.,20947,Mint Group Inc.,VA,Casegoods,Kyle Pascale,VA,far_hub_noise,14061,716,0,0.0,714,457,0.03250124457719934,,,0,0,0.9812246639641558,0.9363487660906064,0,0,259,0,457,13345,,,,1.0,1.0,,,,0.9343575418994403
pdd_10w,promised_delivery_end_range_date_at_order,186459,Revman International UT 84074,1748,Revman International,"SC,UT",Soft Home,Missy Paragamian,UT,far_hub_noise,14208,602,1,7.038288288288288e-05,510,446,0.031390765765765764,,,0,0,0.9669904279279287,0.9070242117117105,1,0,155,0,446,13606,1.0,,,1.0,0.9933554817275742,1.0,,,0.8770764119601324
pdd_10w,promised_delivery_end_range_date_at_order,63140,Trademark Global OH 44053,1093,Trademark Global,OH,Casegoods,Karolina Coulter,OH,far_hub_noise,11369,562,0,0.0,545,504,0.04433107573225437,,,0,0,0.9852229747559148,0.9298091300905991,0,0,58,0,504,10807,,,,0.9642857142857137,0.9608540925266907,,,,0.870106761565836
pdd_10w,promised_delivery_end_range_date_at_order,61549,Four Hands TX,12097,Four Hands,TX,PG Casegoods,Jonathan Leanos,TX,far_hub_noise,3851,558,0,0.0,55,69,0.017917424045702415,,,0,0,0.9703972994027492,0.9444300181770974,0,0,489,0,69,3293,,,,0.9855072463768116,0.9820788530465953,,,,0.9336917562724014
pdd_10w,promised_delivery_end_range_date_at_order,37606,Veradek Inc. NY 14043,20900,Veradek Inc.,"CA,NY",Decor,Shannon Hoar,NY,far_hub_noise,11203,501,110,0.0098187985361064,369,345,0.030795322681424618,,,0,0,0.9692939391234513,0.9108274569311802,110,0,46,0,345,10702,0.9727272727272727,,,0.973913043478261,0.9740518962075854,0.9363636363636363,,,0.9281437125748495
pdd_10w,promised_delivery_end_range_date_at_order,248926,NJ.,248914,SHENZHENSHIMINGXIAOSHANGMAOYOUXIANGONGSI,"CA,GA,NJ,TX",APS Bedroom,Lydia Liu,NJ,far_hub_noise,5157,468,31,0.0060112468489431845,432,188,0.036455303471010274,,,0,0,0.937560597246461,0.9394997091332179,31,0,249,0,188,4689,0.9677419354838709,,,0.8404255319148936,0.8311965811965806,0.8709677419354837,,,0.8696581196581196
pdd_10w,promised_delivery_end_range_date_at_order,24326,Tvilum VA 23927,3221,Tvilum,VA,Casegoods,Prisha Mark,VA,far_hub_noise,7799,422,0,0.0,422,360,0.046159764072316964,,,0,0,0.8293370944992948,0.8994742915758449,0,0,62,0,360,7377,,,,0.7111111111111111,0.7132701421800949,,,,0.7748815165876776
pdd_10w,promised_delivery_end_range_date_at_order,127095,Home Design Inc IN 46982,40861,Home Design Inc,IN,Casegoods,Zichu Wang,IN,far_hub_noise,24698,366,0,0.0,360,350,0.014171187950441332,,,0,0,0.9414122601020324,0.8620536075795618,0,0,16,0,350,24332,,,,0.9771428571428572,0.9781420765027324,,,,0.8579234972677593
