lookback_window,timebase,supplier_id,su_name,parent_suid,parent_su_name,parent_warehouse_states,sto,srm_contact,own_state,supplier_behavior,total_vol,candidate_vol,misshipping_signal_vol,misshipping_share,undeclared_candidate_vol,directish_vol,directish_share,ghost_hubs,ghost_states,n_ghost_hubs,n_ghost_states,ifr,delivery_rel,misshipping_opid_vol,ghost_opid_vol,jumbo_opid_vol,direct_opid_vol,other_far_opid_vol,non_candidate_vol,ifr_misshipping,ifr_ghost,ifr_direct,ifr_other_far,ifr_candidate,delivery_rel_misshipping,delivery_rel_ghost,delivery_rel_direct,delivery_rel_candidate
pdd_10w,promised_delivery_end_range_date_at_order,302333,NW Investment Inc TX 75041,64824,NW Investment Inc,"CA,PA,TX",APS Youth,Mariah Mao,TX,misshipping,11010,5120,4185,0.3801089918256131,894,687,0.06239782016348774,,,0,0,0.7186194368755674,0.6513169845594904,4185,0,248,0,687,5890,0.928315412186381,,,0.6899563318777292,0.88046875,0.846594982078852,,,0.8337890625000018
pdd_10w,promised_delivery_end_range_date_at_order,34657,Unique Loom SC29707,20901,Unique Loom,"CA,SC",Rugs,Alex Resnick,SC,misshipping,39863,4671,1785,0.04477836590321852,2877,2546,0.06386875047036099,,,0,0,0.9047989363570235,0.8754233248877404,1785,0,340,0,2546,35192,0.9394957983193283,,,0.8193244304791832,0.8651252408477837,0.9658263305322125,,,0.8676942838792557
pdd_10w,promised_delivery_end_range_date_at_order,35069,JLA Home GA 31407 - SV2,1987,JLA Home,"CA,GA",Soft Home,Missy Paragamian,GA,misshipping,38719,3882,403,0.010408326661329063,3308,2701,0.06975903303287792,,,0,0,0.9522714946150479,0.8629096825847757,403,0,778,0,2701,34837,0.9429280397022333,,,0.9185486856719725,0.9237506439979397,0.8238213399503723,,,0.7867078825347769
pdd_10w,promised_delivery_end_range_date_at_order,292469,Baishi NJ 08810 Bedshe,25843,"Bedshe International Co.,LTD","CA,NJ,TX",APS,Rainbow Wu,NJ,misshipping,15573,3733,2776,0.17825724009503627,902,682,0.0437937455853079,,,0,0,0.9862582675142862,0.698002953830347,2776,0,275,0,682,11840,0.9791066282420762,,,0.9970674486803517,0.9823198499866064,0.2413544668587897,,,0.36485400482185876
pdd_10w,promised_delivery_end_range_date_at_order,223799,Safavieh Texas,381,Safavieh,"CA,GA,IN,NJ,NY,PA,TX",Rugs,Alex Resnick,TX,misshipping,31805,3305,1223,0.03845307341612954,1879,1462,0.045967615154849865,,,0,0,0.8007545983335956,0.8171985536865273,1223,0,620,0,1462,28500,0.8372853638593623,,,0.9035567715458267,0.8792738275340408,0.8748977923139801,,,0.8620272314674732
pdd_10w,promised_delivery_end_range_date_at_order,350373,York Wallcoverings PA 17408,5821,York Wallcoverings,"OH,PA",Decor,Maxwell Threlkeld,PA,misshipping,15493,2339,1588,0.10249790227844834,746,647,0.041760795197831276,,,0,0,0.8017169044084425,0.8013296327373637,1588,0,104,0,647,13154,0.9326196473551648,,,0.9629057187017,0.9410004275331327,0.9326196473551646,,,0.9264643009833262
pdd_10w,promised_delivery_end_range_date_at_order,85184,Aosom LLC GA30294,5725,Aosom LLC,"CA,GA,NJ",APS Outdoor,Amber Xiang,GA,misshipping,11622,2292,1144,0.09843400447427293,1140,924,0.07950438822922044,,,0,0,0.9624849423507151,0.8828084667010844,1144,0,224,0,924,9330,0.990384615384615,,,0.9880952380952372,0.9821116928446766,0.8828671328671329,,,0.8791448516579408
pdd_10w,promised_delivery_end_range_date_at_order,93132,Safavieh IN46075,381,Safavieh,"CA,GA,IN,NJ,NY,PA,TX",Rugs,Alex Resnick,IN,misshipping,31748,2236,1124,0.03540380496409223,918,826,0.026017386922010836,,,0,0,0.8399269245306793,0.8600856746881703,1124,0,286,0,826,29512,0.8967971530249114,,,0.9515738498789347,0.9194991055456179,0.8122775800711743,,,0.8278175313059025
pdd_10w,promised_delivery_end_range_date_at_order,338215,"Bedshe International Co.,LTD CA 91761",25843,"Bedshe International Co.,LTD","CA,NJ,TX",APS,Rainbow Wu,CA,misshipping,11147,2084,1135,0.10182111778953978,838,670,0.060105858078406744,,,0,0,0.9412397954606625,0.8406746209742525,1135,0,279,0,670,9063,0.98942731277533,,,0.9865671641791048,0.9870441458733201,0.6519823788546267,,,0.7476007677543194
pdd_10w,promised_delivery_end_range_date_at_order,136894,Sanders Collection NJ 10913,17662,Sanders Collection,"CA,NY",Soft Home,Benjamin Hannigan,NY,misshipping,19947,1811,236,0.011831353085677045,1549,1233,0.06181380658745676,,,0,0,0.9860129342758306,0.9030931969719753,236,0,342,0,1233,18136,0.9279661016949152,,,0.9886455798864549,0.9812258420761995,0.8177966101694917,,,0.8818332413031479
pdd_10w,promised_delivery_end_range_date_at_order,119437,Aosom LLC CA 92374,5725,Aosom LLC,"CA,GA,NJ",APS Outdoor,Amber Xiang,CA,misshipping,12639,1773,163,0.012896589920088615,1439,1186,0.09383653770076747,,,0,0,0.9923253421947945,0.9261017485560586,163,0,424,0,1186,10866,0.9938650306748466,,,0.9957841483979764,0.9943598420755778,0.8957055214723925,,,0.9266779469825152
pdd_10w,promised_delivery_end_range_date_at_order,59119,Safavieh CA 92518,381,Safavieh,"CA,GA,IN,NJ,NY,PA,TX",Rugs,Alex Resnick,CA,misshipping,18595,1700,356,0.019144931433180964,1058,971,0.052218338262973917,,,0,0,0.9033611185802641,0.8631352514116708,356,0,373,0,971,16895,0.848314606741573,,,0.9917610710607612,0.9600000000000006,0.8511235955056174,,,0.806470588235294
