lookback_window,timebase,ops,purchase_order_number,tracking_number,supplier_id,su_name,parent_suid,parent_su_name,parent_warehouse_states,sto,srm_contact,own_state,city_name,postal_code,msbd_su,promised_delivery_end_range_date_at_order,ind_day,week_start,delivery_date,assigned_induction_hub_name,assigned_station_state,actual_induction_hub_name,actual_induction_hub_state,destination_zipcode,destination_state,distance_assignedhub_customer,distance_actualhub_customer,distance_assignedhub_actualhub,direct_gain,inducted_on_time_or_early,delivery_rel,cushion,missing_actual_hub,is_candidate,is_far_hub,is_sibling_state,is_undeclared_state,supplier_behavior,supplier_total_vol,supplier_candidate_vol,supplier_misshipping_vol,supplier_misshipping_share,supplier_undeclared_candidate_vol,supplier_directish_vol,supplier_directish_share,supplier_ghost_hubs,supplier_ghost_states,n_ghost_hubs,n_ghost_states,supplier_ifr,supplier_delivery_rel,opid_flag,is_misshipping,is_ghost_warehouse,is_jumbo,is_direct,is_other_far
pdd_10w,promised_delivery_end_range_date_at_order,12537661835,673924645,875960365451,110022,Loloi Rugs TX 75241,1452,Loloi Rugs,"GA,TX",Rugs,Alex Melius,TX,Dallas,75241,2026-08-17,2026-08-19,2026-08-19,2026-08-16,2026-08-20,DALLAS LOCAL,TX,South Atlanta Ncpc,GA,30066,GA,784.0,46.5,798.2,0.9406887755102041,0,0,0,0,1,1,1,0,ghost_warehouse,29725,2447,119,0.0040033641715727505,2279,1813,0.06099243061396131,,CA 33 hubs 3%,0,1,0.9374600504625731,0.8593439865433121,misshipping,1,0,0,0,0
pdd_10w,promised_delivery_end_range_date_at_order,12535216385,673710469,875739511434,110022,Loloi Rugs TX 75241,1452,Loloi Rugs,"GA,TX",Rugs,Alex Melius,TX,Dallas,75241,2026-08-13,2026-08-17,,2026-08-16,2026-08-16,DALLAS LOCAL,TX,Ann Arbor,MI,48176,MI,1155.7,0.0,1155.7,1.0,0,1,0,0,1,1,0,1,ghost_warehouse,29725,2447,119,0.0040033641715727505,2279,1813,0.06099243061396131,,CA 33 hubs 3%,0,1,0.9374600504625731,0.8593439865433121,other_far,0,0,0,0,1
pdd_10w,promised_delivery_end_range_date_at_order,80198577850,673667959,875744754166,110022,Loloi Rugs TX 75241,1452,Loloi Rugs,"GA,TX",Rugs,Alex Melius,TX,Dallas,75241,2026-08-13,2026-08-17,,2026-08-16,2026-08-16,DALLAS LOCAL,TX,South San Francisco,CA,94404,CA,1740.5,14.0,1754.5,0.9919563343866705,0,1,0,0,1,1,0,1,ghost_warehouse,29725,2447,119,0.0040033641715727505,2279,1813,0.06099243061396131,,CA 33 hubs 3%,0,1,0.9374600504625731,0.8593439865433121,ghost_warehouse,0,1,0,0,0
pdd_10w,promised_delivery_end_range_date_at_order,80198562050,673666410,875734357325,110022,Loloi Rugs TX 75241,1452,Loloi Rugs,"GA,TX",Rugs,Alex Melius,TX,Dallas,75241,2026-08-13,2026-08-16,,2026-08-16,2026-08-16,DALLAS LOCAL,TX,Ventura,CA,93001,CA,1513.7,4.8,1510.4,0.9968289621457357,0,1,0,0,1,1,0,1,ghost_warehouse,29725,2447,119,0.0040033641715727505,2279,1813,0.06099243061396131,,CA 33 hubs 3%,0,1,0.9374600504625731,0.8593439865433121,ghost_warehouse,0,1,0,0,0
pdd_10w,promised_delivery_end_range_date_at_order,80186959540,672572252,875489164433,110022,Loloi Rugs TX 75241,1452,Loloi Rugs,"GA,TX",Rugs,Alex Melius,TX,Dallas,75241,2026-08-07,2026-08-12,2026-08-07,2026-08-09,2026-08-08,MARIETTA LOCAL,GA,South Dallas Rsf,TX,75034,TX,817.3,38.5,795.8,0.9528936742934051,1,1,0,0,1,1,0,0,ghost_warehouse,29725,2447,119,0.0040033641715727505,2279,1813,0.06099243061396131,,CA 33 hubs 3%,0,1,0.9374600504625731,0.8593439865433121,other_far,0,0,0,0,1
pdd_10w,promised_delivery_end_range_date_at_order,80187753570,672645952,875579817120,110022,Loloi Rugs TX 75241,1452,Loloi Rugs,"GA,TX",Rugs,Alex Melius,TX,Dallas,75241,2026-08-10,2026-08-12,2026-08-10,2026-08-09,2026-08-12,MARIETTA LOCAL,GA,Dallas,TX,60614,IL,701.0,975.6,787.7,-0.39172610556348075,1,1,0,0,1,1,0,0,ghost_warehouse,29725,2447,119,0.0040033641715727505,2279,1813,0.06099243061396131,,CA 33 hubs 3%,0,1,0.9374600504625731,0.8593439865433121,jumbo,0,0,1,0,0
pdd_10w,promised_delivery_end_range_date_at_order,80183304210,672228345,875382989085,110022,Loloi Rugs TX 75241,1452,Loloi Rugs,"GA,TX",Rugs,Alex Melius,TX,Dallas,75241,2026-08-05,2026-08-09,2026-08-05,2026-08-09,2026-08-08,MARIETTA LOCAL,GA,South Dallas Rsf,TX,14615,NY,944.0,1452.5,795.8,-0.5386652542372882,1,1,0,0,1,1,0,0,ghost_warehouse,29725,2447,119,0.0040033641715727505,2279,1813,0.06099243061396131,,CA 33 hubs 3%,0,1,0.9374600504625731,0.8593439865433121,jumbo,0,0,1,0,0
pdd_10w,promised_delivery_end_range_date_at_order,80184108140,672302669,875477568344,110022,Loloi Rugs TX 75241,1452,Loloi Rugs,"GA,TX",Rugs,Alex Melius,TX,Dallas,75241,2026-08-05,2026-08-09,2026-08-08,2026-08-09,2026-08-12,DALLAS LOCAL,TX,South Atlanta Ncpc,GA,90077,CA,1471.5,2209.4,798.2,-0.5014610941216446,0,0,0,0,1,1,1,0,ghost_warehouse,29725,2447,119,0.0040033641715727505,2279,1813,0.06099243061396131,,CA 33 hubs 3%,0,1,0.9374600504625731,0.8593439865433121,misshipping,1,0,0,0,0
pdd_10w,promised_delivery_end_range_date_at_order,11471577896,671590256,875329061260,110022,Loloi Rugs TX 75241,1452,Loloi Rugs,"GA,TX",Rugs,Alex Melius,TX,Dallas,75241,2026-08-03,2026-08-07,2026-08-04,2026-08-02,2026-08-10,DALLAS LOCAL,TX,South Atlanta Ncpc,GA,92692,CA,1432.5,2194.7,798.2,-0.5320767888307154,0,0,0,0,1,1,1,0,ghost_warehouse,29725,2447,119,0.0040033641715727505,2279,1813,0.06099243061396131,,CA 33 hubs 3%,0,1,0.9374600504625731,0.8593439865433121,misshipping,1,0,0,0,0
pdd_10w,promised_delivery_end_range_date_at_order,80176269020,671551548,875329019944,110022,Loloi Rugs TX 75241,1452,Loloi Rugs,"GA,TX",Rugs,Alex Melius,TX,Dallas,75241,2026-08-03,2026-08-07,2026-08-04,2026-08-02,2026-08-12,DALLAS LOCAL,TX,South Atlanta Ncpc,GA,98052,WA,2212.9,2686.2,798.2,-0.2138822359799357,0,0,0,0,1,1,1,0,ghost_warehouse,29725,2447,119,0.0040033641715727505,2279,1813,0.06099243061396131,,CA 33 hubs 3%,0,1,0.9374600504625731,0.8593439865433121,misshipping,1,0,0,0,0
pdd_10w,promised_delivery_end_range_date_at_order,80182336780,672142601,875364929920,110022,Loloi Rugs TX 75241,1452,Loloi Rugs,"GA,TX",Rugs,Alex Melius,TX,Dallas,75241,2026-08-05,2026-08-07,2026-08-09,2026-08-02,,DALLAS LOCAL,TX,Fort Collins,CO,60067,IL,949.8,,936.0,,0,0,0,0,1,1,0,1,ghost_warehouse,29725,2447,119,0.0040033641715727505,2279,1813,0.06099243061396131,,CA 33 hubs 3%,0,1,0.9374600504625731,0.8593439865433121,jumbo,0,0,1,0,0
pdd_10w,promised_delivery_end_range_date_at_order,12418535229,671594342,875329076653,110022,Loloi Rugs TX 75241,1452,Loloi Rugs,"GA,TX",Rugs,Alex Melius,TX,Dallas,75241,2026-08-03,2026-08-06,2026-08-04,2026-08-02,2026-08-06,DALLAS LOCAL,TX,South Atlanta Ncpc,GA,50219,IA,754.3,883.5,798.2,-0.17128463476070535,0,1,0,0,1,1,1,0,ghost_warehouse,29725,2447,119,0.0040033641715727505,2279,1813,0.06099243061396131,,CA 33 hubs 3%,0,1,0.9374600504625731,0.8593439865433121,misshipping,1,0,0,0,0
pdd_10w,promised_delivery_end_range_date_at_order,80175282290,671456229,875392813836,110022,Loloi Rugs TX 75241,1452,Loloi Rugs,"GA,TX",Rugs,Alex Melius,TX,Dallas,75241,2026-08-03,2026-08-06,2026-08-07,2026-08-02,2026-08-11,DALLAS LOCAL,TX,South Atlanta Ncpc,GA,55116,MN,950.2,1147.7,798.2,-0.2078509787413176,0,0,0,0,1,1,1,0,ghost_warehouse,29725,2447,119,0.0040033641715727505,2279,1813,0.06099243061396131,,CA 33 hubs 3%,0,1,0.9374600504625731,0.8593439865433121,misshipping,1,0,0,0,0
pdd_10w,promised_delivery_end_range_date_at_order,80176014490,671527609,875328202238,110022,Loloi Rugs TX 75241,1452,Loloi Rugs,"GA,TX",Rugs,Alex Melius,TX,Dallas,75241,2026-08-03,2026-08-06,2026-08-04,2026-08-02,2026-08-07,DALLAS LOCAL,TX,South Atlanta Ncpc,GA,80442,CO,886.5,,798.2,,0,0,0,0,1,1,1,0,ghost_warehouse,29725,2447,119,0.0040033641715727505,2279,1813,0.06099243061396131,,CA 33 hubs 3%,0,1,0.9374600504625731,0.8593439865433121,misshipping,1,0,0,0,0
pdd_10w,promised_delivery_end_range_date_at_order,80176267300,671551369,875328983208,110022,Loloi Rugs TX 75241,1452,Loloi Rugs,"GA,TX",Rugs,Alex Melius,TX,Dallas,75241,2026-08-03,2026-08-06,2026-08-04,2026-08-02,2026-08-11,DALLAS LOCAL,TX,South Atlanta Ncpc,GA,91202,CA,1448.4,2189.2,798.2,-0.5114609223971276,0,0,0,0,1,1,1,0,ghost_warehouse,29725,2447,119,0.0040033641715727505,2279,1813,0.06099243061396131,,CA 33 hubs 3%,0,1,0.9374600504625731,0.8593439865433121,misshipping,1,0,0,0,0
pdd_10w,promised_delivery_end_range_date_at_order,80176715620,671595428,875329714746,110022,Loloi Rugs TX 75241,1452,Loloi Rugs,"GA,TX",Rugs,Alex Melius,TX,Dallas,75241,2026-08-03,2026-08-06,2026-08-04,2026-08-02,2026-08-10,DALLAS LOCAL,TX,South Atlanta Ncpc,GA,92010,CA,1392.7,2186.2,798.2,-0.5697565879227399,0,0,0,0,1,1,1,0,ghost_warehouse,29725,2447,119,0.0040033641715727505,2279,1813,0.06099243061396131,,CA 33 hubs 3%,0,1,0.9374600504625731,0.8593439865433121,misshipping,1,0,0,0,0
pdd_10w,promised_delivery_end_range_date_at_order,80177423580,671665070,875329096471,110022,Loloi Rugs TX 75241,1452,Loloi Rugs,"GA,TX",Rugs,Alex Melius,TX,Dallas,75241,2026-08-03,2026-08-06,2026-08-05,2026-08-02,2026-08-10,DALLAS LOCAL,TX,South Atlanta Ncpc,GA,92821,CA,1427.4,2178.9,798.2,-0.5264817150063051,0,0,0,0,1,1,1,0,ghost_warehouse,29725,2447,119,0.0040033641715727505,2279,1813,0.06099243061396131,,CA 33 hubs 3%,0,1,0.9374600504625731,0.8593439865433121,misshipping,1,0,0,0,0
pdd_10w,promised_delivery_end_range_date_at_order,80178700480,671789176,875329691178,110022,Loloi Rugs TX 75241,1452,Loloi Rugs,"GA,TX",Rugs,Alex Melius,TX,Dallas,75241,2026-08-03,2026-08-06,2026-08-04,2026-08-02,2026-08-11,DALLAS LOCAL,TX,South Atlanta Ncpc,GA,95746,CA,1766.7,2504.6,798.2,-0.41767136469123217,0,0,0,0,1,1,1,0,ghost_warehouse,29725,2447,119,0.0040033641715727505,2279,1813,0.06099243061396131,,CA 33 hubs 3%,0,1,0.9374600504625731,0.8593439865433121,misshipping,1,0,0,0,0
pdd_10w,promised_delivery_end_range_date_at_order,80178797300,671798939,875329722251,110022,Loloi Rugs TX 75241,1452,Loloi Rugs,"GA,TX",Rugs,Alex Melius,TX,Dallas,75241,2026-08-03,2026-08-06,2026-08-04,2026-08-02,2026-08-10,DALLAS LOCAL,TX,South Atlanta Ncpc,GA,92014,CA,1377.5,2171.2,798.2,-0.5761887477313973,0,0,0,0,1,1,1,0,ghost_warehouse,29725,2447,119,0.0040033641715727505,2279,1813,0.06099243061396131,,CA 33 hubs 3%,0,1,0.9374600504625731,0.8593439865433121,misshipping,1,0,0,0,0
pdd_10w,promised_delivery_end_range_date_at_order,80179325580,671850347,875335042558,110022,Loloi Rugs TX 75241,1452,Loloi Rugs,"GA,TX",Rugs,Alex Melius,TX,Dallas,75241,2026-08-03,2026-08-06,2026-08-05,2026-08-02,2026-08-07,DALLAS LOCAL,TX,South Atlanta Ncpc,GA,80124,CO,800.8,1431.1,798.2,-0.7870879120879121,0,0,0,0,1,1,1,0,ghost_warehouse,29725,2447,119,0.0040033641715727505,2279,1813,0.06099243061396131,,CA 33 hubs 3%,0,1,0.9374600504625731,0.8593439865433121,misshipping,1,0,0,0,0
pdd_10w,promised_delivery_end_range_date_at_order,80175932050,671519604,875328189605,110022,Loloi Rugs TX 75241,1452,Loloi Rugs,"GA,TX",Rugs,Alex Melius,TX,Dallas,75241,2026-08-03,2026-08-05,2026-08-04,2026-08-02,2026-08-10,DALLAS LOCAL,TX,South Atlanta Ncpc,GA,85260,AZ,1085.3,1869.8,798.2,-0.7228416106145766,0,0,0,0,1,1,1,0,ghost_warehouse,29725,2447,119,0.0040033641715727505,2279,1813,0.06099243061396131,,CA 33 hubs 3%,0,1,0.9374600504625731,0.8593439865433121,misshipping,1,0,0,0,0
