lookback_window,timebase,supplier_id,su_name,parent_suid,parent_su_name,parent_warehouse_states,sto,srm_contact,own_state,supplier_behavior,total_vol,candidate_vol,misshipping_signal_vol,misshipping_share,undeclared_candidate_vol,directish_vol,directish_share,ghost_hubs,ghost_states,n_ghost_hubs,n_ghost_states,ifr,delivery_rel,misshipping_opid_vol,ghost_opid_vol,jumbo_opid_vol,direct_opid_vol,other_far_opid_vol,non_candidate_vol,ifr_misshipping,ifr_ghost,ifr_direct,ifr_other_far,ifr_candidate,delivery_rel_misshipping,delivery_rel_ghost,delivery_rel_direct,delivery_rel_candidate
pdd_10w,promised_delivery_end_range_date_at_order,302637,"GigaCloud Trading, Inc. GA 31302",3215,"GigaCloud Trading, Inc.","CA,GA,NJ,TX",Outdoor Furniture,Amy Connell,GA,ghost_warehouse,11707,5020,339,0.028957034253011018,3286,850,0.07260613308277099,Williamsburg Ncpc (FL) 14%,FL 21 hubs 27%; TN 8 hubs 7%,1,2,0.6492696677201661,0.8633296318441936,339,2698,1417,0,566,6687,0.6017699115044254,0.5122312824314312,,0.5901060070671379,0.5669322709163349,0.6371681415929208,0.8269088213491467,,0.8237051792828685
pdd_10w,promised_delivery_end_range_date_at_order,36423,NFusion GA 31407,3215,"GigaCloud Trading, Inc.","CA,GA,NJ,TX",Outdoor Furniture,Amy Connell,GA,ghost_warehouse,12876,3555,418,0.03246349798073936,3033,951,0.0738583410997204,Ocala (FL) 12%,FL 23 hubs 20%; NC 15 hubs 2%,1,2,0.6769959614787211,0.8029667598633119,418,2133,198,0,806,9321,0.6100478468899523,0.1715893108298172,,0.5905707196029772,0.3423347398030941,0.6196172248803828,0.5846225972808247,,0.6320675105485227
pdd_10w,promised_delivery_end_range_date_at_order,253370,Edecor Center Inc._1 NJ 08110,253285,Edecor Center Inc._1,NJ,Wayfair,Asia Supplier Service Desk,NJ,ghost_warehouse,6465,3153,0,0.0,3153,2375,0.36736272235112144,South Dallas Rsf (TX) 23%; Diamond Bar Rsf (CA) 16%,TX 17 hubs 27%; CA 9 hubs 17%,2,2,0.7730858468677487,0.8365042536736266,0,2682,89,0,382,3312,,0.6670395227442212,,0.8403141361256549,0.6910878528385663,,0.8243847874720347,,0.8198541071994915
pdd_10w,promised_delivery_end_range_date_at_order,155962,Compamia FL 33147,10309,Compamia,FL,Outdoor Furniture,Kathleen Kerrins,FL,ghost_warehouse,6914,2574,0,0.0,929,795,0.1149840902516633,,NJ 8 hubs 2%,0,1,0.9564651431877363,0.919294185710153,0,113,1778,0,683,4340,,0.9557522123893804,,0.9238653001464127,0.9285159285159288,,0.9557522123893807,,0.9028749028749021
pdd_10w,promised_delivery_end_range_date_at_order,110022,Loloi Rugs TX 75241,1452,Loloi Rugs,"GA,TX",Rugs,Alex Melius,TX,ghost_warehouse,29725,2447,119,0.0040033641715727505,2279,1813,0.06099243061396131,,CA 33 hubs 3%,0,1,0.9374600504625732,0.8593439865433128,119,648,512,0,1168,27278,0.7310924369747899,0.9351851851851857,,0.9392123287671229,0.9276665304454449,0.7394957983193277,0.9120370370370366,,0.8500204331834914
pdd_10w,promised_delivery_end_range_date_at_order,432907,SmartStandard GA 30349,49538,NORTH ELM ARTISAN LLC_1,"CA,GA,NJ",APS Home Improvement,Nicole Sun,GA,ghost_warehouse,4735,2408,23,0.004857444561774023,636,490,0.10348468848996832,,FL 18 hubs 9%,0,1,0.9736008447729678,0.8637803590285111,23,286,1747,0,352,2327,1.0,0.9440559440559444,,0.9659090909090913,0.9700996677740864,0.8695652173913042,0.7797202797202795,,0.8509136212624591
pdd_10w,promised_delivery_end_range_date_at_order,302342,Westin Outdoor GA 31320,39357,Westin Outdoor,"CA,GA",Outdoor Furniture,Isha Singh,GA,ghost_warehouse,18839,2263,280,0.014862784648866713,1946,1506,0.07994054886140453,,PA 12 hubs 2%,0,1,0.9290302033016613,0.9078507351770261,280,115,450,0,1418,16576,0.8357142857142852,0.8608695652173911,,0.8018335684062052,0.8108705258506398,0.9214285714285714,0.8782608695652174,,0.8908528501988516
pdd_10w,promised_delivery_end_range_date_at_order,17066,  CA2,3215,"GigaCloud Trading, Inc.","CA,GA,NJ,TX",Outdoor Furniture,Amy Connell,CA,ghost_warehouse,4483,1874,756,0.168637073388356,1043,797,0.17778273477581977,,FL 20 hubs 6%; PA 12 hubs 3%; TN 12 hubs 3%,0,3,0.8092795003345958,0.7283069373187621,756,357,197,0,564,2609,0.797619047619048,0.6246498599439779,,0.808510638297873,0.7630736392742791,0.7010582010582017,0.7787114845938377,,0.7129135538954094
pdd_10w,promised_delivery_end_range_date_at_order,242993,"Haomaijia Technology (Shenzhen) Co., LTD GA 30519",58624,EBELLO HOME INC_1,"CA,GA,NJ,TX",APS,Lacey Yan,GA,ghost_warehouse,14094,1840,239,0.01695757059741734,1396,877,0.062225060309351495,,TN 8 hubs 38%,0,1,0.7880658436213984,0.8188590889740311,239,311,567,0,723,12254,0.6150627615062756,0.7749196141479099,,0.6597510373443983,0.6065217391304345,0.9163179916317993,0.7427652733118969,,0.7717391304347817
pdd_10w,promised_delivery_end_range_date_at_order,255050,JOYIN US CORP. CA 91730,49117,JOYIN US CORP.,CA,APS Decor,Tyler Zhu,CA,ghost_warehouse,3015,1728,0,0.0,1721,1186,0.3933665008291874,Marietta (GA) 39%; Metuchen (NJ) 21%,,2,0,0.9810945273631839,0.8878938640132669,0,1505,69,0,154,1287,,0.9880398671096345,,0.9740259740259739,0.986111111111111,,0.9209302325581401,,0.9172453703703702
pdd_10w,promised_delivery_end_range_date_at_order,31503,"Top Knobs, Inc. CA 90065",19191,"Top Knobs, Inc.","CA,NJ",Hardware,Matt Bartolucci,CA,ghost_warehouse,3695,1565,1203,0.325575101488498,353,296,0.08010825439783491,,TX 9 hubs 4%,0,1,0.9334235453315278,0.7981055480378892,1203,154,64,0,144,2130,0.9185369908561926,0.8831168831168831,,1.0,0.9169329073482427,0.760598503740648,0.935064935064935,,0.7629392971246005
pdd_10w,promised_delivery_end_range_date_at_order,291275, 美南SAV自营仓,108807,YEEYOO INTERNATIONAL LIMITED,"CA,GA,NJ,TN",APS,Christal Ding,GA,ghost_warehouse,6013,1536,99,0.01646432729086978,1087,660,0.10976218193913188,Davenport (FL) 16%,FL 20 hubs 24%; NC 12 hubs 5%,1,2,0.8173956427739902,0.682853816730416,99,758,194,0,485,4477,0.9292929292929292,0.612137203166227,,0.921649484536083,0.7714843749999998,0.6565656565656565,0.48153034300791564,,0.5930989583333313
pdd_10w,promised_delivery_end_range_date_at_order,325564,SLM GA3,58041,YISHANG TRADE INC,"CA,GA,NJ,TX",APS Outdoor,Melody Lu,GA,ghost_warehouse,12911,1427,347,0.026876307025017428,1020,816,0.06320192084269227,,FL 14 hubs 4%; PA 12 hubs 3%,0,2,0.9460150259468677,0.9106963054759499,347,151,211,0,718,11484,0.8616714697406338,0.947019867549669,,0.9401114206128127,0.923615977575333,0.8386167146974061,0.9271523178807946,,0.8899789768745615
pdd_10w,promised_delivery_end_range_date_at_order,333730,Ether Tech Inc TX 75044,333142,Ether Tech Inc,TX,Wayfair,Asia Supplier Service Desk,TX,ghost_warehouse,2255,1389,0,0.0,1386,878,0.3893569844789357,Fairless Hills (PA) 45%; Diamond Bar Rsf (CA) 21%,CA 8 hubs 22%,2,1,0.8656319290465632,0.8115299334811537,0,1225,37,0,127,866,,0.9771428571428565,,0.8740157480314963,0.9596832253419724,,0.8873469387755102,,0.872570194384448
pdd_10w,promised_delivery_end_range_date_at_order,363084,NorthCape International (Chicago Wicker) GA 30024,433,NorthCape International (Chicago Wicker),"GA,IL",Outdoor Furniture,Kate Schryver,GA,ghost_warehouse,6822,1345,141,0.020668425681618294,1198,977,0.14321313397830548,,CA 12 hubs 3%; OH 13 hubs 2%,0,2,0.6980357666373503,0.818088537085898,141,349,188,0,667,5477,0.4751773049645392,0.598853868194843,,0.5652173913043469,0.5769516728624531,0.8368794326241136,0.8595988538681943,,0.8550185873605942
pdd_10w,promised_delivery_end_range_date_at_order,34809,Safavieh GA31407 B,381,Safavieh,"CA,GA,IN,NJ,NY,PA,TX",Rugs,Alex Resnick,GA,ghost_warehouse,15845,1317,390,0.024613442726412117,787,689,0.04348374881666141,,FL 21 hubs 2%,0,1,0.8916377406121796,0.8684127485011053,390,122,189,0,616,14528,0.8717948717948713,1.0,,0.9756493506493509,0.9430523917995441,0.8794871794871795,0.9590163934426228,,0.878511769172361
pdd_10w,promised_delivery_end_range_date_at_order,63391,Kenney Manufacturing Company AR 72401,15320,Kenney Manufacturing Company,"AR,RI",Soft Home,Madison Carvalho,AR,ghost_warehouse,8224,1040,0,0.0,1032,833,0.10128891050583658,,CA 16 hubs 2%,0,1,0.9559824902723753,0.8740272373540852,0,188,192,0,660,7184,,0.9627659574468086,,0.9590909090909098,0.9624999999999998,,0.8776595744680852,,0.8923076923076925
pdd_10w,promised_delivery_end_range_date_at_order,50537,Brewster Home Fashions MA,7747,Brewster Home Fashions,MA,Decor,Maxwell Threlkeld,MA,ghost_warehouse,3330,1036,0,0.0,1036,449,0.13483483483483483,Columbus (OH) 66%; Harrisburg (PA) 18%; Harrisburg Local (PA) 11%,,3,0,0.887687687687688,0.8795795795795796,0,1033,1,0,2,2294,,0.9109390125847052,,1.0,0.9111969111969112,,0.9080348499515976,,0.9083011583011587
pdd_10w,promised_delivery_end_range_date_at_order,39283,Design Imports WA 98390,8018,Design Imports,WA,Tabletop,Isabella Keel,WA,ghost_warehouse,7066,1015,0,0.0,1010,865,0.12241720917067647,,CA 14 hubs 2%,0,1,0.9647608264930664,0.9235776960090571,0,129,138,0,748,6051,,0.9922480620155038,,0.9933155080213899,0.9901477832512311,,0.937984496124031,,0.9221674876847294
pdd_10w,promised_delivery_end_range_date_at_order,2245,Blazing Needles,2245,Blazing Needles,TX,Outdoor Furniture,Isha Singh,TX,ghost_warehouse,10613,1012,0,0.0,982,845,0.07961933477810233,,CA 12 hubs 2%,0,1,0.996513709601432,0.8608310562517677,0,202,164,0,646,9601,,1.0,,1.0,0.99901185770751,,0.7326732673267321,,0.7598814229249019
pdd_10w,promised_delivery_end_range_date_at_order,204862,Keter US GA 31326,2616,Keter US,"GA,PA",Outdoor Structures,Benjamin Moseley,GA,ghost_warehouse,3871,991,12,0.003099974166881943,976,362,0.09351588736760527,,FL 9 hubs 17%,0,1,0.5536037199690019,0.8194265047791267,12,447,182,0,350,2880,0.6666666666666666,0.08277404921700215,,0.6485714285714282,0.36629667003027266,0.8333333333333334,0.5145413870246085,,0.6982845610494446
pdd_10w,promised_delivery_end_range_date_at_order,125267,Safavieh GA 31320,381,Safavieh,"CA,GA,IN,NJ,NY,PA,TX",Rugs,Alex Resnick,GA,ghost_warehouse,13439,987,266,0.019793139370488877,597,525,0.03906540665228068,,FL 19 hubs 3%,0,1,0.9189671850584124,0.8674752585757872,266,143,134,0,444,12452,0.9511278195488718,0.9790209790209786,,0.9662162162162163,0.9645390070921983,0.9097744360902252,0.9860139860139863,,0.8561296859169203
