actual_induction_hub_name,actual_induction_hub_state,vol,pct,cand_vol,avg_hub_dist,avg_cust_from_assigned,avg_cust_from_actual,avg_gain,ifr,delivery_rel,assigned_hub,assigned_state,address_1,city,zip
Fairfield Annex,CA,11022,58.4,5902,464.69664441972594,900.6573228185152,1008.193502854178,-2.0652604461372137,0.9226093268009453,0.8348757031391769,RIALTO LOCAL,CA,20800 Krameria Aveune,Riverside,92518
Rialto,CA,4990,26.4,27,16.032155189924826,928.340311111112,916.7246002190583,-0.008455152537539529,0.8875751503006003,0.9110220440881751,RIALTO LOCAL,CA,20800 Krameria Aveune,Riverside,92518
Stockton Rsf,CA,509,2.7,150,406.327655310621,450.6365384615386,81.71849710982659,0.8044484389161137,0.9941060903732809,0.8781925343811398,RIALTO LOCAL,CA,20800 Krameria Aveune,Riverside,92518
,,207,1.1,0,,1481.2264705882358,,,0.5845410628019322,0.7826086956521734,RIALTO LOCAL,CA,20800 Krameria Aveune,Riverside,92518
Portland,OR,207,1.1,202,1031.8665024630543,1105.3603960396053,144.14298245614034,0.8761618800361667,0.9903381642512074,0.8695652173913044,RIALTO LOCAL,CA,20800 Krameria Aveune,Riverside,92518
Phoenix,AZ,151,0.8,59,328.3553191489362,435.39078014184406,121.09801324503313,0.7636234359085665,0.9867549668874174,0.9072847682119205,RIALTO LOCAL,CA,20800 Krameria Aveune,Riverside,92518
Middletown,CT,91,0.5,1,2840.8,2764.8,,,0.9890109890109892,0.9780219780219781,RIALTO LOCAL,CA,20800 Krameria Aveune,Riverside,92518
Salt Lake City,UT,84,0.4,81,650.8,696.1361445783134,74.23620689655172,0.8907005563449004,0.9880952380952382,0.9047619047619047,RIALTO LOCAL,CA,20800 Krameria Aveune,Riverside,92518
Denver,CO,80,0.4,79,991.4392405063292,952.4949367088607,54.75312499999999,0.9364681117432584,1.0,0.9875000000000002,RIALTO LOCAL,CA,20800 Krameria Aveune,Riverside,92518
Metuchen,NJ,79,0.4,54,2723.0,2772.577777777777,60.39818181818182,0.9780872259089507,0.9873417721518989,0.6962025316455694,RIALTO LOCAL,CA,20800 Krameria Aveune,Riverside,92518
Hagerstown,MD,64,0.3,63,2517.8968253968255,2595.5126984126996,91.77656250000001,0.9644109169150252,0.984375,0.78125,RIALTO LOCAL,CA,20800 Krameria Aveune,Riverside,92518
West Dallas Ncpc,TX,59,0.3,55,1383.3,1301.8249999999996,140.8053571428572,0.8705280920703795,0.9661016949152543,0.9661016949152544,RIALTO LOCAL,CA,20800 Krameria Aveune,Riverside,92518
Williamsburg Ncpc,FL,49,0.3,48,2425.2333333333336,2512.2354166666664,120.36875,0.9526676986152083,1.0,0.9591836734693878,RIALTO LOCAL,CA,20800 Krameria Aveune,Riverside,92518
Tracy,CA,47,0.2,5,395.3042553191489,518.4,399.77857142857135,-0.6830745907678376,1.0,0.7446808510638296,RIALTO LOCAL,CA,20800 Krameria Aveune,Riverside,92518
Toledo,OH,41,0.2,41,2197.3,2239.5975609756106,86.68,0.9609387233836634,1.0,0.8780487804878047,RIALTO LOCAL,CA,20800 Krameria Aveune,Riverside,92518
