candidate_bucket,supplier_id,su_name,own_state,city_name,postal_code,address_1,assigned_induction_hub_name,assigned_station_state,actual_induction_hub_name,actual_induction_hub_state,destination_state,destination_zipcode,distance_assignedhub_customer,distance_actualhub_customer,distance_assignedhub_actualhub,direct_gain,inducted_on_time_or_early,delivery_rel,purchase_order_number,tracking_number,ops,promised_delivery_end_range_date_at_order
direct,22696,Surya GA 30184 (1 Surya Dr),GA,White,30184,1 Surya Drive,MARIETTA LOCAL,GA,Phoenix,AZ,AZ,86004,1697.6,169.3,1868.8,0.9002709707822809,1,1,658146754,872220017872,11381770476,2026-08-10
direct,22696,Surya GA 30184 (1 Surya Dr),GA,White,30184,1 Surya Drive,MARIETTA LOCAL,GA,Northern Kentucky,KY,IL,60441,701.8,320.3,438.8,0.543602165859219,0,1,672030072,875292960327,80181171850,2026-08-07
direct,22696,Surya GA 30184 (1 Surya Dr),GA,White,30184,1 Surya Drive,SAVANNAH,GA,Chattanooga,TN,OH,45415,721.4,415.0,361.0,0.4247296922650402,1,1,671455217,875202605198,80174511170,2026-08-05
direct,22696,Surya GA 30184 (1 Surya Dr),GA,White,30184,1 Surya Drive,HAGERSTOWN,MD,Marietta,GA,GA,30064,650.5,11.6,658.0,0.9821675634127593,1,1,671945271,875274676395,80180296250,2026-08-05
direct,22696,Surya GA 30184 (1 Surya Dr),GA,White,30184,1 Surya Drive,MARIETTA LOCAL,GA,North Portland Rsf,OR,WA,98104,2640.6,170.3,2575.9,0.9355070817238506,1,1,649711409,872627733461,11327195766,2026-08-03
direct,34657,Unique Loom SC29707,SC,Fort Mill,29707,793 Fort Mill Highway,FRESNO,CA,Fort Mill,SC,IL,60646,2138.6,795.8,2543.5,0.6278874029739082,1,1,671296850,382924018220,80173624030,2026-08-06
direct,34657,Unique Loom SC29707,SC,Fort Mill,29707,793 Fort Mill Highway,FRESNO,CA,Fort Mill,SC,IL,60646,2138.6,795.8,2543.5,0.6278874029739082,1,1,671296850,382924018220,80173624040,2026-08-06
direct,34657,Unique Loom SC29707,SC,Fort Mill,29707,793 Fort Mill Highway,ROMEOVILLE NCPC,IL,Fort Mill,SC,FL,34243,1237.2,607.9,793.5,0.508648561267378,1,1,670139446,382824844009,80161718580,2026-07-30
direct,34657,Unique Loom SC29707,SC,Fort Mill,29707,793 Fort Mill Highway,FORT MILL,SC,Greenwood,IN,IL,60462,780.5,194.1,582.0,0.751313260730301,1,1,658663969,381650819849,12224840679,2026-07-16
direct,34657,Unique Loom SC29707,SC,Fort Mill,29707,793 Fort Mill Highway,FORT MILL,SC,Mesquite,TX,OK,73071,1097.2,202.9,1028.8,0.8150747356908494,1,1,660132301,381799233872,12244324609,2026-07-16
direct,35069,JLA Home GA 31407 - SV2,GA,Port Wentworth,31407,550 Northport Pkwy,SAVANNAH,GA,West Columbus,OH,IL,60108,980.8,328.7,702.2,0.6648654159869494,1,1,672249659,875400899330,80183527540,2026-08-09
direct,35069,JLA Home GA 31407 - SV2,GA,Port Wentworth,31407,550 Northport Pkwy,SAVANNAH,GA,West Columbus,OH,IL,60108,980.8,328.7,702.2,0.6648654159869494,1,1,672249659,875400899330,80183527550,2026-08-09
direct,35069,JLA Home GA 31407 - SV2,GA,Port Wentworth,31407,550 Northport Pkwy,HAGERSTOWN,MD,Savannah,GA,FL,32935,939.5,303.4,636.7,0.6770622671633848,1,1,671637535,875221338554,80176533680,2026-08-05
direct,35069,JLA Home GA 31407 - SV2,GA,Port Wentworth,31407,550 Northport Pkwy,HAGERSTOWN,MD,Savannah,GA,GA,31024,653.2,178.2,636.7,0.7271892222902634,1,1,671870908,875285860837,80178566100,2026-08-05
direct,35069,JLA Home GA 31407 - SV2,GA,Port Wentworth,31407,550 Northport Pkwy,SAVANNAH,GA,Woodbridge,NJ,NY,11730,866.7,81.1,781.9,0.9064266758970808,1,1,671237477,875139045167,80173016810,2026-08-03
direct,36423,NFusion GA 31407,GA,Savannah,31407,425 Jimmy Deloach Parkway,INDUSTRY,CA,Ocala,FL,KY,41094,2139.3,801.8,2398.5,0.6252045061468705,0,1,671972562,875282468757,80180589160,2026-08-10
direct,36423,NFusion GA 31407,GA,Savannah,31407,425 Jimmy Deloach Parkway,ARCADIA,CA,Richmond Hill Ncpc,GA,FL,33140,2718.4,470.4,2403.2,0.8269570335491465,1,1,672241126,875397563363,80183438300,2026-08-09
direct,36423,NFusion GA 31407,GA,Savannah,31407,425 Jimmy Deloach Parkway,CHINO LOCAL,CA,Richmond Hill Ncpc,GA,VA,23223,2587.4,483.1,2389.7,0.8132874700471516,0,0,672251430,875397603441,80183545970,2026-08-09
direct,36423,NFusion GA 31407,GA,Savannah,31407,425 Jimmy Deloach Parkway,CHINO LOCAL,CA,Richmond Hill Ncpc,GA,MI,49690,2290.4,1106.8,2389.7,0.5167656304575621,1,0,671616375,875217119664,80176930310,2026-08-06
direct,36423,NFusion GA 31407,GA,Savannah,31407,425 Jimmy Deloach Parkway,CHINO LOCAL,CA,Richmond Hill Ncpc,GA,FL,33180,2684.9,458.7,2389.7,0.8291556482550562,1,1,670951746,875080348240,80170070210,2026-08-05
