candidate_bucket,supplier_id,su_name,parent_su_name,own_state,city_name,postal_code,address_1,assigned_hub,assigned_state,bucket_vol,avg_gain,ifr,delivery_rel,n_hubs,sample_hubs,total_vol,top_hub,top_hub_state,top_hub_vol,top_hub_share,bucket_share_of_total,rn
direct,22696,Surya GA 30184 (1 Surya Dr),Surya,GA,White,30184,1 Surya Drive,MARIETTA LOCAL,GA,7474,0.8709479190653364,0.9910355900454926,0.8862724110248869,259,South Chesterfield (VA); South Key West (FL); South Houston (TX); North Portland (OR); Ogden (UT),113269,Marietta,GA,48213,0.42565044275132646,0.06598451473924904,1
direct,237104,Devion Furniture,Devion Furniture_1,CA,Ontario,91761,4422 E Airport Drive,CHINO LOCAL,CA,6010,0.9537231008494863,0.668219633943427,0.8559068219633933,220,Greensboro Local (NC); South Baltimore (MD); Olive Branch Local (MS); Hagerstown Local (MD); Kansas City Local (MO),36136,Chino Hills Ncpc,CA,24443,0.6764168696037193,0.16631613903032985,2
direct,59806,DesignArt Inc. NY,DesignArt Inc.,NY,Champlain,12919,156 Lawrence Paquette Dr,PLATTSBURGH,NY,4754,0.9194258011878073,0.8838872528397138,0.9087084560370224,297,Houston (TX); South Chesterfield (VA); Gaithersburg (MD); Spartanburg (SC); Charlotte (NC),35260,Plattsburgh,NY,27149,0.7699659671015315,0.13482699943278503,3
direct,34657,Unique Loom SC29707,Unique Loom,SC,Fort Mill,29707,793 Fort Mill Highway,FORT MILL,SC,3765,0.8515031753733386,0.5957503320053114,0.6648074369189897,210,Sanford (FL); Oklahoma City (OK); Fort Mill (SC); Las Vegas (NV); Atlanta (GA),42380,Fort Mill,SC,31883,0.7523124115148655,0.08883907503539405,4
direct,44034,Wexford Home IL,Wexford Home,IL,WILLOWBROOK ,60527 ,7409 S QUNICY,BEDFORD PARK,IL,3625,0.8959866729554367,0.8868965517241374,0.85406896551724,240,Chandler (AZ); East Syracuse (NY); Savannah (GA); Spokane (WA); Fort Smith (AR),38039,Mccook,IL,27568,0.7247298824890244,0.09529693209600673,5
ghost_warehouse,59119,Safavieh CA 92518,Safavieh,CA,Riverside,92518,20800 Krameria Aveune,NORTH  INDIANAPOLIS,IN,5902,0.0689858866684882,0.920027109454422,0.7988817350050824,1,Fairfield Annex (CA),18889,Fairfield Annex,CA,11022,0.5835142146222669,0.31245698554714385,1
ghost_warehouse,293214,CIAO JING INC CA 92879 ,CIAO JING INC,CA,Corona,92879 ,2565 Sampson Ave ,WEST RIALTO,CA,2529,-0.06184023306020711,0.8220640569395021,0.7777777777777768,1,Fairfield Annex (CA),5511,Fairfield Annex,CA,3676,0.667029577209218,0.4589003810560697,2
ghost_warehouse,155962,Compamia FL 33147,Compamia,FL,Miami,33147,7000 N W 32 AVE,MEDLEY,FL,2421,0.15950553099464132,0.9244114002478306,0.8917802560925255,1,Williamsburg Ncpc (FL),7910,Williamsburg Ncpc,FL,3548,0.44854614412136534,0.3060682680151707,3
ghost_warehouse,253370,Edecor Center Inc._1 NJ 08110,Edecor Center Inc._1,NJ,Pennsauken,08110,1050 Thomas Busch Memorial Highway,CAMDEN,NJ,2232,0.6133529156688056,0.7347670250896049,0.8400537634408597,2,Diamond Bar Rsf (CA); South Dallas Rsf (TX),6341,Fairless Hills,PA,2818,0.44440939914839933,0.3519949534773695,4
ghost_warehouse,211658,WPLA4,Shenzhen Like Keji Youxiangongsi,CA,Fontana,92337,13083 Slover Ave,WEST RIALTO,CA,1566,0.027190283241849255,0.8531289910600257,0.75925925925926,1,Fairfield Annex (CA),4112,Fairfield Annex,CA,2697,0.6558852140077821,0.38083657587548636,5
