dest_region,supplier_path,vol,suppliers,avg_o2d_actual,avg_o2d_stated,ifr,delivery_rel,avg_mi_actual_to_cust
Florida,builds_directs,34477,4400,7.4277379466488505,8.590489729604267,0.8784406995968345,0.8587754154943887,131.8499927487893
Florida,does_not_build_directs,94226,6815,7.117361484823151,7.936466085477374,0.8961645405726667,0.7996412879672271,2519.6285109501837
Mid-Atlantic,builds_directs,32380,4325,7.550322919563676,8.595934004819885,0.8801111797405797,0.860963557751698,99.57418159357634
Mid-Atlantic,does_not_build_directs,78206,6379,7.168151232695385,7.913912119155273,0.8949569086770851,0.7969593125847098,2596.225873748412
Midwest,builds_directs,66812,5621,7.4499340843720026,8.5305822989504,0.8768933724480641,0.8562533676585041,77.24514907501661
Midwest,does_not_build_directs,225809,9006,7.021968976626034,7.790568371767195,0.8931530629868596,0.8030415085315468,1963.1098895432328
Mountain,builds_directs,39731,4953,4.641252895558472,4.9866565961732165,0.884850620422339,0.832020336764743,59.008555032594195
Mountain,does_not_build_directs,255142,10033,4.1132810426559665,4.554022862167511,0.900792499862822,0.8274176732956556,639.7760327423364
Northeast,builds_directs,34888,4031,7.682392102846654,8.859428768066069,0.8718757165787648,0.8717897271268061,86.1280812886952
Northeast,does_not_build_directs,129936,7583,7.35655222597076,8.196340767914663,0.8947327915281353,0.807297438739071,2681.712326510651
South Central,builds_directs,36265,3773,5.285572386391863,5.8281254309275,0.8836067833999731,0.8302771267061895,105.50635874810416
South Central,does_not_build_directs,157978,8393,5.105640477938721,5.369307156717263,0.8959158870222426,0.7543455417842992,1410.5013813405806
Southeast,builds_directs,51184,4948,7.307687793427236,8.418525106033647,0.8790442325726779,0.8505587683651152,92.50715457955623
Southeast,does_not_build_directs,161941,8017,6.986504615793335,7.7594953929874535,0.8950790720077065,0.7889169512353262,2217.8941723892804
Unknown,builds_directs,980,595,5.3466257668711625,5.784693877551023,0.8775510204081637,0.8265306122448984,113.24693877551032
Unknown,does_not_build_directs,394568,11901,10.057600104549252,11.863699466269376,0.8876999655319222,0.8090316498043433,816.8775627240142
West Coast,builds_directs,65201,5967,4.623793718114185,4.9931412262934955,0.8820263492891215,0.8394043036149735,86.59839573012708
West Coast,does_not_build_directs,576858,12572,3.511440030728282,4.1495615276304365,0.9003030208474185,0.8680871202271611,366.7195687725173
