lookback_window,timebase,lookback_weeks,supplier_id,su_name,parent_suid,parent_su_name,parent_warehouse_states,n_parent_warehouse_states,sto,srm_contact,own_state,city_name,postal_code,address_1,assigned_induction_hub_name,assigned_station_state,assigned_station_zip,total_vol,weeks_with_vol,candidate_vol,candidate_share,direct_vol,direct_share,sparse_far_vol,sparse_far_share,jumbo_vol,jumbo_share,ghost_vol,ghost_share,misshipping_vol,misshipping_share,weeks_with_direct,pct_weeks_with_direct,direct_by_week,top_direct_hubs,n_ghost_hubs,ghost_hub_vol,ghost_hubs,n_misshipping_hubs,misshipping_hubs,missing_actual_hub_vol,missing_actual_hub_share,hub_mismatch_vol,state_mismatch_vol,far_hub_vol,within_200_vol,pct_within_200_of_assigned,avg_gain_on_candidate,avg_dist_assignedhub_customer,avg_dist_actualhub_customer,avg_dist_assignedhub_actualhub,ifr,delivery_rel,ifr_candidate,delivery_rel_candidate,ifr_direct,delivery_rel_direct,ifr_sparse_far,delivery_rel_sparse_far,ifr_jumbo,delivery_rel_jumbo,ifr_ghost,delivery_rel_ghost,ifr_misshipping,delivery_rel_misshipping,candidate_bucket_sum,candidate_partition_ok,direct_cohort
msbd_2w,msbd_su,2,302637,"GigaCloud Trading, Inc. GA 31302",3215,"GigaCloud Trading, Inc.","CA,GA,NJ,TX",4,Outdoor Furniture,Amy Connell,GA,Bloomingdale,31302,3001 Jimmy Deloach Parkway,SAVANNAH LOCAL,GA,31408,2230,3,842,0.3775784753363229,21,0.009417040358744395,1,0.0004484304932735426,39,0.01748878923766816,755,0.33856502242152464,26,0.011659192825112108,3,1.0,2026-08-02: 6; 2026-08-09: 14; 2026-08-16: 1,West Savannah  Ncpc (GA) 1%; Olive Branch (MS) 0%; Chattanooga (TN) 0%,3,1136,South Atlanta Ncpc (GA) 21%; Davenport (FL) 15%; Williamsburg Ncpc (FL) 15%,8,South Dallas Rsf (TX) 0%; Arcadia (CA) 0%; Rancho Cucamonga Ncpc (CA) 0%; East Brunswick (NJ) 0%; Burbank (CA) 0%,83,0.037219730941704034,2119,798,1261,886,0.4126688402421984,-0.017529313973777733,892.0329810900998,852.3597938144331,255.3576287198869,0.6977578475336311,0.6125560538116585,0.6187648456057007,0.6508313539192407,0.6190476190476191,0.9047619047619045,0.0,1.0,0.33333333333333337,0.5897435897435896,0.6304635761589407,0.6516556291390732,0.7307692307692308,0.5000000000000002,842,True,ghost_warehouses
msbd_2w,msbd_su,2,36423,NFusion GA 31407,3215,"GigaCloud Trading, Inc.","CA,GA,NJ,TX",4,Outdoor Furniture,Amy Connell,GA,Savannah,31407,425 Jimmy Deloach Parkway,SAVANNAH LOCAL,GA,31408,2103,3,464,0.22063718497384688,21,0.009985734664764621,0,0.0,126,0.05991440798858773,316,0.15026153114598192,1,0.00047551117451260106,3,1.0,2026-08-02: 3; 2026-08-09: 14; 2026-08-16: 4,Richmond Hill Ncpc (GA) 1%; West Savannah  Ncpc (GA) 0%; Williamsburg Ncpc (FL) 0%,1,341,Ocala (FL) 16%,1,Carson (CA) 0%,96,0.0456490727532097,1973,512,512,1495,0.7448928749377179,0.027578355754426503,913.777771120432,815.3097233201578,136.25813482007084,0.7370423204945319,0.5729909652876847,0.25431034482758613,0.5172413793103442,0.7619047619047619,0.761904761904762,,,0.49206349206349215,0.7222222222222223,0.12341772151898743,0.4208860759493672,1.0,0.0,464,True,ghost_warehouses
msbd_2w,msbd_su,2,324795,Shenzhen Like Keji Youxiangongsi PA 18064,62368,Shenzhen Like Keji Youxiangongsi,"CA,GA,NJ,PA,TX",5,APS Bedroom,Lydia Liu,PA,Nazareth,18064,3363 Gun Club Rd,LEHIGH VALLEY LOCAL,PA,18067,1714,3,126,0.073512252042007,0,0.0,2,0.0011668611435239206,0,0.0,123,0.07176196032672112,1,0.0005834305717619603,0,0.0,,,1,275,Greensboro (NC) 16%,1,Rancho Cucamonga Ncpc (CA) 0%,50,0.029171528588098017,1659,386,282,1382,0.8305288461538461,0.21622187776629143,696.4131984585749,690.2691248770901,100.87438066465253,0.895565927654609,0.6522753792298712,0.7142857142857146,0.5555555555555555,,,1.0,1.0,,,0.7073170731707314,0.5528455284552843,1.0,0.0,126,True,ghost_warehouses
msbd_2w,msbd_su,2,253370,Edecor Center Inc._1 NJ 08110,253285,Edecor Center Inc._1,NJ,1,Wayfair,Asia Supplier Service Desk,NJ,Pennsauken,08110,1050 Thomas Busch Memorial Highway,CAMDEN,NJ,8007,1564,3,679,0.43414322250639387,0,0.0,0,0.0,3,0.0019181585677749361,676,0.4322250639386189,0,0.0,0,0.0,,,2,723,South Dallas Rsf (TX) 30%; Diamond Bar Rsf (CA) 17%,0,,114,0.07289002557544758,1423,1419,713,737,0.5082758620689655,0.597642181775059,1218.3071097372492,561.235674822415,973.3792811839324,0.7033248081841432,0.588874680306906,0.580265095729014,0.5920471281296025,,,,,0.0,0.3333333333333333,0.5828402366863916,0.5931952662721892,,,679,True,ghost_warehouses
msbd_2w,msbd_su,2,27346,Nearly Natural FL,6812,Nearly Natural,FL,1,Decor,Maxwell Threlkeld,FL,Hialeah,33018,3870 W 108th Street,MIAMI,FL,33178,1498,3,214,0.14285714285714285,0,0.0,0,0.0,0,0.0,214,0.14285714285714285,0,0.0,0,0.0,,,1,291,Williamsburg Ncpc (FL) 19%,0,,43,0.02870493991989319,1429,0,288,1167,0.8020618556701031,0.18252233512875138,1418.197303727202,1362.6865753424663,69.65515066573222,0.955941255006675,0.628170894526035,1.0,0.425233644859813,,,,,,,1.0,0.425233644859813,,,214,True,ghost_warehouses
msbd_2w,msbd_su,2,50537,Brewster Home Fashions MA,7747,Brewster Home Fashions,MA,1,Decor,Maxwell Threlkeld,MA,Randolph,02368,67 Pacella Park Dr,QUINCY,MA,2171,1267,2,374,0.2951854775059195,0,0.0,1,0.0007892659826361484,0,0.0,373,0.2943962115232833,0,0.0,0,0.0,,,3,1121,Columbus (OH) 66%; Harrisburg (PA) 12%; Harrisburg Local (PA) 10%,0,,143,0.11286503551696922,1114,1114,1113,11,0.009786476868327402,0.4173434980669105,1232.4417204301076,856.6236842105268,672.722461814915,0.7663772691397,0.730860299921074,0.8395721925133688,0.844919786096256,,,1.0,1.0,,,0.839142091152815,0.8445040214477205,,,374,True,ghost_warehouses
msbd_2w,msbd_su,2,432907,SmartStandard GA 30349,49538,NORTH ELM ARTISAN LLC_1,"CA,GA,NJ",3,APS Home Improvement,Nicole Sun,GA,Atlanta,30349,4131 Southmeadow Pkwy W,AUSTELL,GA,30168,1021,3,492,0.48188050930460335,9,0.00881488736532811,2,0.0019588638589618022,42,0.04113614103819784,438,0.4289911851126347,1,0.0009794319294809011,2,0.6666666666666666,2026-08-02: 6; 2026-08-09: 3,Davenport (FL) 1%; Richmond Hill Ncpc (GA) 0%; Savannah (GA) 0%,1,643,West Savannah  Ncpc (GA) 63%,1,Chino (CA) 0%,22,0.021547502448579822,986,55,707,292,0.2922922922922923,-0.06564990151791528,593.004705882353,650.5061889250823,236.56948979591849,0.9735553379040162,0.8570029382957892,0.9735772357723588,0.859756097560976,1.0,1.0,1.0,1.0,0.976190476190476,0.8333333333333334,0.9726027397260277,0.8607305936073051,1.0,0.0,492,True,ghost_warehouses
msbd_2w,msbd_su,2,302155,"Shenzhen Laiwo Trading Co., Ltd. PA 18064",65593,"Shenzhen Laiwo Trading Co., Ltd.","CA,GA,IL,NJ,PA,TX,WA",7,APS,Stella Yin,PA,Nazareth,18064,3363 Gun Club Rd,LEHIGH VALLEY LOCAL,PA,18067,986,3,66,0.06693711967545639,0,0.0,0,0.0,1,0.0010141987829614604,57,0.057809330628803245,8,0.008113590263691683,0,0.0,,,1,142,Greensboro (NC) 14%,4,South Rialto - Ncpc (CA) 0%; Richmond Hill Ncpc (GA) 0%; Savannah (GA) 0%; Rancho Cucamonga Ncpc (CA) 0%,42,0.04259634888438134,940,229,156,788,0.8347457627118644,0.17850583468827458,700.9669796557118,712.3829545454532,110.88537886873003,0.8630831643002023,0.6450304259634884,0.5606060606060606,0.4090909090909092,,,,,1.0,1.0,0.5789473684210527,0.40350877192982465,0.375,0.375,66,True,ghost_warehouses
msbd_2w,msbd_su,2,351177,DWSAV. GA 31326,326437,Hongkong Taisheng Furniture Trading Limited,"CA,GA,IL,NJ,TX",5,APS AEOF,Ivy Mao,GA,Rincon,31326,1000 Trade Center Pkwy,SAVANNAH LOCAL,GA,31408,928,3,54,0.05818965517241379,3,0.003232758620689655,1,0.0010775862068965517,10,0.010775862068965518,40,0.04310344827586207,0,0.0,2,0.6666666666666666,2026-08-02: 2; 2026-08-09: 1,Williamsburg Ncpc (FL) 0%,1,119,Davenport (FL) 13%,0,,17,0.018318965517241378,907,158,158,753,0.8265642151481888,0.24064599058720482,454.22832167832144,450.5319640564829,69.10088202866605,0.9331896551724134,0.6939655172413799,0.6296296296296297,0.49999999999999994,1.0,1.0,1.0,1.0,0.8999999999999999,0.5,0.525,0.44999999999999996,,,54,True,ghost_warehouses
msbd_2w,msbd_su,2,248614,WINADO INC GA 31326,58611,WINADO INC,"CA,GA,IL,NJ,TX",5,APS Outdoor,Melody Lu,GA,Rincon,31326,1009 Gateway Pkwy,ROBBINSVILLE,NJ,8691,894,3,96,0.10738255033557047,7,0.007829977628635347,0,0.0,30,0.03355704697986577,49,0.05480984340044743,10,0.011185682326621925,2,0.6666666666666666,2026-08-02: 5; 2026-08-09: 2,Davenport (FL) 1%; West Savannah  Ncpc (GA) 0%,1,95,Williamsburg Ncpc (FL) 11%,3,Houston (TX) 0%; East Brunswick (NJ) 0%; Robbinsville (NJ) 0%,19,0.021252796420581657,872,171,177,698,0.7977142857142857,0.25992787651131105,674.3613195342817,664.5712517193949,88.14443168771517,0.9977628635346752,0.8534675615212539,0.9895833333333335,0.760416666666667,1.0,0.8571428571428572,,,0.9666666666666666,0.5333333333333333,1.0,0.857142857142857,1.0,0.8999999999999999,96,True,ghost_warehouses
