lookback_window,timebase,lookback_weeks,supplier_id,su_name,parent_suid,parent_su_name,sto,srm_contact,state_name,city_name,postal_code,address_1,assigned_induction_hub_name,assigned_station_state,assigned_station_zip,total_vol,weeks_with_vol,direct_eligible_vol,direct_eligible_share,batched_direct_vol,true_direct_vol,weeks_with_true_direct,pct_weeks_with_true_direct,true_direct_by_week,top_true_direct_hubs,n_ghost_hubs,ghost_hub_vol,ghost_share,ghost_direct_vol,ghost_hubs,missing_actual_hub_vol,missing_actual_hub_share,hub_mismatch_vol,state_mismatch_vol,far_hub_vol,avg_direct_gain,avg_gain_on_direct_eligible,avg_dist_assignedhub_customer,avg_dist_actualhub_customer,avg_dist_assignedhub_actualhub,ifr,direct_cohort
msbd_2w,msbd_su,2,292469,Baishi NJ 08810 Bedshe,25843,"Bedshe International Co.,LTD",APS,Rainbow Wu,NJ,Dayton ,08810,11 Corn Rd ,PRINCETON,NJ,8810,5086,2,2718,0.5344081793157688,2703,1764,2,1.0,2026-07-26: 1210; 2026-08-02: 554,East Brunswick (NJ) 1418; South Rialto - Ncpc (CA) 185; Rialto (CA) 80; Fairfield Annex (CA) 31; Arcadia (CA) 21,1,1559,0.30652772316162014,939,Chino (CA) 31%,68,0.013370035391270154,4282,2172,2166,-3.407468906873683,-0.7916153171950474,831.908476977567,1496.481707024694,1173.5502000800277,0.9807314195831695,ghost_warehouses_no_directs
msbd_2w,msbd_su,2,59119,Safavieh CA 92518,381,Safavieh,Rugs,Alex Resnick,CA,Riverside,92518,20800 Krameria Aveune,RIALTO LOCAL,CA,92316,3656,3,1955,0.5347374179431073,1948,907,3,1.0,2026-07-26: 185; 2026-08-02: 557; 2026-08-09: 165,Rialto (CA) 876; West Savannah  Ncpc (GA) 9; Tracy (CA) 6; Richmond Hill Ncpc (GA) 5; Baytown (TX) 4,1,1808,0.49452954048140046,1044,Fairfield Annex (CA) 49%,214,0.058533916849015315,3406,53,1837,-0.8675677174359646,0.023064418414064234,1017.0930087390757,1056.060683760684,268.4261855670104,0.9146608315098469,ghost_warehouses_no_directs
msbd_2w,msbd_su,2,302333,NW Investment Inc TX 75041,64824,NW Investment Inc,APS Youth,Mariah Mao,TX,Garland,75041,3422 W Kingsley Rd,MESQUITE,TX,75149,3204,2,2205,0.6882022471910112,2192,868,2,1.0,2026-07-26: 478; 2026-08-02: 390,South Dallas Rsf (TX) 856; Chino Hills Ncpc (CA) 10; Dallas (TX) 2,2,1594,0.4975031210986267,1326,Fairless Hills (PA) 38%; Diamond Bar Rsf (CA) 12%,171,0.05337078651685393,2991,1614,1607,0.21613957861510044,0.2725870949232672,897.0065870430681,583.3343991179705,795.4284376045517,0.6750936329588008,ghost_warehouses_no_directs
msbd_2w,msbd_su,2,350373,York Wallcoverings PA 17408,5821,York Wallcoverings,Decor,Maxwell Threlkeld,PA,York,17408,2075 Loucks Road,HARRISBURG LOCAL,PA,17339,2910,3,837,0.2876288659793814,834,524,2,0.6666666666666666,2026-07-26: 347; 2026-08-02: 177,"Harrisburg (PA) 522; York, Pa (PA) 2",1,895,0.3075601374570447,312,Columbus (OH) 31%,99,0.03402061855670103,2261,891,888,-0.1049761585559372,0.08721979752918892,924.2460426703377,908.4878136200714,121.90378651280183,0.943298969072165,ghost_warehouses_no_directs
msbd_2w,msbd_su,2,36423,NFusion GA 31407,3215,"GigaCloud Trading, Inc.",Outdoor Furniture,Amy Connell,GA,Savannah,31407,425 Jimmy Deloach Parkway,HAGERSTOWN,MD,21740,2779,2,1713,0.6164087801367398,1703,1228,2,1.0,2026-07-26: 769; 2026-08-02: 459,Richmond Hill Ncpc (GA) 580; West Savannah  Ncpc (GA) 577; Williamsburg Ncpc (FL) 69; Carson (CA) 2,1,514,0.18495861820798848,475,Ocala (FL) 18%,41,0.014753508456279237,2680,658,652,-0.6122615448749916,-0.011735356227494994,930.3766976744195,854.8266706443912,142.79108947959546,0.7668225980568555,ghost_warehouses_no_directs
msbd_2w,msbd_su,2,302637,"GigaCloud Trading, Inc. GA 31302",3215,"GigaCloud Trading, Inc.",Outdoor Furniture,Amy Connell,GA,Bloomingdale,31302,3001 Jimmy Deloach Parkway,SAVANNAH,GA,31408,2718,2,1711,0.6295069904341427,1692,795,2,1.0,2026-07-26: 468; 2026-08-02: 327,West Savannah  Ncpc (GA) 694; Chattanooga (TN) 44; East Chattanooga (TN) 23; Atlanta (GA) 12; Ocala (FL) 10,3,1315,0.48381162619573215,900,South Atlanta Ncpc (GA) 22%; Williamsburg Ncpc (FL) 15%; Davenport (FL) 12%,60,0.02207505518763797,2613,947,1511,-0.21151058778305884,0.02609334267436327,913.5255749770013,848.4704671857625,242.2907698199924,0.6353936718175136,ghost_warehouses_no_directs
msbd_2w,msbd_su,2,85184,Aosom LLC GA30294,5725,Aosom LLC,APS Outdoor,Amber Xiang,GA,Ellenwood,30294,4178 E Tanners Church Rd,ATLANTA LOCAL,GA,30294,2215,3,1487,0.6713318284424379,1478,1273,3,1.0,2026-07-26: 532; 2026-08-02: 576; 2026-08-09: 165,South Atlanta Ncpc (GA) 1248; Rialto (CA) 25,1,246,0.11106094808126411,205,Robbinsville (NJ) 11%,35,0.01580135440180587,2163,281,280,-0.11186826823801903,-0.006504841278671163,712.7969943963317,709.1341152473219,128.22235076353516,0.9521444695259601,ghost_warehouses_no_directs
msbd_2w,msbd_su,2,296291,AMCA,64001,Zhengzhou hanzhouboyang jinchukoumaoyiyouxiangongs,APS Housewares & More,Vivienne Hu,CA,Eastvale ,91752,3900 Hamner Ave ,WEST RIALTO,CA,92316,1931,2,1399,0.7244950802692905,1389,1090,2,1.0,2026-07-26: 652; 2026-08-02: 438,Rialto (CA) 759; Oceanside (CA) 142; Industry (CA) 69; Arcadia (CA) 63; South Rialto - Ncpc (CA) 35,1,416,0.2154324184360435,299,Fairfield Annex (CA) 22%,21,0.010875194199896427,1892,36,445,-0.34981929197894124,0.0042078432934697105,1664.1508825319545,1687.244361370716,153.43250790305572,0.9451061626100472,ghost_warehouses_no_directs
msbd_2w,msbd_su,2,482466,海派艇新泽西仓,25843,"Bedshe International Co.,LTD",APS Soft Home,Rainbow Wu,NJ,DAYTON,08810,400 HELLER PARK CT,PRINCETON,NJ,8810,1921,2,359,0.1868818323789693,342,208,2,1.0,2026-07-26: 148; 2026-08-02: 60,South Rialto - Ncpc (CA) 101; Fairfield Annex (CA) 35; Burbank (CA) 22; Rialto (CA) 15; East Brunswick (NJ) 14,1,242,0.12597605413846955,135,Chino (CA) 13%,19,0.00989068193649141,604,563,561,-1.9885881608588296,-1.4313438340630589,871.069408099689,1282.9807520713823,792.7463607594937,0.9765747006767317,ghost_warehouses_no_directs
msbd_2w,msbd_su,2,482463,海派艇美西仓,25843,"Bedshe International Co.,LTD",APS Soft Home,Rainbow Wu,CA,Fontana,92337,14144 Santa Ana Ave,WEST RIALTO,CA,92316,1821,2,1406,0.7721032399780341,1396,1260,2,1.0,2026-07-26: 818; 2026-08-02: 442,South Rialto - Ncpc (CA) 1051; Burbank (CA) 128; Chino (CA) 52; East Brunswick (NJ) 25; Rialto (CA) 4,1,191,0.10488742449203735,137,Princeton (NJ) 10%,26,0.014277869302580999,1790,242,245,-1.0369390828650844,-0.12613515177886558,1615.3570725707245,1732.0644002565755,370.49085331846067,0.9686985172981882,ghost_warehouses_no_directs
msbd_2w,msbd_su,2,324795,Shenzhen Like Keji Youxiangongsi PA 18064,62368,Shenzhen Like Keji Youxiangongsi,APS Bedroom,Lydia Liu,PA,Nazareth,18064,3363 Gun Club Rd,LEHIGH VALLEY LOCAL,PA,18067,1745,2,655,0.3753581661891118,653,538,2,1.0,2026-07-26: 276; 2026-08-02: 262,Lehigh Valley (PA) 512; Middletown (CT) 14; Hagerstown (MD) 12,1,290,0.166189111747851,116,Greensboro (NC) 17%,23,0.013180515759312322,1712,382,296,-0.17501744144168646,0.05284568380539325,675.5187500000003,666.0635666347076,99.23399648917494,0.8538681948424082,ghost_warehouses_no_directs
msbd_2w,msbd_su,2,50537,Brewster Home Fashions MA,7747,Brewster Home Fashions,Decor,Maxwell Threlkeld,MA,Randolph,02368,67 Pacella Park Dr,QUINCY,MA,2171,1531,2,441,0.2880470280862182,438,37,2,1.0,2026-07-26: 13; 2026-08-02: 24,Harrisburg Local (PA) 37,2,1263,0.8249510124101894,403,Columbus (OH) 60%; Harrisburg (PA) 22%,154,0.10058785107772697,1369,1368,1366,0.2338799564322367,0.3993148639482138,1208.7826164874552,897.1769815418035,643.9660570592537,0.9079033311561072,ghost_warehouses_no_directs
msbd_2w,msbd_su,2,253370,Edecor Center Inc._1 NJ 08110,253285,Edecor Center Inc._1,Wayfair,Asia Supplier Service Desk,NJ,Pennsauken,08110,1050 Thomas Busch Memorial Highway,CAMDEN,NJ,8007,1503,3,1054,0.7012641383898869,1051,415,2,0.6666666666666666,2026-07-26: 200; 2026-08-02: 215,Fairless Hills (PA) 399; Philadelphia (PA) 11; Chino Hills Ncpc (CA) 5,2,666,0.4431137724550898,636,South Dallas Rsf (TX) 27%; Diamond Bar Rsf (CA) 17%,57,0.03792415169660679,1422,1422,662,0.3059836235481994,0.35997668006192335,1210.2012678288443,555.6661367249606,924.612385643913,0.7418496340652029,ghost_warehouses_no_directs
msbd_2w,msbd_su,2,155962,Compamia FL 33147,10309,Compamia,Outdoor Furniture,Kathleen Kerrins,FL,Miami,33147,7000 N W 32 AVE,MIAMI,FL,33178,1393,3,898,0.6446518305814788,896,696,2,0.6666666666666666,2026-07-26: 332; 2026-08-02: 364,Miami (FL) 696,1,315,0.22613065326633167,202,Williamsburg Ncpc (FL) 23%,57,0.040918880114860015,1213,1,296,-0.12669496360060825,0.01839178864713539,1511.5717181467196,1447.8854410201927,54.56326053042124,0.9260588657573586,ghost_warehouses_no_directs
msbd_2w,msbd_su,2,248926,NJ.,248914,SHENZHENSHIMINGXIAOSHANGMAOYOUXIANGONGSI,APS Bedroom,Lydia Liu,NJ,Westampton,08060,35 E Park Dr,ROBBINSVILLE,NJ,8691,1377,2,620,0.4502541757443718,599,522,2,1.0,2026-07-26: 263; 2026-08-02: 259,Lehigh Valley (PA) 240; East Brunswick (NJ) 205; Fairless Hills (PA) 28; King Of Prussia (PA) 20; Woodbridge (NJ) 14,1,150,0.10893246187363835,79,Greensboro (NC) 11%,24,0.017429193899782137,1304,851,178,-0.11420382231660718,0.06262966702894303,774.0111895161293,741.2831045406542,108.5194776119403,0.9346405228758176,ghost_warehouses_no_directs
msbd_2w,msbd_su,2,11861,Nuvo Lighting TX 75234,3478,Nuvo Lighting,Lighting,Kya Mehlman,TX,Farmers Branch,75234,2000 Valwood Parkway,IRVING,TX,75062,1318,2,350,0.26555386949924126,330,189,2,1.0,2026-07-26: 139; 2026-08-02: 50,Miami (FL) 68; Long Island (NY) 51; Dallas (TX) 40; Everett (WA) 22; Irving (TX) 6,1,191,0.1449165402124431,142,Hayward (CA) 14%,31,0.023520485584218515,552,451,447,0.16404351047333163,0.4414196479696723,956.6185697808536,665.0032753326503,578.137233201581,0.9787556904400614,ghost_warehouses_no_directs
msbd_2w,msbd_su,2,408080,"Hangzhou Chuandiai Cultural Media Co., Ltd. CA 92337",284231,Kaiyon International (Hong Kong) Limited_1,APS Rugs,Rainbow Wu,CA,FONTANA,92337,13052 Jurupa Ave,WEST RIALTO,CA,92316,1275,2,440,0.34509803921568627,426,304,2,1.0,2026-07-26: 249; 2026-08-02: 55,Industry (CA) 149; Oceanside (CA) 85; Arcadia (CA) 37; South Rialto - Ncpc (CA) 25; Rialto (CA) 8,1,168,0.13176470588235295,125,Fairfield Annex (CA) 13%,43,0.03372549019607843,594,11,179,-0.20821628921798246,-0.0056072202239208085,1593.7446886446887,1613.71362781955,92.88680781758971,0.9631372549019608,ghost_warehouses_no_directs
