lookback_window,timebase,lookback_weeks,supplier_id,su_name,parent_suid,parent_su_name,parent_warehouse_states,n_parent_warehouse_states,sto,srm_contact,own_state,city_name,postal_code,address_1,assigned_induction_hub_name,assigned_station_state,assigned_station_zip,total_vol,weeks_with_vol,candidate_vol,candidate_share,direct_vol,direct_share,sparse_far_vol,sparse_far_share,jumbo_vol,jumbo_share,ghost_vol,ghost_share,misshipping_vol,misshipping_share,weeks_with_direct,pct_weeks_with_direct,direct_by_week,top_direct_hubs,n_ghost_hubs,ghost_hub_vol,ghost_hubs,n_misshipping_hubs,misshipping_hubs,missing_actual_hub_vol,missing_actual_hub_share,hub_mismatch_vol,state_mismatch_vol,far_hub_vol,within_200_vol,pct_within_200_of_assigned,avg_gain_on_candidate,avg_dist_assignedhub_customer,avg_dist_actualhub_customer,avg_dist_assignedhub_actualhub,ifr,delivery_rel,ifr_candidate,delivery_rel_candidate,ifr_direct,delivery_rel_direct,ifr_sparse_far,delivery_rel_sparse_far,ifr_jumbo,delivery_rel_jumbo,ifr_ghost,delivery_rel_ghost,ifr_misshipping,delivery_rel_misshipping,candidate_bucket_sum,candidate_partition_ok,direct_cohort
msbd_2w,msbd_su,2,22696,Surya GA 30184 (1 Surya Dr),291,Surya,"CA,GA",2,Rugs,Alex Melius,GA,White,30184,1 Surya Drive,MARIETTA LOCAL,GA,30144,23910,3,53,0.002216645754914262,3,0.00012547051442910915,1,4.1823504809703055e-05,49,0.0020493517356754494,0,0.0,0,0.0,2,0.6666666666666666,2026-08-02: 1; 2026-08-09: 2,Marietta (GA) 0%,0,0,,0,,567,0.023713927227101632,22875,8659,91,23252,0.9961016150451956,0.10202252071257284,869.4388909381524,855.7948531048303,56.73123960430713,0.9938101212881633,0.6754077791718973,0.9811320754716981,0.7735849056603774,1.0,0.6666666666666666,0.0,1.0,1.0,0.7755102040816327,,,,,53,True,no_directs
msbd_2w,msbd_su,2,52925,Loloi Rugs GA 30121,1452,Loloi Rugs,"GA,TX",2,Rugs,Alex Melius,GA,Cartersville,30121,840 Cassville White Road NW,MARIETTA LOCAL,GA,30144,10479,3,10,0.0009542895314438401,0,0.0,9,0.0008588605782994561,1,9.542895314438401e-05,0,0.0,0,0.0,0,0.0,,,0,0,,0,,968,0.09237522664376371,9382,52,29,9482,0.9969508989590999,0.6429164303760658,671.5076297049843,693.9702491386171,53.219226260257855,0.7236377516938645,0.5458536119858767,0.8999999999999999,0.8,,,0.8888888888888888,0.7777777777777778,1.0,1.0,,,,,10,True,no_directs
msbd_2w,msbd_su,2,44034,Wexford Home IL,23886,Wexford Home,IL,1,Decor,Maxwell Threlkeld,IL,WILLOWBROOK ,60527 ,7409 S QUNICY,BEDFORD PARK,IL,60638,7724,2,14,0.0018125323666494044,0,0.0,1,0.0001294665976178146,13,0.0016830657690315898,0,0.0,0,0.0,0,0.0,,,0,0,,0,,281,0.036380113930605903,6873,19,17,7426,0.9977159747413678,0.053351158804916934,917.3827703916644,904.6062753036434,8.033585824428508,0.7635939927498688,0.6986017607457258,0.8571428571428571,0.42857142857142855,,,1.0,0.0,0.8461538461538461,0.4615384615384615,,,,,14,True,no_directs
msbd_2w,msbd_su,2,35069,JLA Home GA 31407 - SV2,1987,JLA Home,"CA,GA",2,Soft Home,Missy Paragamian,GA,Port Wentworth,31407,550 Northport Pkwy,SAVANNAH LOCAL,GA,31408,7365,3,17,0.002308214528173795,6,0.000814663951120163,0,0.0,11,0.001493550577053632,0,0.0,0,0.0,3,1.0,2026-08-02: 1; 2026-08-09: 3; 2026-08-16: 2,Savannah (GA) 0%,0,0,,0,,590,0.08010862186014936,6556,33,31,6744,0.9954243542435425,0.24044568582028233,922.9149409780777,922.6073157707372,12.636708860759496,0.8786150712830962,0.6439918533604904,1.0,0.4117647058823529,1.0,0.6666666666666667,,,1.0,0.2727272727272727,,,,,17,True,no_directs
msbd_2w,msbd_su,2,59806,DesignArt Inc. NY,22180,DesignArt Inc.,NY,1,Decor,Maxwell Threlkeld,NY,Champlain,12919,156 Lawrence Paquette Dr,PLATTSBURGH,NY,12901,7104,3,13,0.001829954954954955,2,0.00028153153153153153,0,0.0,11,0.0015484234234234234,0,0.0,0,0.0,1,0.3333333333333333,2026-08-09: 2,Plattsburgh (NY) 0%,0,0,,0,,291,0.040962837837837836,20,16,16,6797,0.9976515485102011,-0.1313018575235032,1388.1974368296674,1386.961740254942,2.544564094999271,0.8834459459459458,0.7597128378378375,0.5384615384615384,0.0,0.5,0.0,,,0.5454545454545454,0.0,,,,,13,True,no_directs
msbd_2w,msbd_su,2,237104,Devion Furniture,58079,Devion Furniture_1,CA,1,APS,Sean Xu,CA,Ontario,91761,4422 E Airport Drive,CHINO LOCAL,CA,91710,7035,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,0,0,,0,,45,0.006396588486140725,6841,0,0,6990,1.0,,1902.9702180566144,1905.2605361829742,1.8057740096477133,0.9374555792466228,0.6334044065387351,,,,,,,,,,,,,0,True,no_directs
msbd_2w,msbd_su,2,49461,Uniek WI 53597,22487,Uniek,WI,1,Decor,Waverly Winterer,WI,Waunakee,53597,805 Uniek Drive,MADISON,WI,53704,6080,3,23,0.0037828947368421053,1,0.0001644736842105263,0,0.0,22,0.003618421052631579,0,0.0,0,0.0,1,0.3333333333333333,2026-08-09: 1,Madison (WI) 0%,0,0,,0,,215,0.03536184210526316,43,41,38,5827,0.9935208866155157,-0.45999203121140564,1003.6972868217059,1004.9174047373835,7.281516834432476,0.9845394736842102,0.6363486842105265,1.0,0.3043478260869566,1.0,0.0,,,1.0,0.3181818181818182,,,,,23,True,no_directs
msbd_2w,msbd_su,2,122925,Sagebrook Home SC 29483,23092,Sagebrook Home,"CA,SC",2,Decor,Allie Neyman,SC,Summerville,29483,574 Trade Center Pkwy,CHARLESTON,SC,29456,5536,3,21,0.003793352601156069,4,0.000722543352601156,1,0.000180635838150289,10,0.0018063583815028901,0,0.0,6,0.001083815028901734,1,0.3333333333333333,2026-08-02: 4,Charleston (SC) 0%,0,0,,1,Los Angeles (CA) 0%,436,0.078757225433526,56,51,30,5070,0.9941176470588236,-0.5126039556661878,1007.0629924846282,1006.1604628966833,6.774618585298188,0.8345375722543358,0.5587066473988427,0.47619047619047616,0.04761904761904763,0.5,0.0,0.0,1.0,0.7,0.0,,,0.16666666666666669,0.0,21,True,no_directs
msbd_2w,msbd_su,2,127095,Home Design Inc IN 46982,40861,Home Design Inc,IN,1,Casegoods,Zichu Wang,IN,Silver Lake,46982,505 E Main Street,KOKOMO,IN,46901,5325,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,,,0,0,,0,,540,0.10140845070422536,4734,2,0,4785,1.0,,892.0265993265995,799.5593266606012,73.8,0.8837558685446002,0.6330516431924883,,,,,,,,,,,,,0,True,no_directs
msbd_2w,msbd_su,2,110022,Loloi Rugs TX 75241,1452,Loloi Rugs,"GA,TX",2,Rugs,Alex Melius,TX,Dallas,75241,4130 Port Boulevard,DALLAS LOCAL,TX,75141,5220,3,8,0.0015325670498084292,0,0.0,4,0.0007662835249042146,3,0.0005747126436781609,0,0.0,1,0.00019157088122605365,0,0.0,,,0,0,,1,South Atlanta Ncpc (GA) 0%,229,0.04386973180076628,4937,15,15,4976,0.9969945902624725,0.358546645271914,961.1086049238005,979.2860008916629,14.219165316045343,0.9457854406130264,0.6837164750957846,0.375,0.75,,,0.25,1.0,0.6666666666666666,0.6666666666666666,,,0.0,0.0,8,True,no_directs
