lookback_window,timebase,lookback_weeks,supplier_id,su_name,parent_suid,parent_su_name,parent_warehouse_states,n_parent_warehouse_states,sto,srm_contact,own_state,city_name,postal_code,address_1,assigned_induction_hub_name,assigned_station_state,assigned_station_zip,total_vol,weeks_with_vol,candidate_vol,candidate_share,direct_vol,direct_share,sparse_far_vol,sparse_far_share,jumbo_vol,jumbo_share,ghost_vol,ghost_share,misshipping_vol,misshipping_share,weeks_with_direct,pct_weeks_with_direct,direct_by_week,top_direct_hubs,n_ghost_hubs,ghost_hub_vol,ghost_hubs,n_misshipping_hubs,misshipping_hubs,missing_actual_hub_vol,missing_actual_hub_share,hub_mismatch_vol,state_mismatch_vol,far_hub_vol,within_200_vol,pct_within_200_of_assigned,avg_gain_on_candidate,avg_dist_assignedhub_customer,avg_dist_actualhub_customer,avg_dist_assignedhub_actualhub,ifr,delivery_rel,ifr_candidate,delivery_rel_candidate,ifr_direct,delivery_rel_direct,ifr_sparse_far,delivery_rel_sparse_far,ifr_jumbo,delivery_rel_jumbo,ifr_ghost,delivery_rel_ghost,ifr_misshipping,delivery_rel_misshipping,candidate_bucket_sum,candidate_partition_ok,direct_cohort
msbd_2w,msbd_su,2,8678,Linon NC 27288,405,Linon,"CA,NC",2,Casegoods,Connor Henderson,NC,Eden,27288,136 Gant Rd,ELON,NC,27377,2801,3,43,0.01535166012138522,12,0.004284184219921457,0,0.0,30,0.010710460549803642,0,0.0,1,0.0003570153516601214,2,0.6666666666666666,2026-08-02: 4; 2026-08-09: 8,Elon (NC) 0%,0,0,,1,South Rialto - Ncpc (CA) 0%,227,0.08104248482684756,691,80,80,2494,0.9689199689199689,-0.4009647092651401,755.6034778465935,760.1049188391564,42.4309695512821,0.8707604426990359,0.6279900035701537,1.0,0.5348837209302327,1.0,0.75,,,1.0,0.4666666666666667,,,1.0,0.0,43,True,sometimes_builds_directs
msbd_2w,msbd_su,2,375946, JIAJING-NJ3,251752,LUXHOME (HK) TRADING LIMITED,"CA,GA,NJ",3,APS Bedroom,Lydia Liu,NJ,Carteret,07008,1500 Blair Road,SOUTH CARTERET,NJ,7008,1672,3,33,0.019736842105263157,18,0.01076555023923445,2,0.0011961722488038277,13,0.00777511961722488,0,0.0,0,0.0,2,0.6666666666666666,2026-08-02: 9; 2026-08-09: 9,Linden (NJ) 1%,0,0,,0,,46,0.02751196172248804,1620,54,54,1572,0.966789667896679,-0.08170851998538364,641.281370826011,622.6381625441697,76.29744866210336,0.9617224880382783,0.6590909090909105,1.0,0.5454545454545454,1.0,0.833333333333333,1.0,0.5,1.0,0.15384615384615385,,,,,33,True,sometimes_builds_directs
msbd_2w,msbd_su,2,137008,shanghaichenkungongyipinyouxiangongsi NJ 08060,136261,shanghaichenkungongyipinyouxiangongsi,"CA,GA,NJ",3,APS Youth,Thomas Zhang,NJ,Westampton,08060,35 E Park Dr,ROBBINSVILLE,NJ,8691,1420,3,25,0.017605633802816902,15,0.01056338028169014,1,0.0007042253521126761,8,0.005633802816901409,0,0.0,1,0.0007042253521126761,2,0.6666666666666666,2026-08-02: 8; 2026-08-09: 7,Greensboro (NC) 1%,0,0,,1,West Rialto (CA) 0%,271,0.1908450704225352,1004,309,26,1123,0.9773716275021758,0.5175112632764299,726.1500905797094,697.9488294314373,40.6890652557319,0.7126760563380284,0.5105633802816893,0.08000000000000002,0.48000000000000004,0.0,0.5333333333333333,1.0,0.0,0.0,0.375,,,1.0,1.0,25,True,sometimes_builds_directs
msbd_2w,msbd_su,2,205770, WYD-NJJW03,199602,NINGBO RUISEN DIANZIKEJI YOUXIANGONGSI,"CA,GA,IL,NJ,SC,TX",6,APS Bedroom,Lydia Liu,NJ,Edison,08817,300 Cedar Lane Suite B,WOODBRIDGE LOCAL,NJ,8832,1220,3,19,0.01557377049180328,11,0.009016393442622951,0,0.0,6,0.004918032786885246,0,0.0,2,0.001639344262295082,2,0.6666666666666666,2026-08-02: 7; 2026-08-09: 4,Metuchen (NJ) 1%,0,0,,1,Niles (IL) 0%,15,0.012295081967213115,1198,44,44,1161,0.9634854771784233,0.13605035883026384,489.64837872892326,487.1941176470589,66.22729549248744,0.9991803278688534,0.9131147540983614,1.0,0.8947368421052632,1.0,0.9090909090909091,,,1.0,0.8333333333333334,,,1.0,1.0,19,True,sometimes_builds_directs
msbd_2w,msbd_su,2,321452,NingBo KaiMeiChen DianZiShangWu YouXianGongSi CA 91761,83386,"Ningbo FanKai E-commerce Co., Ltd._1","CA,GA,IL,NJ,PA",5,APS Home Improvement,Nicole Sun,CA,Ontario,91761,1516 S Bon View Ave,CHINO LOCAL,CA,91710,977,3,68,0.06960081883316274,17,0.017400204708290685,2,0.0020470829068577278,7,0.007164790174002047,0,0.0,42,0.042988741044012284,2,0.6666666666666666,2026-08-02: 8; 2026-08-09: 9,Olive Branch (MS) 2%,0,0,,7,Fairless Hills (PA) 2%; East Brunswick (NJ) 1%; Atlanta (GA) 0%; South Atlanta Ncpc (GA) 0%; King Of Prussia (PA) 0%,9,0.009211873080859774,962,123,110,858,0.8863636363636364,0.46115743583091995,1079.5501340482572,981.4979973297726,246.7578338590958,0.978505629477995,0.8474923234390987,1.0,0.8823529411764702,1.0,1.0,1.0,0.5,1.0,0.28571428571428575,,,1.0,0.9523809523809524,68,True,sometimes_builds_directs
msbd_2w,msbd_su,2,284484,XH WP_SVAL GA 31407,66040,Shenzhen XinheTrade Limited Company,"CA,GA,NJ,PA,TX",5,APS,Stella Yin,GA,Port Wentworth,31407,302 International Trade Pkwy,SAVANNAH LOCAL,GA,31408,913,3,22,0.024096385542168676,15,0.01642935377875137,1,0.001095290251916758,6,0.0065717415115005475,0,0.0,0,0.0,2,0.6666666666666666,2026-08-02: 5; 2026-08-09: 10,Williamsburg Ncpc (FL) 2%,0,0,,0,,21,0.023001095290251915,886,44,44,848,0.9506726457399103,0.46677012709974053,577.2425480769226,550.3300375469344,37.1534988713318,0.9759036144578315,0.8148959474260673,1.0,0.8636363636363635,1.0,1.0,1.0,1.0,1.0,0.5,,,,,22,True,sometimes_builds_directs
msbd_2w,msbd_su,2,286949,Tianjin Yuyao Technology Co. NJ 08060,286842,LUMINOUS PATHWAY TRADING LIMITED,"CA,NJ",2,Wayfair,Frank Huang,NJ,Westampton,08060,35 E Park Dr,ROBBINSVILLE,NJ,8691,737,3,43,0.05834464043419267,21,0.028493894165535955,2,0.0027137042062415195,8,0.010854816824966078,0,0.0,12,0.016282225237449117,2,0.6666666666666666,2026-08-02: 16; 2026-08-09: 5,Greensboro (NC) 3%,0,0,,4,West Rialto (CA) 1%; Rancho Cucamonga Ncpc (CA) 0%; South Rialto - Ncpc (CA) 0%; Industry (CA) 0%,23,0.031207598371777476,578,212,52,662,0.927170868347339,-0.12204710656040683,762.2472222222223,731.0121856866544,125.5529661016948,0.9755766621438264,0.8249660786974214,0.953488372093023,0.6046511627906977,0.9523809523809524,0.7142857142857143,1.0,1.0,1.0,0.875,,,0.9166666666666666,0.16666666666666669,43,True,sometimes_builds_directs
msbd_2w,msbd_su,2,279087,"Quanzhou Milien Technology Co., Ltd. WPNJ7 08505",233172,"Quanzhou Milien Technology Co., Ltd.","CA,GA,NJ,PA,TX",5,APS Bedroom,Asia Supplier Service Desk,NJ,Bordentown,08505,3280 US Highway,ROBBINSVILLE,NJ,8691,587,3,81,0.13798977853492334,24,0.04088586030664395,6,0.010221465076660987,43,0.07325383304940375,0,0.0,8,0.013628620102214651,2,0.6666666666666666,2026-08-02: 18; 2026-08-09: 6,Greensboro (NC) 4%; Etna Rsf (OH) 0%; Hagerstown (MD) 0%,0,0,,2,Fairless Hills (PA) 1%; Lehigh Valley (PA) 0%,8,0.013628620102214651,482,389,129,450,0.7772020725388601,0.3970900786489335,836.3195604395607,715.7332552693206,140.48370883882146,0.9931856899488922,0.8807495741056223,1.0,0.8518518518518519,1.0,0.9583333333333333,1.0,0.8333333333333334,1.0,0.8372093023255816,,,1.0,0.6250000000000001,81,True,sometimes_builds_directs
msbd_2w,msbd_su,2,212616,WPNJ7,62368,Shenzhen Like Keji Youxiangongsi,"CA,GA,NJ,PA,TX",5,APS,Lydia Liu,NJ,Bordentown,08505,"3280 US Highway 206,Bordentown,NJ,08505",ROBBINSVILLE,NJ,8691,515,3,25,0.04854368932038835,11,0.021359223300970873,1,0.001941747572815534,12,0.02330097087378641,0,0.0,1,0.001941747572815534,2,0.6666666666666666,2026-08-02: 2; 2026-08-09: 9,Greensboro (NC) 2%,0,0,,1,King Of Prussia (PA) 0%,30,0.05825242718446602,399,344,63,422,0.8701030927835052,0.42369204737023536,563.9887240356084,484.515824915825,76.95539419087136,0.8563106796116506,0.6951456310679608,0.52,0.7200000000000001,0.3636363636363636,0.8181818181818182,0.0,1.0,0.6666666666666666,0.5833333333333333,,,1.0,1.0,25,True,sometimes_builds_directs
msbd_2w,msbd_su,2,270309,shenzhenshiledaochichengkejiyouxiangongsi GA 31322,35678,"HONGKONG LICHUAN TECHNOLOGY CO.,LIMITED","CA,GA,IL,NJ,TX",5,APS,Yolanda GUI,GA,Pooler,31322,5214 Old Louisville Road,SAVANNAH LOCAL,GA,31408,502,3,24,0.04780876494023904,21,0.04183266932270916,1,0.00199203187250996,1,0.00199203187250996,0,0.0,1,0.00199203187250996,2,0.6666666666666666,2026-08-02: 11; 2026-08-09: 10,Williamsburg Ncpc (FL) 4%,0,0,,1,Anaheim (CA) 0%,7,0.013944223107569721,494,54,54,441,0.8909090909090909,0.5041331841911098,644.4583690987121,598.089508928571,55.97631578947369,0.99800796812749,0.8964143426294822,1.0,0.9583333333333331,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,0.0,24,True,sometimes_builds_directs
