lookback_window,timebase,lookback_weeks,supplier_id,su_name,parent_suid,parent_su_name,sto,srm_contact,state_name,city_name,postal_code,address_1,assigned_induction_hub_name,assigned_station_state,assigned_station_zip,total_vol,weeks_with_vol,direct_eligible_vol,direct_eligible_share,batched_direct_vol,true_direct_vol,weeks_with_true_direct,pct_weeks_with_true_direct,true_direct_by_week,top_true_direct_hubs,n_ghost_hubs,ghost_hub_vol,ghost_share,ghost_direct_vol,ghost_hubs,missing_actual_hub_vol,missing_actual_hub_share,hub_mismatch_vol,state_mismatch_vol,far_hub_vol,within_200_vol,pct_within_200_of_assigned,avg_direct_gain,avg_gain_on_direct_eligible,avg_dist_assignedhub_customer,avg_dist_actualhub_customer,avg_dist_assignedhub_actualhub,ifr,direct_cohort
pdd_10w,promised_delivery_end_range_date_at_order,10,59119,Safavieh CA 92518,381,Safavieh,Rugs,Alex Resnick,CA,Riverside,92518,20800 Krameria Aveune,RIALTO LOCAL,CA,92316,19067,11,7835,0.4109193895211622,7438,1523,5,0.45454545454545453,2026-05-31: 779; 2026-06-07: 697; 2026-06-14: 32; 2026-06-28: 6; 2026-07-19: 9,Portland (OR) 214; Stockton Rsf (CA) 138; Salt Lake City (UT) 80; Hagerstown (MD) 77; Denver (CO) 76,1,11077,0.5809513819688467,5917,Fairfield Annex (CA) 58%,199,0.010436880474117585,18850,2238,13521,5347,0.2833898664405342,-1.1417068234219692,0.2516176795416739,970.0237049140634,869.5401476152088,476.4750487223908,0.9196517543399597,ghost_warehouses_no_directs
pdd_10w,promised_delivery_end_range_date_at_order,10,350373,York Wallcoverings PA 17408,5821,York Wallcoverings,Decor,Maxwell Threlkeld,PA,York,17408,2075 Loucks Road,HARRISBURG LOCAL,PA,17339,15645,11,2469,0.15781399808245447,2349,701,6,0.5454545454545454,2026-05-31: 392; 2026-06-07: 253; 2026-06-14: 30; 2026-07-05: 22; 2026-07-12: 2; 2026-07-26: 2,Rialto (CA) 94; Charlotte (NC) 69; Marietta (GA) 52; Houston (TX) 40; Dallas (TX) 36,1,4548,0.2906999041227229,1650,Columbus (OH) 29%,505,0.032278683285394696,9918,6632,6001,9139,0.6036327608982827,-0.014809002811518068,0.4426430367167947,966.0938507932339,748.742961033323,243.4715037750224,0.8187919463087248,ghost_warehouses_no_directs
pdd_10w,promised_delivery_end_range_date_at_order,10,292469,Baishi NJ 08810 Bedshe,25843,"Bedshe International Co.,LTD",APS,Rainbow Wu,NJ,Dayton ,08810,11 Corn Rd ,PRINCETON,NJ,8810,14755,11,3347,0.22683835987800746,3064,1544,11,1.0,2026-05-31: 464; 2026-06-07: 303; 2026-06-14: 65; 2026-06-21: 28; 2026-06-28: 13; 2026-07-05: 53; 2026-07-12: 82; 2026-07-19: 162; 2026-07-26: 269; 2026-08-02: 101; 2026-08-09: 4,South Rialto - Ncpc (CA) 349; Rialto (CA) 154; Fairfield Annex (CA) 128; Orlando (FL) 95; Chicago (IL) 74,1,2282,0.15465943747882074,1522,Chino (CA) 15%,665,0.04506946797695696,13277,4832,4624,9466,0.6718239886444287,-1.6681269802032488,-0.8181724377639563,854.5656331380216,1119.1667455725087,764.790770105951,0.9825144018976609,ghost_warehouses_no_directs
pdd_10w,promised_delivery_end_range_date_at_order,10,302637,"GigaCloud Trading, Inc. GA 31302",3215,"GigaCloud Trading, Inc.",Outdoor Furniture,Amy Connell,GA,Bloomingdale,31302,3001 Jimmy Deloach Parkway,SAVANNAH,GA,31408,11360,11,5041,0.44375,4748,1613,11,1.0,2026-05-31: 368; 2026-06-07: 349; 2026-06-14: 64; 2026-06-21: 77; 2026-06-28: 228; 2026-07-05: 176; 2026-07-12: 97; 2026-07-19: 109; 2026-07-26: 94; 2026-08-02: 46; 2026-08-09: 5,East Chattanooga (TN) 314; Ocala (FL) 173; Chattanooga (TN) 109; Orlando (FL) 99; Metuchen (NJ) 72,3,4739,0.41716549295774646,3146,Williamsburg Ncpc (FL) 17%; South Atlanta Ncpc (GA) 14%; Davenport (FL) 11%,110,0.009683098591549295,11238,6024,7644,3606,0.32053333333333334,-0.02956333033075458,0.24229711603766527,874.1302550571688,707.862873340709,320.2630372235205,0.6228873239436612,ghost_warehouses_no_directs
pdd_10w,promised_delivery_end_range_date_at_order,10,302333,NW Investment Inc TX 75041,64824,NW Investment Inc,APS Youth,Mariah Mao,TX,Garland,75041,3422 W Kingsley Rd,MESQUITE,TX,75149,9821,11,4291,0.4369208838203849,4070,652,7,0.6363636363636364,2026-05-31: 349; 2026-06-07: 263; 2026-06-14: 6; 2026-06-21: 2; 2026-07-12: 3; 2026-07-19: 4; 2026-07-26: 25,Orlando (FL) 67; Braselton (GA) 50; Denver (CO) 46; Champaign (IL) 44; Nashville (TN) 43,2,3999,0.4071886773241014,3425,Fairless Hills (PA) 29%; Diamond Bar Rsf (CA) 11%,95,0.009673149373790857,9548,4911,4915,4811,0.4946535060662143,0.23557302241712885,0.5133534857694951,835.7307598985317,524.2477306505099,703.1406842923792,0.688320944913963,ghost_warehouses_no_directs
pdd_10w,promised_delivery_end_range_date_at_order,10,149173,Alphamarts 006-F NJ 08554,46710,Alphamarts,APS Outdoor,Melody Lu,NJ,Roebling,08554,839 Railroad Ave,ROBBINSVILLE,NJ,8691,9290,11,1143,0.12303552206673843,984,963,10,0.9090909090909091,2026-05-31: 304; 2026-06-07: 284; 2026-06-14: 87; 2026-06-21: 43; 2026-06-28: 39; 2026-07-05: 65; 2026-07-12: 21; 2026-07-19: 16; 2026-07-26: 70; 2026-08-02: 34,Toledo (OH) 439; Chicago (IL) 89; Northern Kentucky (KY) 56; Etna Rsf (OH) 46; Van Buren Rsf (MI) 37,1,1141,0.12282023681377825,31,Hagerstown (MD) 12%,64,0.006889128094725512,6562,4060,2439,6787,0.7356384131801431,0.09298880261524045,0.7543145978696253,480.0851416266361,347.4778898920159,170.47560546014947,0.8057050592034448,ghost_warehouses_no_directs
pdd_10w,promised_delivery_end_range_date_at_order,10,155962,Compamia FL 33147,10309,Compamia,Outdoor Furniture,Kathleen Kerrins,FL,Miami,33147,7000 N W 32 AVE,MEDLEY,FL,33178,7996,11,3894,0.48699349674837417,3710,1227,6,0.5454545454545454,2026-05-31: 704; 2026-06-07: 463; 2026-06-14: 57; 2026-06-28: 1; 2026-07-12: 1; 2026-07-19: 1,Las Vegas (NV) 155; Metuchen (NJ) 153; Hagerstown (MD) 99; Tracy (CA) 94; North Portland Rsf (OR) 82,1,3613,0.45185092546273137,2483,Williamsburg Ncpc (FL) 45%,115,0.014382191095547774,7767,1933,5506,2375,0.3013576957238929,0.031131128818116756,0.5622845938380735,1622.0503892661918,1005.7265853658531,527.9142544706017,0.9304652326163075,ghost_warehouses_no_directs
pdd_10w,promised_delivery_end_range_date_at_order,10,27346,Nearly Natural FL,6812,Nearly Natural,Decor,Maxwell Threlkeld,FL,Hialeah,33018,3870 W 108th Street,MIAMI,FL,33178,7679,11,2282,0.29717411121239745,2047,1119,6,0.5454545454545454,2026-05-31: 613; 2026-06-07: 459; 2026-06-14: 34; 2026-07-19: 4; 2026-07-26: 4; 2026-08-02: 5,Las Vegas (NV) 116; Denver (CO) 66; Hagerstown (MD) 65; Metuchen (NJ) 57; Columbus (OH) 49,1,1256,0.16356296392759473,930,Williamsburg Ncpc (FL) 16%,149,0.019403568172939183,7515,1640,2910,4620,0.6135458167330677,0.14686668680365736,0.7207216492114829,1427.7297069825431,945.6779106663394,407.97097119892896,0.9304596952728214,ghost_warehouses_no_directs
pdd_10w,promised_delivery_end_range_date_at_order,10,111282,Costway CA 92374 [2],38830,Costway,APS Outdoor,David Liu,CA,Redlands,92374,9180 Alabama St,WEST RIALTO,CA,92316,6651,11,1822,0.27394376785445795,1485,759,6,0.5454545454545454,2026-05-31: 401; 2026-06-07: 333; 2026-06-14: 21; 2026-06-28: 2; 2026-07-05: 1; 2026-07-12: 1,Metuchen (NJ) 59; Chicago (IL) 45; Hagerstown (MD) 43; Denver (CO) 32; Sacramento (CA) 32,1,1186,0.17831904976695234,726,Fairfield Annex (CA) 18%,16,0.0024056532852202678,3707,1193,2655,3980,0.5998492840994725,-0.17309211613973632,0.564179070053424,1220.1081664910425,935.1970088626299,443.0542995315095,0.8965569087355274,ghost_warehouses_no_directs
pdd_10w,promised_delivery_end_range_date_at_order,10,253370,Edecor Center Inc._1 NJ 08110,253285,Edecor Center Inc._1,Wayfair,Asia Supplier Service Desk,NJ,Pennsauken,08110,1050 Thomas Busch Memorial Highway,CAMDEN,NJ,8007,6361,11,3183,0.5003930199654143,2997,755,7,0.6363636363636364,2026-05-31: 328; 2026-06-07: 238; 2026-06-14: 36; 2026-07-05: 70; 2026-07-12: 69; 2026-07-19: 2; 2026-07-26: 12,Irving (TX) 139; Orlando (FL) 73; Stockton Rsf (CA) 51; Portland (OR) 41; Mesquite (TX) 35,2,2346,0.3688099355447257,2248,South Dallas Rsf (TX) 21%; Diamond Bar Rsf (CA) 16%,80,0.012576638893255778,6276,6259,3352,2929,0.4663270179907658,0.387249490870502,0.6640881827644037,1259.5170955882368,496.1400266463651,1000.6631933311975,0.7921710422889475,ghost_warehouses_no_directs
