supplier_id,su_name,parent_suid,parent_su_name,sto,vol_peak,ifr_peak,delivery_rel_peak,o2d_stated_peak,o2d_actual_peak,o2d_gap_peak,gain_peak,mi_to_cust_peak,top_actual_hub_peak,vol_july4,ifr_july4,delivery_rel_july4,o2d_stated_july4,o2d_actual_july4,o2d_gap_july4,gain_july4,mi_to_cust_july4,top_actual_hub_july4,vol_july5,ifr_july5,delivery_rel_july5,o2d_stated_july5,o2d_actual_july5,o2d_gap_july5,gain_july5,mi_to_cust_july5,top_actual_hub_july5,ifr_delta_july4_vs_peak,del_delta_july4_vs_peak,o2d_actual_delta_july4_vs_peak,built_july4,built_july5
237104,Devion Furniture,58079,Devion Furniture_1,APS,754.0,0.4469496021220159,0.8209549071618037,10.071618037135279,9.236074270557028,-0.835543766578251,0.9608743311305412,76.14721485411143,Romeoville Rsf,,,,,,,,,,,,,,,,,,,,,,False,False
316872,"Heze Starfire Trading Co., Ltd CA 91761(5)",83413,"Heze Starfire Trading Co., Ltd",APS,280.0,0.6678571428571427,0.9035714285714285,11.014285714285714,9.442857142857143,-1.5714285714285712,0.9700431238943487,58.95642857142855,Romeoville Rsf,,,,,,,,,,,,,,,,,,,,,,False,False
28971,NFusion CA 91761 Warehouse CA11,3215,"GigaCloud Trading, Inc.",Outdoor Furniture,270.0,0.7888888888888889,0.9259259259259259,8.207407407407407,7.385185185185185,-0.822222222222222,0.9658724422751995,67.64481481481481,Toledo,,,,,,,,,,,,,,,,,,,,,,False,False
238512,CP HomeDecor CA 91761(2),66884,CP HomeDecor,APS,212.0,0.6650943396226415,0.8679245283018868,9.004716981132075,8.339622641509434,-0.665094339622641,0.9583680029400413,82.50990566037737,Romeoville Rsf,,,,,,,,,,,,,,,,,,,,,,False,False
280028, CHINO,88820,"Ningbo Meigao Outdoor Products Co., Ltd.",APS Outdoor,199.0,0.9949748743718593,0.8944723618090452,7.71356783919598,6.944723618090452,-0.7688442211055273,0.9627082677890596,74.05628140703517,Chicago,,,,,,,,,,,,,,,,,,,,,,False,False
17066,  CA2,3215,"GigaCloud Trading, Inc.",Outdoor Furniture,198.0,0.7272727272727273,0.8888888888888888,7.833333333333333,6.1313131313131315,-1.7020202020202015,0.9715397743020544,58.757070707070696,Chicago,1.0,0.0,1.0,9.0,6.0,-3.0,0.7854851643945469,481.5,East Chattanooga,1.0,1.0,1.0,7.0,4.0,-3.0,0.5745869211077496,914.0,Davenport,-0.7272727272727273,0.11111111111111116,-0.1313131313131315,True,True
322082,"Hangzhou Mengfeisi Home Furnishings Co., CA 92571 ",313810,"Hangzhou Mengfeisi Home Furnishings Co., Ltd",APS Outdoor,182.0,0.9835164835164835,0.9725274725274725,8.67032967032967,6.873626373626373,-1.7967032967032965,0.9660195163189493,71.30054945054945,Toledo,,,,,,,,,,,,,,,,,,,,,,False,False
119437,Aosom LLC CA 92374,5725,Aosom LLC,APS Outdoor,165.0,0.9939393939393939,0.8484848484848485,7.587878787878788,6.848484848484849,-0.7393939393939393,0.9631631815175806,75.11575757575758,Chicago,,,,,,,,,,,,,,,,,,,,,,False,False
39837,Kingston CA,2940,Kingston,Plumbing,151.0,0.8807947019867549,0.8940397350993378,9.56953642384106,8.682119205298013,-0.887417218543046,0.9662205361255427,66.65827814569536,Chicago,,,,,,,,,,,,,,,,,,,,,,False,False
272805,Karat Home Inc (14 Karat) CA 92880,21718,Karat Home Inc (14 Karat),APS Upholstery,149.0,0.5771812080536913,0.8456375838926175,9.961409395973154,8.63758389261745,-1.323825503355705,0.9682811046233405,63.05906040268457,Chicago,,,,,,,,,,,,,,,,,,,,,,False,False
236498,Oberon Dist,49956,Oberon Distribution,Lighting,143.0,0.8041958041958042,0.9300699300699301,9.678321678321678,8.552447552447552,-1.1258741258741267,0.9671134638467994,65.72447552447552,Toledo,,,,,,,,,,,,,,,,,,,,,,False,False
293214,CIAO JING INC CA 92879 ,88927,CIAO JING INC,Upholstery,129.0,0.7131782945736435,0.8914728682170543,8.30232558139535,7.6434108527131785,-0.6589147286821708,0.9669979129995494,67.28294573643413,Romeoville Ncpc,,,,,,,,,,,,,,,,,,,,,,False,False
292636,Green Living Group INC CA 91762,78686,Green Living Group INC,Soft Home,122.0,0.860655737704918,0.8442622950819673,8.51639344262295,7.762295081967213,-0.7540983606557372,0.9662351442702513,68.99918032786886,Toledo,,,,,,,,,,,,,,,,,,,,,,False,False
20530,Million Dollar Baby CA 90660,426,Million Dollar Baby Co,Youth Furniture & Decor,121.0,0.9669421487603306,0.9090909090909091,8.049586776859504,7.595041322314049,-0.45454545454545503,0.9694967061198033,63.41157024793388,Chicago,,,,,,,,,,,,,,,,,,,,,,False,False
297318,Eazeemats CA 91752 (4),45285,Eazeemats,APS Upholstery,120.0,0.95,0.8583333333333333,8.15,7.85,-0.3000000000000007,0.9692064343900085,64.2375,Chicago,,,,,,,,,,,,,,,,,,,,,,False,False
39283,Design Imports WA 98390,8018,Design Imports,Tabletop,105.0,0.9428571428571428,0.7238095238095238,8.447619047619048,8.161904761904761,-0.2857142857142865,0.9609485849281036,83.44380952380953,Chicago,,,,,,,,,,,,,,,,,,,,,,False,False
272846,Pony Bros-2,50278,"US_INSONG TRADING CO., LIMITED",APS Youth,104.0,0.375,0.9134615384615384,8.971153846153847,8.278846153846153,-0.6923076923076934,0.9667062611503249,66.01057692307691,Chicago,,,,,,,,,,,,,,,,,,,,,,False,False
