grain,supplier_id,su_name,parent_suid,parent_su_name,address_1,city_name,state_name,postal_code,distinct_parents,distinct_suppliers,volume
PARENT,,,49636,General Sherman International Inc.,,,,,,18,7740
PARENT,,,39423,COMPHOME.CORP,,,,,,19,4664
PARENT,,,72498,"SOOTEN INTERNATIONAL TRADING CO., LIMITED_1",,,,,,15,3739
PARENT,,,354157,Silverton Partners LLC,,,,,,7,3141
PARENT,,,81878,All-In furniture Inc,,,,,,15,2566
PARENT,,,135780,Hebei Xiong an Aibike Technology Co Ltd,,,,,,10,2499
PARENT,,,399949,"Hangzhou Langting Network Technology Co., Ltd.",,,,,,4,2265
PARENT,,,242916,Tengjian Electronic Technology Shenzhen Co LTD,,,,,,6,2149
PARENT,,,244259,"ANJI XIN SHI JUE HOUSEHOLD SUPPLIES CO.,LTD",,,,,,4,2126
PARENT,,,79674,SHENZHEN TIANSHUXING TECHNOLOGY CO LTD,,,,,,18,1899
PARENT,,,8574,Comptree Inc,,,,,,18,1754
PARENT,,,89747,OPTIONS TRADING LLC,,,,,,18,1708
PARENT,,,200164,"Shijiazhuang New Cast Sun Trading Co., Ltd",,,,,,11,1650
PARENT,,,232560,Gujia Furniture LLC,,,,,,18,1644
PARENT,,,314245,"Changsha Yuefeng Zhisheng Technical Service Co., Ltd.",,,,,,18,1621
PARENT,,,302479,Suzhou Yuanrun Trading Co.,,,,,,14,1535
PARENT,,,201347,Home Sweet Dream Joy Inc,,,,,,13,1458
PARENT,,,281985,Greenhome Trade Inc,,,,,,14,1432
PARENT,,,178315,Joywaa inc,,,,,,13,1368
PARENT,,,300621,Bitwise Techie Inc,,,,,,14,1360
PARENT,,,67212,"Shenzhenshi Damengyuan Technology Co., Ltd",,,,,,18,1324
PARENT,,,201348,Shinely Homes Style Inc,,,,,,16,1302
PARENT,,,106010,Smash sports group Inc,,,,,,14,1294
PARENT,,,86671,"Wuhan Gojin Technology Co., Ltd.",,,,,,6,1214
PARENT,,,57457,"Lefun Trading co.,ltd.",,,,,,10,1123
PARENT,,,74031,Farm On Table Inc,,,,,,12,1110
PARENT,,,105692,GOBEYONDWF INC,,,,,,15,1110
PARENT,,,249405,Albany Living INC,,,,,,2,1090
PARENT,,,296357,shenzhenshipengchengfengmaoyiyouxiangongsi,,,,,,14,1070
PARENT,,,220960,Impact Outdoor Supplies Ltd.,,,,,,16,1028
PARENT,,,54500,Phoebecat Inc,,,,,,4,1027
PARENT,,,299761,Chet Connect Inc,,,,,,13,1008
PARENT,,,296339,shenzhenwannengdakejiyouxiangongsi,,,,,,14,984
PARENT,,,77714,haoqingnianus inc,,,,,,16,970
PARENT,,,321015,shenzhenheimaokejiyouxiangongsi,,,,,,14,966
PARENT,,,323094,langfangshituruiqimaoyiyouxiangongsi,,,,,,15,965
PARENT,,,208802,FURNITURE GROUP LIMITED,,,,,,13,964
PARENT,,,320356,haikouqiyikemaoyiyouxiangongsi,,,,,,21,952
PARENT,,,211665,LAIHAMEUS INDUSTRIAL LIMITED,,,,,,18,946
PARENT,,,292376,fuzhoutongtuomaoyiyouxiangongsi,,,,,,3,931
PARENT,,,110026,_YIWUSHIQUEYUEMAOYIYOUXIANGONG,,,,,,14,923
PARENT,,,324170,"Office Furniture Concepts, Inc.",,,,,,14,916
PARENT,,,305799,ningjinxiannuojiejiajuyouxiangongsi,,,,,,14,904
PARENT,,,240536,langfangyuemingqishangmaoyouxiangongsi,,,,,,5,900
PARENT,,,300115,"Shenzhen Dachen Times Technology Co., Ltd.",,,,,,17,843
PARENT,,,172396,Dongguan Hewei Kejiyouxiangongsi,,,,,,13,840
PARENT,,,348609,"Yiwu Zeyi E-commerce Co., Ltd",,,,,,12,822
PARENT,,,238168,taiyuan bidengguai dianzishangwu youxiangongsi,,,,,,5,815
PARENT,,,298106,SHANGHAI LEJIA MAOYI YOUXIANGONGSI,,,,,,4,803
PARENT,,,248957,"Anji YiMengZhongJia E-commerce Co., Ltd",,,,,,15,801
PARENT,,,76378,A&L Technology Support LLC,,,,,,11,794
PARENT,,,93985,"Yiwu Longfei Trading Co.,Ltd",,,,,,15,792
PARENT,,,234304,quanzhoushilipobaowangluokejiyouxiangongsi,,,,,,14,792
PARENT,,,46785,JZ Home Decor LLC,,,,,,13,778
PARENT,,,271401,Amorphous Biz Inc,,,,,,16,770
