grain,supplier_id,su_name,parent_suid,parent_su_name,address_1,city_name,state_name,postal_code,distinct_parents,distinct_suppliers,volume
SUPPLIER_WH,246598,Tengjian Electronic Technology Shenzhen CA 91761,242916,Tengjian Electronic Technology Shenzhen Co LTD,1670 S. Etiwanda Ave. ,Ontario,CA,91761,,,1713
SUPPLIER_WH,401765,"Xuchang Suoteng Network Technology Co.,Ltd NJ 08527",72498,"SOOTEN INTERNATIONAL TRADING CO., LIMITED_1",543 Monmouth Rd.,Jackson Township,NJ,08527,,,1583
SUPPLIER_WH,245506,General Sherman International Inc. GA 31322,49636,General Sherman International Inc.,133 Coleman Blvd,Savannah,GA,31408,,,1580
SUPPLIER_WH,451744,"Hangzhou Langting Network Technology Co., Ltd. GA 31302",399949,"Hangzhou Langting Network Technology Co., Ltd.",3001 Jimmy Deloach Parkway,Bloomingdale,GA,31302,,,1183
SUPPLIER_WH,94632,General Sherman International Inc TX 75050,49636,General Sherman International Inc.,1113 West Oakdale Road,Grand Prairie,TX,75050,,,1097
SUPPLIER_WH,249596,COMPHOME.CORP GA 31408,39423,COMPHOME.CORP,133 Coleman Blvd,Savannah,GA,31408,,,1095
SUPPLIER_WH,249585,Albany Living INC NJ 08810,249405,Albany Living INC,121 Herrod Blvd,Dayton,NJ,08810,,,955
SUPPLIER_WH,449916,"ANJI XIN SHI JUE HOUSEHOLD SUPPLIES CO.,LTD NJ 08527",244259,"ANJI XIN SHI JUE HOUSEHOLD SUPPLIES CO.,LTD",543 Monmouth Rd.,Jackson Township,NJ,08527,,,951
SUPPLIER_WH,92270,All-In furniture Inc GA 30122,81878,All-In furniture Inc,850 Douglas Hills Rd,Lithia Springs,GA,30122,,,920
SUPPLIER_WH,284931,General Sherman International Inc. GA 31302,49636,General Sherman International Inc.,3001 Jimmy Deloach Parkway,Bloomingdale,GA,31302,,,877
SUPPLIER_WH,402955,Hangzhou Langting Network Technology CA 92337(2),399949,"Hangzhou Langting Network Technology Co., Ltd.",13521 Santa Ana Ave,Fontana,CA,92337,,,833
SUPPLIER_WH,344363,"Xuchang Suoteng Network Technology Co.,Ltd CA 92337",72498,"SOOTEN INTERNATIONAL TRADING CO., LIMITED_1",13521 Santa Ana Ave,Fontana,CA,92337,,,809
SUPPLIER_WH,269188,COMPHOME.CORP GA 31302,39423,COMPHOME.CORP,3001 Jimmy Deloach Parkway,Bloomingdale,GA,31302,,,733
SUPPLIER_WH,344366,"Xuchang Suoteng Network Technology Co.,Ltd NJ 08512",72498,"SOOTEN INTERNATIONAL TRADING CO., LIMITED_1",311 Cranbury Half Acre Rd,Cranbury ,NJ,08512,,,723
SUPPLIER_WH,403373,General Sherman International Inc. NJ 08527,49636,General Sherman International Inc.,543 Monmouth Rd.,Jackson Township,NJ,08527,,,719
SUPPLIER_WH,369029,Silverton Partners LLC CA 92337 (2),354157,Silverton Partners LLC,10721 Jasmine Street,Fontana,CA,92337,,,716
SUPPLIER_WH,253229,Hebei Xiong an Aibike Technology Co Ltd CA8,135780,Hebei Xiong an Aibike Technology Co Ltd,Slover Distribution Center 5,Fontana,CA,92337,,,699
SUPPLIER_WH,325856,Gujia Cloud CA7 92337,232560,Gujia Furniture LLC,13521 Santa Ana Ave,Fontana,CA,92337,,,682
