supplier_id,su_name,parent_suid,parent_su_name,states,count_states,sto,sto2,srm_contact,address_1,city_name,state_name,postal_code,summer26_target,summer26_cohorts,sp_lt,cutoff,destinationentityid,StationName,constrained_market,assigned_constrained_market,order_lt,cushion,OrderCapacityPadDays,ops,purchase_order_number,tracking_number,assigned_induction_hub_id,assigned_induction_hub_name,assigned_station_zip,assigned_station_state,destination_zipcode,destination_state,destination_country_id,actual_induction_hub_id,actual_induction_hub_name,actual_induction_hub_zip,actual_induction_hub_state,assignedhub_notequal_actualhub_flag,assignedstate_notequal_actualstate_flag,state_pairing,distance_assignedhub_customer,distance_actualhub_customer,distance_assignedhub_actualhub,distance_assignedhub_customer_400_plus,distance_assignedhub_actualhub_200_plus,direct_gain,ship_confirm_differentSUID_flag,order_complete_date,order_complete_date_time_local,order_dow,msbd_su_week,msbd_su,msbd_cu,event_datetime,fulfillment_ship_date_time,SU_FR,induction_date_lidd,induction_date_WCP_local,induction_date_adj,induction_date_adj_week,induction_dow_adj,carrier_first_induction_date_time,carrier_first_induction_WCP_local,o2sumsbd,o2cumsbd,o2s_actual,delivery_date,o2d_stated,o2d_actual,o2d_stated_5,o2d_actual_5,delivery_rel,promised_delivery_end_range_date_at_order,label_by_msbd_7,label_by_msbd_2,label_7_ind_8,inducted_early,inducted_over_weekend,inducted_on_time_or_early,inducted_on_time_or_early_10AM,inducted_late,not_inducted_but_late_already,not_inducted_not_late_yet,cu_inducted_on_time_or_early,cu_inducted_late,cu_not_inducted_but_late_already,cu_not_inducted_not_late_yet,one_day_late,one_day_late_between8_and4,one_day_late_between4_and8,two_day_late,three_five_day_inducted_late,five_ten_day_inducted,three_days_plus_late,two_days_plus_late,ten_day_plus,o2s_stated_1,o2s_stated_1_rel,o2s_stated_2,o2s_stated_2_rel,ifr_status,o2I_0_adj,o2I_1_adj,o2I_2_adj,o2I_3_adj,label2I_0_adj,label2I_1_adj,label2I_2_adj,o2label_0_adj,o2label_1_adj,o2label_2_adj,o2label_3_adj,inducted_early_wcp,inducted_over_weekend_wcp,inducted_on_time_or_early_wcp,inducted_late_wcp,not_inducted_but_late_already_wcp,not_inducted_not_late_yet_wcp,cu_inducted_on_time_or_early_wcp,cu_inducted_late_wcp,cu_not_inducted_but_late_already_wcp,cu_not_inducted_not_late_yet_wcp,o2I_0_adj_wcp,o2I_1_adj_wcp,o2I_2_adj_wcp,o2I_3_adj_wcp,o2I_bus_0,o2I_bus_1,o2I_bus_2,o2I_bus_3,o2I_bus_4,o2I_bus_5,o2I_bus_10,o2I_bus_11_plus,oosp_baseLT_adj,productclass,isB2BOrder,ProductCategory,assigned_leg2_transit,actual_assumed_leg2_transit,supplierpartid,supplierpartnumber,sku,s2d,has_relabel,fulfillment_type,isbeforecutoff,is_b2b_flag
10983,JLA Home GA 31407 - SV3,1987,JLA Home,"CA,GA,GA",2,Soft Home,Soft Home,Missy Paragamian,311 International Trade Pkwy,Port Wentworth,GA,31407,IFR,"A. Late scheduled pickups, >20% of lates induct next day between 8 - 2",24,,314,SAVANNAH,1,1,24,0,0,11454124477,669920889,874908011316,314,SAVANNAH,31408,GA,92703,CA,1,291,Savannah,31322,GA,1,0,GA-GA,2421.4,2412.9,9.0,1,1,0.0035103659040224664,0,2026-07-25,2026-07-25 08:40:47.669000,7,2026-07-26,2026-07-27,2026-07-27,2026-07-27 05:16:00,2026-07-27,1,2026-07-28,2026-07-28,2026-07-28,2026-07-26,3,2026-07-28 21:12:00,2026-07-28 21:12:00,2,2,3,,6,,0,0,0,2026-07-31,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,No,Accent Chairs,0,Upholstery - Core,,,35689660,MP100-0785,NCWA1443,4,0,DS,True,0
10983,JLA Home GA 31407 - SV3,1987,JLA Home,"CA,GA,GA",2,Soft Home,Soft Home,Missy Paragamian,311 International Trade Pkwy,Port Wentworth,GA,31407,IFR,"A. Late scheduled pickups, >20% of lates induct next day between 8 - 2",24,,314,SAVANNAH,1,1,24,0,0,11457292836,669783034,874908028160,314,SAVANNAH,31408,GA,92082,CA,1,291,Savannah,31322,GA,1,0,GA-GA,2415.6,2406.8,9.0,1,1,0.003642987249544514,0,2026-07-24,2026-07-24 14:20:43.099000,6,2026-07-26,2026-07-27,2026-07-27,2026-07-27 05:31:00,2026-07-28,1,2026-07-29,2026-07-29,2026-07-29,2026-07-26,4,2026-07-29 12:37:00,2026-07-29 12:37:00,3,3,5,,7,,0,0,0,2026-07-31,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,No,Bar Stools,1,Furniture - Kitchen and Dining,,,135986847,MT104-0185,MSTT6517,4,0,DS,False,1
10983,JLA Home GA 31407 - SV3,1987,JLA Home,"CA,GA,GA",2,Soft Home,Soft Home,Missy Paragamian,311 International Trade Pkwy,Port Wentworth,GA,31407,IFR,"A. Late scheduled pickups, >20% of lates induct next day between 8 - 2",24,,314,SAVANNAH,1,1,24,0,0,11459602416,670053810,874908009224,314,SAVANNAH,31408,GA,77802,TX,1,291,Savannah,31322,GA,1,0,GA-GA,1100.3,1092.8,9.0,1,1,0.006816322821048805,0,2026-07-25,2026-07-25 19:54:55.471000,7,2026-07-26,2026-07-27,2026-07-27,2026-07-27 05:16:00,2026-07-28,1,2026-07-28,2026-07-28,2026-07-28,2026-07-26,3,2026-07-28 16:42:00,2026-07-28 16:42:00,2,2,3,2026-07-31,4,6,1,0,0,2026-07-29,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,No,Benches,0,Accent Furniture,,,99221384,MT105-0159,MSTT5847,2,0,DS,True,0
10983,JLA Home GA 31407 - SV3,1987,JLA Home,"CA,GA,GA",2,Soft Home,Soft Home,Missy Paragamian,311 International Trade Pkwy,Port Wentworth,GA,31407,IFR,"A. Late scheduled pickups, >20% of lates induct next day between 8 - 2",24,,314,SAVANNAH,1,1,24,0,0,11507239437,670387139,874907993005,314,SAVANNAH,31408,GA,95650,CA,1,291,Savannah,31322,GA,1,0,GA-GA,2736.7,2728.6,9.0,1,1,0.0029597690649321847,0,2026-07-26,2026-07-26 20:45:12.027000,1,2026-07-26,2026-07-27,2026-07-27,2026-07-27 05:16:00,2026-07-28,1,2026-07-28,2026-07-28,2026-07-28,2026-07-26,3,2026-07-28 19:43:00,2026-07-28 19:43:00,1,1,2,2026-08-04,8,9,0,0,0,2026-08-03,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,1,0,No,Benches,0,Accent Furniture,,,139354203,MT105-0188,MSTT6545,7,1,DS,True,0
10983,JLA Home GA 31407 - SV3,1987,JLA Home,"CA,GA,GA",2,Soft Home,Soft Home,Missy Paragamian,311 International Trade Pkwy,Port Wentworth,GA,31407,IFR,"A. Late scheduled pickups, >20% of lates induct next day between 8 - 2",24,,314,SAVANNAH,1,1,24,0,0,11507309017,669803511,874868471304,314,SAVANNAH,31408,GA,62712,IL,1,291,Savannah,31322,GA,1,0,GA-GA,874.8,866.1,9.0,1,1,0.009945130315500608,0,2026-07-24,2026-07-24 17:59:10.381000,6,2026-07-26,2026-07-27,2026-07-27,2026-07-24 23:26:00,2026-07-27,1,2026-07-27,2026-07-27,2026-07-27,2026-07-26,2,2026-07-27 19:50:00,2026-07-27 19:50:00,3,3,3,2026-07-29,5,5,1,1,1,2026-07-29,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,No,Benches,0,Accent Furniture,,,15217826,FPF18-0524,LTRN4747,2,0,DS,False,0
10983,JLA Home GA 31407 - SV3,1987,JLA Home,"CA,GA,GA",2,Soft Home,Soft Home,Missy Paragamian,311 International Trade Pkwy,Port Wentworth,GA,31407,IFR,"A. Late scheduled pickups, >20% of lates induct next day between 8 - 2",24,,314,SAVANNAH,1,1,24,0,0,11509682667,670081731,874907994630,314,SAVANNAH,31408,GA,89141,NV,1,291,Savannah,31322,GA,1,0,GA-GA,2207.9,2199.2,9.0,1,1,0.003940395851261503,0,2026-07-25,2026-07-25 20:25:08.003000,7,2026-07-26,2026-07-27,2026-07-27,2026-07-27 05:16:00,2026-07-27,1,2026-07-27,2026-07-27,2026-07-27,2026-07-26,2,2026-07-27 20:02:00,2026-07-27 20:02:00,2,2,2,2026-08-03,6,9,0,0,0,2026-07-31,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,1,0,No,Accent Chairs,1,Upholstery - Core,,,50083032,II110-0397,MTNA5161,4,0,DS,True,1
10983,JLA Home GA 31407 - SV3,1987,JLA Home,"CA,GA,GA",2,Soft Home,Soft Home,Missy Paragamian,311 International Trade Pkwy,Port Wentworth,GA,31407,IFR,"A. Late scheduled pickups, >20% of lates induct next day between 8 - 2",24,,314,SAVANNAH,1,1,24,0,0,12180664253,669980453,874907999389,314,SAVANNAH,31408,GA,55320,MN,1,291,Savannah,31322,GA,1,0,GA-GA,1419.3,1425.1,9.0,1,1,-0.0040865215246952405,0,2026-07-25,2026-07-25 14:38:06.113000,7,2026-07-26,2026-07-27,2026-07-27,2026-07-27 05:16:00,2026-07-28,1,2026-07-28,2026-07-28,2026-07-28,2026-07-26,3,2026-07-28 19:42:00,2026-07-28 19:42:00,2,2,3,2026-07-31,5,6,1,0,0,2026-07-30,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,No,Wall Décor,0,Decorative Accent - Wall Accents,,,77797198,MPS95B-0040,NCWB1232,3,0,DS,True,0
10983,JLA Home GA 31407 - SV3,1987,JLA Home,"CA,GA,GA",2,Soft Home,Soft Home,Missy Paragamian,311 International Trade Pkwy,Port Wentworth,GA,31407,IFR,"A. Late scheduled pickups, >20% of lates induct next day between 8 - 2",24,,314,SAVANNAH,1,1,24,0,0,12192918489,669768318,874907998371,314,SAVANNAH,31408,GA,36532,AL,1,291,Savannah,31322,GA,1,0,GA-GA,541.7,534.1,9.0,1,1,0.014029905851947614,0,2026-07-24,2026-07-24 15:16:24.975000,6,2026-07-26,2026-07-27,2026-07-27,2026-07-27 05:16:00,2026-07-28,1,2026-07-29,2026-07-29,2026-07-29,2026-07-26,4,2026-07-29 12:24:00,2026-07-29 12:24:00,3,3,5,2026-07-31,5,7,1,0,0,2026-07-29,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,No,Accent Chests / Cabinets,1,Accent Furniture,,,53510820,MPS130-0293,NCWB1202,2,0,DS,False,1
10983,JLA Home GA 31407 - SV3,1987,JLA Home,"CA,GA,GA",2,Soft Home,Soft Home,Missy Paragamian,311 International Trade Pkwy,Port Wentworth,GA,31407,IFR,"A. Late scheduled pickups, >20% of lates induct next day between 8 - 2",24,,314,SAVANNAH,1,1,24,0,0,12318544633,669782647,874868466213,314,SAVANNAH,31408,GA,72113,AR,1,291,Savannah,31322,GA,1,0,GA-GA,773.8,766.1,9.0,1,1,0.009950891703282415,0,2026-07-24,2026-07-24 16:17:36.135000,6,2026-07-26,2026-07-27,2026-07-27,2026-07-24 23:26:00,2026-07-27,1,2026-07-27,2026-07-27,2026-07-27,2026-07-26,2,2026-07-27 20:01:00,2026-07-27 20:01:00,3,3,3,2026-07-29,5,5,1,1,1,2026-07-29,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,No,"Vases, Urns, Jars, & Bottles",0,Decorative Accent - Home Accents,,,20389751,MPS167-211,BDIS1258,2,0,DS,False,0
10983,JLA Home GA 31407 - SV3,1987,JLA Home,"CA,GA,GA",2,Soft Home,Soft Home,Missy Paragamian,311 International Trade Pkwy,Port Wentworth,GA,31407,IFR,"A. Late scheduled pickups, >20% of lates induct next day between 8 - 2",24,,314,SAVANNAH,1,1,24,0,0,12318693023,669781143,874868471256,314,SAVANNAH,31408,GA,30290,GA,1,291,Savannah,31322,GA,1,0,GA-GA,259.8,251.1,9.0,0,1,0.03348729792147812,0,2026-07-24,2026-07-24 17:10:57.446000,6,2026-07-26,2026-07-27,2026-07-27,2026-07-24 23:26:00,2026-07-27,1,2026-07-27,2026-07-27,2026-07-27,2026-07-26,2,2026-07-27 16:13:00,2026-07-27 16:13:00,3,3,3,2026-07-28,4,4,1,1,1,2026-07-28,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,No,Coffee & Cocktail Tables,0,Entertainment Furniture,,,20728121,MP120-0094,LGLY4848,1,0,DS,False,0
