supplier_id,su_name,parent_suid,parent_su_name,ops,purchase_order_number,order_complete_date,msbd_su,sp_lt,order_lt,cushion,supplierpartid,supplierpartnumber,SKU,ProductCategory,sto,inducted_on_time_or_early,order_lt_days,sp_lt_days
31945,South Sea Rattan NC27409,180,South Sea Rattan,12400362662,666008116,2026-07-04,2026-08-07,,600,0,15014431,75206-SPI-D6311,SA2115,Outdoor,Outdoor Furniture,0,25.0,
31945,South Sea Rattan NC27409,180,South Sea Rattan,12400891222,666057396,2026-07-04,2026-08-07,,600,0,39705088,TPS18-I33019-2,SA10191,Bedding,Outdoor Furniture,0,25.0,
31945,South Sea Rattan NC27409,180,South Sea Rattan,12243172953,664315429,2026-06-25,2026-08-06,,600,0,28574665,75206-SPI-E46027-2,SA2115,Outdoor,Outdoor Furniture,0,25.0,
31945,South Sea Rattan NC27409,180,South Sea Rattan,12370560525,663314604,2026-06-20,2026-07-31,,600,0,17777704,72092-COF-D6311,UNRS7813,Outdoor,Outdoor Furniture,0,25.0,
31945,South Sea Rattan NC27409,180,South Sea Rattan,12394796641,666568982,2026-07-06,2026-07-27,,360,0,49285277,74143-DIAGRUSH,SA10226,Outdoor,Outdoor Furniture,1,15.0,
31945,South Sea Rattan NC27409,180,South Sea Rattan,80135230330,663939823,2026-06-23,2026-07-21,,360,0,28545158,10043-ASB,SA2747,Entertainment Furniture,Outdoor Furniture,1,15.0,
31945,South Sea Rattan NC27409,180,South Sea Rattan,12195304183,660833926,2026-06-07,2026-07-17,,600,0,28574681,72091-GRY-D33010-2,UNRS7812,Outdoor,Outdoor Furniture,0,25.0,
31945,South Sea Rattan NC27409,180,South Sea Rattan,12255820309,660913902,2026-06-07,2026-07-17,,600,0,28574681,72091-GRY-D33010-2,UNRS7812,Outdoor,Outdoor Furniture,0,25.0,
31945,South Sea Rattan NC27409,180,South Sea Rattan,12290117942,660829275,2026-06-07,2026-07-17,,600,0,18943359,72091-COF-D6311,UNRS7812,Outdoor,Outdoor Furniture,0,25.0,
31945,South Sea Rattan NC27409,180,South Sea Rattan,12360217572,662900217,2026-06-17,2026-07-15,,360,0,30396788,78343-RUW,HIDN6900,Outdoor,Outdoor Furniture,1,15.0,
31945,South Sea Rattan NC27409,180,South Sea Rattan,12235563559,659428021,2026-05-31,2026-07-10,,600,0,39201742,3106-WAL-C4712,SA10171,Upholstery - Core,Outdoor Furniture,1,25.0,
31945,South Sea Rattan NC27409,180,South Sea Rattan,12150360553,657029238,2026-05-21,2026-06-26,,600,0,17777704,72092-COF-D6311,UNRS7813,Outdoor,Outdoor Furniture,1,25.0,
31945,South Sea Rattan NC27409,180,South Sea Rattan,11366223376,659147292,2026-05-29,2026-06-19,,360,0,23109093,76643-CHE,SA2006,Outdoor,Outdoor Furniture,1,15.0,
31945,South Sea Rattan NC27409,180,South Sea Rattan,12252914675,654959475,2026-05-11,2026-06-16,,600,0,28574681,72091-GRY-D33010-2,UNRS7812,Outdoor,Outdoor Furniture,0,25.0,
31945,South Sea Rattan NC27409,180,South Sea Rattan,11359456046,654730041,2026-05-10,2026-06-15,,600,0,39705089,TPS18-I33029-2,SA10192,Bedding,Outdoor Furniture,1,25.0,
31945,South Sea Rattan NC27409,180,South Sea Rattan,12091888973,652201470,2026-04-27,2026-06-02,,600,1,3015388,75206-SPI-E6635,SA2115,Outdoor,Outdoor Furniture,0,25.0,
31945,South Sea Rattan NC27409,180,South Sea Rattan,12243182255,654206453,2026-05-07,2026-05-29,,360,0,39201492,3344-ANT,SA10149,Entertainment Furniture,Outdoor Furniture,1,15.0,
31945,South Sea Rattan NC27409,180,South Sea Rattan,12193945935,650211357,2026-04-20,2026-05-26,,600,0,7724314,72091-GRY-D6311,UNRS7812,Outdoor,Outdoor Furniture,1,25.0,
31945,South Sea Rattan NC27409,180,South Sea Rattan,12101312963,652652869,2026-04-29,2026-05-20,,360,0,16744427,5443-WW,BYIL4650,Entertainment Furniture,Outdoor Furniture,1,15.0,
31945,South Sea Rattan NC27409,180,South Sea Rattan,12208251781,652622943,2026-04-29,2026-05-20,,360,0,39201491,3343-ANT,SA10148,Entertainment Furniture,Outdoor Furniture,1,15.0,
31945,South Sea Rattan NC27409,180,South Sea Rattan,12082971023,650907567,2026-04-24,2026-05-15,,360,0,28545158,10043-ASB,SA2747,Entertainment Furniture,Outdoor Furniture,1,15.0,
31945,South Sea Rattan NC27409,180,South Sea Rattan,12200855925,651115902,2026-04-25,2026-05-15,,360,1,39201489,3144-WAL,SA10146,Entertainment Furniture,Outdoor Furniture,1,15.0,
31945,South Sea Rattan NC27409,180,South Sea Rattan,12208556905,651296209,2026-04-25,2026-05-15,,360,1,14458627,1444-WW,BYIL4844,Entertainment Furniture,Outdoor Furniture,1,15.0,
