supplier_id,su_name,parent_suid,parent_su_name,supplierpartid,supplierpartnumber,sku,product_category,order_count,avg_order_lt_hours,avg_sp_lt_hours,min_order_lt,max_order_lt,median_order_lt,all_order_lts,avg_order_lt_days,median_order_lt_days
238939,"Braxton Culler, Inc NC 27350",13208,"CCNC Operations, LLC dba Braxton Culler",121572198,816-094/0807-52/SEAGLASS,BXCM3730,Accent Furniture,1,2880.0,,2880,2880,2880,[2880],120.0,120.0
238939,"Braxton Culler, Inc NC 27350",13208,"CCNC Operations, LLC dba Braxton Culler",50079186,1023-073/HONEY,BXCM1784,Accent Furniture,2,1440.0,,1440,1440,1440,[1440],60.0,60.0
238939,"Braxton Culler, Inc NC 27350",13208,"CCNC Operations, LLC dba Braxton Culler",132874441,1023-073/MINERAL,BXCM1784,Accent Furniture,2,1440.0,,1440,1440,1440,[1440],60.0,60.0
238939,"Braxton Culler, Inc NC 27350",13208,"CCNC Operations, LLC dba Braxton Culler",130053087,1023-073/TRUFFLE,BXCM1784,Accent Furniture,1,1440.0,,1440,1440,1440,[1440],60.0,60.0
238939,"Braxton Culler, Inc NC 27350",13208,"CCNC Operations, LLC dba Braxton Culler",50079182,1023-073/FROSTWHITE,BXCM1784,Accent Furniture,1,1440.0,,1440,1440,1440,[1440],60.0,60.0
238939,"Braxton Culler, Inc NC 27350",13208,"CCNC Operations, LLC dba Braxton Culler",120615454,848-021/CELERY,BXCM5157,Furniture - Bedroom,14,1174.3,,960,1560,1200,[ 960 1200 1560],48.9,50.0
238939,"Braxton Culler, Inc NC 27350",13208,"CCNC Operations, LLC dba Braxton Culler",121569846,1023-073/WILLOW,BXCM1784,Accent Furniture,2,960.0,,480,1440,480,[ 480 1440],40.0,20.0
238939,"Braxton Culler, Inc NC 27350",13208,"CCNC Operations, LLC dba Braxton Culler",50079185,1023-073/HAVANA,BXCM1784,Accent Furniture,2,960.0,,480,1440,480,[ 480 1440],40.0,20.0
238939,"Braxton Culler, Inc NC 27350",13208,"CCNC Operations, LLC dba Braxton Culler",55218740,1046-094/0863-91/NAVY,BXCM3776,Accent Furniture,2,840.0,,840,840,840,[840],35.0,35.0
238939,"Braxton Culler, Inc NC 27350",13208,"CCNC Operations, LLC dba Braxton Culler",96134067,818-094/0317-63/HONEY,BXCM4596,Accent Furniture,1,840.0,,840,840,840,[840],35.0,35.0
