supplier_id,su_name,week_start,fri_sat_vol,sun_adj1_vol,weekend_adj17_vol,pct_sun_adj1,pct_weekend_adj17,l6w_pre_pct_sun,l6w_pre_pct_weekend,post_enable_week
34809,Safavieh GA31407 B,2026-04-12,376,92,92,0.2447,0.2447,0.1845,0.1848,0
34809,Safavieh GA31407 B,2026-04-19,403,79,79,0.196,0.196,0.1845,0.1848,0
34809,Safavieh GA31407 B,2026-04-26,380,104,104,0.2737,0.2737,0.1845,0.1848,0
34809,Safavieh GA31407 B,2026-05-03,334,109,110,0.3263,0.3293,0.1845,0.1848,0
34809,Safavieh GA31407 B,2026-05-10,434,124,124,0.2857,0.2857,0.1845,0.1848,0
34809,Safavieh GA31407 B,2026-05-17,535,0,284,0.0,0.5308,0.1845,0.1848,0
34809,Safavieh GA31407 B,2026-05-24,392,122,122,0.3112,0.3112,0.1845,0.1848,0
34809,Safavieh GA31407 B,2026-05-31,346,77,77,0.2225,0.2225,0.1845,0.1848,0
34809,Safavieh GA31407 B,2026-06-07,453,97,97,0.2141,0.2141,0.1845,0.1848,0
34809,Safavieh GA31407 B,2026-06-14,405,105,105,0.2593,0.2593,0.1845,0.1848,0
34809,Safavieh GA31407 B,2026-06-21,296,67,67,0.2264,0.2264,0.1845,0.1848,0
34809,Safavieh GA31407 B,2026-06-28,519,0,1,0.0,0.0019,0.1845,0.1848,0
34809,Safavieh GA31407 B,2026-07-05,422,95,95,0.2251,0.2251,0.1845,0.1848,1
34809,Safavieh GA31407 B,2026-07-12,413,115,116,0.2785,0.2809,0.1845,0.1848,1
34809,Safavieh GA31407 B,2026-07-19,795,8,8,0.0101,0.0101,0.1845,0.1848,1
59119,Safavieh CA 92518,2026-04-12,432,85,86,0.1968,0.1991,0.1926,0.1939,0
59119,Safavieh CA 92518,2026-04-19,564,192,193,0.3404,0.3422,0.1926,0.1939,0
59119,Safavieh CA 92518,2026-04-26,474,97,97,0.2046,0.2046,0.1926,0.1939,0
59119,Safavieh CA 92518,2026-05-03,480,107,108,0.2229,0.225,0.1926,0.1939,0
59119,Safavieh CA 92518,2026-05-10,531,134,134,0.2524,0.2524,0.1926,0.1939,0
59119,Safavieh CA 92518,2026-05-17,647,177,180,0.2736,0.2782,0.1926,0.1939,0
59119,Safavieh CA 92518,2026-05-24,415,109,111,0.2627,0.2675,0.1926,0.1939,0
59119,Safavieh CA 92518,2026-05-31,413,94,95,0.2276,0.23,0.1926,0.1939,0
59119,Safavieh CA 92518,2026-06-07,504,120,121,0.2381,0.2401,0.1926,0.1939,0
