city_name,state_name,vol,current_1d_pct,current_2d_pct,current_3d_pct,current_fast_pct,cutoff_gain_1d_pp,cutoff_gain_2d_pp,cutoff_gain_3d_pp,cutoff_gain_fast_pp,weekend_gain_1d_pp,weekend_gain_2d_pp,weekend_gain_3d_pp,weekend_gain_fast_pp,cutoff_new_1d,cutoff_new_2d,cutoff_new_3d,cutoff_new_fast,weekend_new_1d,weekend_new_2d,weekend_new_3d,weekend_new_fast
WHITESTOWN,IN,13770,0.33,15.16,56.51,90.57,4.68,9.02,6.56,0.38,4.15,6.88,6.45,0.73,644,1242,904,53,572,948,888,100
Baytown,TX,12825,0.62,13.75,40.74,91.37,2.46,4.59,7.13,0.96,3.22,6.16,8.57,2.46,315,589,915,123,413,790,1099,316
Lebanon,NJ,9385,0.31,2.44,45.13,80.78,10.6,46.24,28.48,2.74,3.26,6.61,4.23,0.56,995,4340,2673,257,306,620,397,53
Riverside,CA,7967,0.78,10.47,34.58,73.2,0.8,0.85,0.83,0.09,1.82,3.43,6.4,3.68,64,68,66,7,145,273,510,293
Savannah,GA,6484,0.43,2.79,34.55,89.64,0.68,6.91,9.04,0.52,0.72,4.69,9.69,1.51,44,448,586,34,47,304,628,98
Midway,GA,5975,0.33,1.39,30.76,90.46,0.35,2.38,3.16,0.15,0.27,3.75,13.19,1.49,21,142,189,9,16,224,788,89
Patterson,CA,5272,0.83,10.91,36.49,63.98,0.63,1.35,0.66,0.11,1.12,3.17,5.29,2.31,33,71,35,6,59,167,279,122
Flemington,NJ,4447,1.06,13.18,49.34,84.17,3.58,6.03,5.8,0.72,2.05,5.13,8.01,1.66,159,268,258,32,91,228,356,74
Easton,PA,3132,0.38,5.75,41.12,81.42,12.77,38.6,30.4,3.0,3.64,7.66,4.34,0.83,400,1209,952,94,114,240,136,26
Port Wentworth,GA,1664,0.12,0.12,15.75,86.84,3.31,26.56,59.44,4.69,2.22,6.19,6.07,0.66,55,442,989,78,37,103,101,11
Carlisle,PA,1475,0.81,25.49,65.56,91.39,0.41,0.75,0.07,0.0,4.07,3.59,10.1,0.47,6,11,1,0,60,53,149,7
Whitestown,IN,867,0.35,4.04,46.48,87.54,1.5,8.65,2.42,0.23,0.46,3.46,6.23,1.27,13,75,21,2,4,30,54,11
Port Washington,NY,30,0.0,0.0,20.0,60.0,3.33,23.33,26.67,6.67,3.33,10.0,3.33,0.0,1,7,8,2,1,3,1,0
Aberdeen,MD,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0,0,0,0,0,0,1,0
