level,city_name,state_name,vol,current_1d_pct,current_2d_pct,current_3d_pct,current_fast_pct,cutoff_gain_1d_pp,cutoff_gain_2d_pp,cutoff_gain_3d_pp,cutoff_gain_fast_pp,weekend_gain_1d_pp,weekend_gain_2d_pp,weekend_gain_3d_pp,weekend_gain_fast_pp,cutoff_new_1d,cutoff_new_2d,cutoff_new_3d,cutoff_new_fast,weekend_new_1d,weekend_new_2d,weekend_new_3d,weekend_new_fast,warehouse,pct_network_vol,network_contrib_cutoff_1d_pp,network_contrib_weekend_1d_pp,network_contrib_cutoff_2d_pp,network_contrib_weekend_2d_pp,network_contrib_cutoff_3d_pp,network_contrib_weekend_3d_pp,network_contrib_cutoff_fast_pp,network_contrib_weekend_fast_pp,vol_weighted_weekend_3d_pp
warehouse,WHITESTOWN,IN,13770,0.33,15.16,56.51,90.57,4.68,9.02,6.56,0.38,3.83,6.38,7.46,0.59,644,1242,904,53,527,878,1027,81,"WHITESTOWN, IN",18.79,0.879,0.719,1.695,1.198,1.233,1.401,0.072,0.111,1.402
warehouse,Baytown,TX,12825,0.62,13.75,40.74,91.37,2.46,4.59,7.13,0.96,3.2,4.3,10.25,2.9,315,589,915,123,411,552,1314,372,"Baytown, TX",17.5,0.43,0.561,0.804,0.753,1.248,1.793,0.168,0.508,1.794
warehouse,Lebanon,NJ,9385,0.31,2.44,45.13,80.78,10.6,46.24,28.48,2.74,0.01,2.8,7.93,1.52,995,4340,2673,257,1,263,744,143,"Lebanon, NJ",12.8,1.358,0.001,5.921,0.359,3.647,1.015,0.351,0.195,1.015
warehouse,Riverside,CA,7967,0.78,10.47,34.58,73.2,0.8,0.85,0.83,0.09,1.83,3.33,6.54,3.61,64,68,66,7,146,265,521,288,"Riverside, CA",10.87,0.087,0.199,0.093,0.362,0.09,0.711,0.01,0.393,0.711
warehouse,Savannah,GA,6484,0.43,2.79,34.55,89.64,0.68,6.91,9.04,0.52,0.09,2.51,11.55,1.67,44,448,586,34,6,163,749,108,"Savannah, GA",8.85,0.06,0.008,0.611,0.222,0.8,1.022,0.046,0.147,1.022
warehouse,Midway,GA,5975,0.33,1.39,30.76,90.46,0.35,2.38,3.16,0.15,0.08,2.21,14.76,1.52,21,142,189,9,5,132,882,91,"Midway, GA",8.15,0.029,0.007,0.194,0.18,0.258,1.203,0.012,0.124,1.203
warehouse,Patterson,CA,5272,0.83,10.91,36.49,63.98,0.63,1.35,0.66,0.11,1.08,3.02,5.56,2.26,33,71,35,6,57,159,293,119,"Patterson, CA",7.19,0.045,0.078,0.097,0.217,0.048,0.4,0.008,0.162,0.4
warehouse,Flemington,NJ,4447,1.06,13.18,49.34,84.17,3.58,6.03,5.8,0.72,1.71,3.31,9.51,1.8,159,268,258,32,76,147,423,80,"Flemington, NJ",6.07,0.217,0.104,0.366,0.201,0.352,0.577,0.044,0.109,0.577
warehouse,Easton,PA,3132,0.38,5.75,41.12,81.42,12.77,38.6,30.4,3.0,0.0,3.1,9.71,1.66,400,1209,952,94,0,97,304,52,"Easton, PA",4.27,0.546,0.0,1.65,0.132,1.299,0.415,0.128,0.071,0.415
warehouse,Port Wentworth,GA,1664,0.12,0.12,15.75,86.84,3.31,26.56,59.44,4.69,0.0,0.42,7.51,2.16,55,442,989,78,0,7,125,36,"Port Wentworth, GA",2.27,0.075,0.0,0.603,0.01,1.349,0.171,0.106,0.049,0.17
warehouse,Carlisle,PA,1475,0.81,25.49,65.56,91.39,0.41,0.75,0.07,0.0,4.14,3.66,10.1,0.47,6,11,1,0,61,54,149,7,"Carlisle, PA",2.01,0.008,0.083,0.015,0.074,0.001,0.203,0.0,0.01,0.203
warehouse,Whitestown,IN,867,0.35,4.04,46.48,87.54,1.5,8.65,2.42,0.23,0.12,3.0,6.81,1.27,13,75,21,2,1,26,59,11,"Whitestown, IN",1.18,0.018,0.001,0.102,0.035,0.029,0.08,0.003,0.015,0.08
warehouse,Port Washington,NY,30,0.0,0.0,20.0,60.0,3.33,23.33,26.67,6.67,0.0,0.0,13.33,0.0,1,7,8,2,0,0,4,0,"Port Washington, NY",0.04,0.001,0.0,0.01,0.0,0.011,0.005,0.003,0.0,0.005
warehouse,Aberdeen,MD,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0,0,0,0,0,0,1,0,"Aberdeen, MD",0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0
