ops,purchase_order_number,supplier_id,su_name,city_name,state_name,order_complete_date,msbd_su,order_dow,is_fri_sat_placed,o2d_stated,cushion,is_before_cutoff,order_hour_supplier_local,adj_cushion,adj_2pm_cutoff,adj_weekend,sim_current,sim_policy,sim_full,inducted_on_time_or_early,badge_current_1d,badge_current_2d,badge_current_3d,badge_current_fast,badge_policy_1d,badge_policy_2d,badge_policy_3d,badge_policy_fast,badge_full_1d,badge_full_2d,badge_full_3d,badge_full_fast,new_from_cutoff_1d,new_from_cutoff_2d,new_from_cutoff_3d,new_from_cutoff_fast,new_from_weekend_1d,new_from_weekend_2d,new_from_weekend_3d,new_from_weekend_fast
6865446335,660712508,10114,Safavieh PA 18042a,Easton,PA,2026-06-06,2026-06-08,7,0,3,1,1,20,1,0,0,3,2,2,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0
10934614184,661501477,10114,Safavieh PA 18042a,Easton,PA,2026-06-10,2026-06-11,4,0,2,1,0,22,1,0,0,2,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
10939295764,662838995,10114,Safavieh PA 18042a,Easton,PA,2026-06-17,2026-06-18,4,0,3,1,0,12,1,1,0,3,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
10946731664,665127142,10114,Safavieh PA 18042a,Easton,PA,2026-06-29,2026-06-30,2,0,3,1,0,17,1,0,0,3,2,2,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0
10950756471,661152083,10114,Safavieh PA 18042a,Easton,PA,2026-06-08,2026-06-09,2,0,4,1,0,22,1,0,0,4,3,3,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
11334997076,659515544,10114,Safavieh PA 18042a,Easton,PA,2026-05-31,2026-06-01,1,0,8,1,,,1,0,0,8,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11335090666,662241385,10114,Safavieh PA 18042a,Easton,PA,2026-06-14,2026-06-15,1,0,5,1,1,17,1,0,0,5,4,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
11352733606,659335726,10114,Safavieh PA 18042a,Easton,PA,2026-05-30,2026-06-01,7,0,9,1,,,1,0,0,9,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11353412531,659413317,10114,Safavieh PA 18042a,Easton,PA,2026-05-31,2026-06-01,1,0,3,1,,,1,0,0,3,2,2,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0
11355143795,663406641,10114,Safavieh PA 18042a,Easton,PA,2026-06-20,2026-06-22,7,0,5,1,1,19,1,0,0,5,4,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
11362698206,659613265,10114,Safavieh PA 18042a,Easton,PA,2026-05-31,2026-06-02,1,0,5,1,,,1,0,0,5,4,4,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
11379085796,661152322,10114,Safavieh PA 18042a,Easton,PA,2026-06-08,2026-06-09,2,0,7,1,0,22,1,0,0,7,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11384889166,660915230,10114,Safavieh PA 18042a,Easton,PA,2026-06-07,2026-06-08,1,0,4,1,1,20,1,0,0,4,3,3,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
11387857556,659158714,10114,Safavieh PA 18042a,Easton,PA,2026-05-29,2026-06-01,6,1,10,1,,,1,0,1,10,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11388550406,659306779,10114,Safavieh PA 18042a,Easton,PA,2026-05-30,2026-06-01,7,0,3,1,,,1,0,0,3,2,2,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0
11388883766,659325937,10114,Safavieh PA 18042a,Easton,PA,2026-05-30,2026-06-01,7,0,3,1,,,1,0,0,3,2,2,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0
11389202226,659351405,10114,Safavieh PA 18042a,Easton,PA,2026-05-30,2026-06-01,7,0,6,1,,,1,0,0,6,5,5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
11389291976,659364258,10114,Safavieh PA 18042a,Easton,PA,2026-05-30,2026-06-01,7,0,6,1,,,1,0,0,6,5,5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
11390467156,659607101,10114,Safavieh PA 18042a,Easton,PA,2026-05-31,2026-06-01,1,0,9,1,,,1,0,0,9,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11390755856,659590753,10114,Safavieh PA 18042a,Easton,PA,2026-05-31,2026-06-01,1,0,4,1,,,1,0,0,4,3,3,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
11390998036,659615152,10114,Safavieh PA 18042a,Easton,PA,2026-05-31,2026-06-02,1,0,8,1,,,1,0,0,8,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11392434796,660591480,10114,Safavieh PA 18042a,Easton,PA,2026-06-06,2026-06-08,7,0,17,1,1,10,1,0,0,17,16,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11393865926,659899863,10114,Safavieh PA 18042a,Easton,PA,2026-06-02,2026-06-03,3,0,3,1,0,12,1,1,0,3,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
11394204636,659921346,10114,Safavieh PA 18042a,Easton,PA,2026-06-02,2026-06-03,3,0,9,1,0,14,1,1,0,9,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11394578186,660079385,10114,Safavieh PA 18042a,Easton,PA,2026-06-03,2026-06-04,4,0,3,1,0,12,1,1,0,3,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
11394708046,659990518,10114,Safavieh PA 18042a,Easton,PA,2026-06-02,2026-06-03,3,0,16,1,0,21,1,0,0,16,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11395219196,660067416,10114,Safavieh PA 18042a,Easton,PA,2026-06-03,2026-06-04,4,0,6,1,0,11,1,1,0,6,4,4,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
11395505386,660121556,10114,Safavieh PA 18042a,Easton,PA,2026-06-03,2026-06-04,4,0,3,1,0,15,1,0,0,3,2,2,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0
11395718336,660155586,10114,Safavieh PA 18042a,Easton,PA,2026-06-03,2026-06-04,4,0,20,1,0,18,1,0,0,20,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11397696566,660472781,10114,Safavieh PA 18042a,Easton,PA,2026-06-05,2026-06-08,6,1,10,1,0,14,1,0,1,10,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11397776126,660482234,10114,Safavieh PA 18042a,Easton,PA,2026-06-05,2026-06-08,6,1,10,1,0,15,1,0,1,10,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11398041656,660518022,10114,Safavieh PA 18042a,Easton,PA,2026-06-05,2026-06-08,6,1,10,1,0,19,1,0,1,10,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11398047346,660518264,10114,Safavieh PA 18042a,Easton,PA,2026-06-05,2026-06-08,6,1,10,1,0,19,1,0,1,10,9,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11398547126,660579946,10114,Safavieh PA 18042a,Easton,PA,2026-06-06,2026-06-08,7,0,4,1,1,8,1,0,0,4,3,3,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
11398968876,660725139,10114,Safavieh PA 18042a,Easton,PA,2026-06-06,2026-06-08,7,0,9,1,1,22,1,0,0,9,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11399004086,660664025,10114,Safavieh PA 18042a,Easton,PA,2026-06-06,2026-06-08,7,0,6,1,1,16,1,0,0,6,5,5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
11399065126,660679316,10114,Safavieh PA 18042a,Easton,PA,2026-06-06,2026-06-08,7,0,3,1,1,17,1,0,0,3,2,2,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0
11399071216,660679316,10114,Safavieh PA 18042a,Easton,PA,2026-06-06,2026-06-08,7,0,3,1,1,17,1,0,0,3,2,2,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0
11399312856,660705380,10114,Safavieh PA 18042a,Easton,PA,2026-06-06,2026-06-08,7,0,9,1,1,20,1,0,0,9,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11399373346,660761980,10114,Safavieh PA 18042a,Easton,PA,2026-06-07,2026-06-08,1,0,16,1,1,7,1,0,0,16,15,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11399588486,660739666,10114,Safavieh PA 18042a,Easton,PA,2026-06-06,2026-06-08,7,0,18,1,1,0,1,0,0,18,17,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11400005236,660796795,10114,Safavieh PA 18042a,Easton,PA,2026-06-07,2026-06-08,1,0,9,1,1,11,1,0,0,9,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11400673726,660906888,10114,Safavieh PA 18042a,Easton,PA,2026-06-07,2026-06-08,1,0,3,1,1,19,1,0,0,3,2,2,0,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0
11400758186,660916524,10114,Safavieh PA 18042a,Easton,PA,2026-06-07,2026-06-08,1,0,4,1,1,20,1,0,0,4,3,3,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
11400997826,661349806,10114,Safavieh PA 18042a,Easton,PA,2026-06-09,2026-06-11,3,0,9,1,0,0,1,1,0,9,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11401748016,661096862,10114,Safavieh PA 18042a,Easton,PA,2026-06-08,2026-06-09,2,0,18,1,0,17,1,0,0,18,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11402552166,661236713,10114,Safavieh PA 18042a,Easton,PA,2026-06-09,2026-06-10,3,0,3,1,0,12,1,1,0,3,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
11402552216,661236713,10114,Safavieh PA 18042a,Easton,PA,2026-06-09,2026-06-10,3,0,3,1,0,12,1,1,0,3,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
11403133396,661929816,10114,Safavieh PA 18042a,Easton,PA,2026-06-13,2026-06-15,7,0,3,1,1,7,1,0,0,3,2,2,1,0,0,1,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0
11403467956,661350993,10114,Safavieh PA 18042a,Easton,PA,2026-06-09,2026-06-11,3,0,9,1,0,1,1,1,0,9,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11404211946,661475798,10114,Safavieh PA 18042a,Easton,PA,2026-06-10,2026-06-11,4,0,17,1,0,19,1,0,0,17,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11405149026,661668135,10114,Safavieh PA 18042a,Easton,PA,2026-06-11,2026-06-12,5,1,4,1,0,19,1,0,1,4,3,2,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0
11405173366,661635998,10114,Safavieh PA 18042a,Easton,PA,2026-06-11,2026-06-12,5,1,7,1,0,16,1,0,1,7,6,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
11406338716,661821384,10114,Safavieh PA 18042a,Easton,PA,2026-06-12,2026-06-15,6,1,5,1,0,14,1,0,1,5,4,3,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
11406496606,661846566,10114,Safavieh PA 18042a,Easton,PA,2026-06-12,2026-06-15,6,1,5,1,0,17,1,0,1,5,4,3,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0
11407285916,662121235,10114,Safavieh PA 18042a,Easton,PA,2026-06-14,2026-06-15,1,0,18,1,1,7,1,0,0,18,17,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11407917616,662055672,10114,Safavieh PA 18042a,Easton,PA,2026-06-13,2026-06-15,7,0,19,1,1,19,1,0,0,19,18,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11408015386,662068643,10114,Safavieh PA 18042a,Easton,PA,2026-06-13,2026-06-15,7,0,6,1,1,20,1,0,0,6,5,5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
11408176186,662090754,10114,Safavieh PA 18042a,Easton,PA,2026-06-13,2026-06-15,7,0,6,1,1,22,1,0,0,6,5,5,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
11408281656,662403969,10114,Safavieh PA 18042a,Easton,PA,2026-06-13,2026-06-16,7,0,20,1,1,0,1,0,0,20,19,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11408548686,662835785,10114,Safavieh PA 18042a,Easton,PA,2026-06-17,2026-06-18,4,0,4,1,0,12,1,1,0,4,2,2,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0
11408592746,662553856,10114,Safavieh PA 18042a,Easton,PA,2026-06-15,2026-06-16,2,0,18,1,0,21,1,0,0,18,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11408814406,662186078,10114,Safavieh PA 18042a,Easton,PA,2026-06-14,2026-06-15,1,0,4,1,1,13,1,0,0,4,3,3,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0
