level,city_name,state_name,vol,fri_sat_vol,current_1d_pct,current_2d_pct,current_3d_pct,current_fast_pct,sim_1d_pct,sim_2d_pct,sim_3d_pct,sim_fast_pct,lift_1d_pp,lift_2d_pp,lift_3d_pp,lift_fast_pp,new_1d,new_2d,new_3d,new_fast
account,Safavieh (parent),,73294,17881,0.52,9.46,42.46,84.67,2.29,13.2,51.45,86.56,1.76,3.74,9.0,1.89,1291,2743,6595,1388
warehouse,WHITESTOWN,IN,13770,3587,0.33,15.16,56.51,90.57,4.16,21.53,63.97,91.16,3.83,6.38,7.46,0.59,527,878,1027,81
warehouse,Baytown,TX,12825,3322,0.62,13.75,40.74,91.37,3.82,18.06,50.99,94.27,3.2,4.3,10.25,2.9,411,552,1314,372
warehouse,Lebanon,NJ,9385,1967,0.31,2.44,45.13,80.78,0.32,5.24,53.05,82.3,0.01,2.8,7.93,1.52,1,263,744,143
warehouse,Riverside,CA,7967,1937,0.78,10.47,34.58,73.2,2.61,13.79,41.12,76.82,1.83,3.33,6.54,3.61,146,265,521,288
warehouse,Savannah,GA,6484,1581,0.43,2.79,34.55,89.64,0.52,5.31,46.1,91.3,0.09,2.51,11.55,1.67,6,163,749,108
warehouse,Midway,GA,5975,1623,0.33,1.39,30.76,90.46,0.42,3.6,45.52,91.98,0.08,2.21,14.76,1.52,5,132,882,91
warehouse,Patterson,CA,5272,1219,0.83,10.91,36.49,63.98,1.92,13.92,42.05,66.24,1.08,3.02,5.56,2.26,57,159,293,119
warehouse,Flemington,NJ,4447,1107,1.06,13.18,49.34,84.17,2.77,16.48,58.85,85.97,1.71,3.31,9.51,1.8,76,147,423,80
warehouse,Easton,PA,3132,700,0.38,5.75,41.12,81.42,0.38,8.84,50.83,83.08,0.0,3.1,9.71,1.66,0,97,304,52
warehouse,Port Wentworth,GA,1664,320,0.12,0.12,15.75,86.84,0.12,0.54,23.26,89.0,0.0,0.42,7.51,2.16,0,7,125,36
warehouse,Carlisle,PA,1475,332,0.81,25.49,65.56,91.39,4.95,29.15,75.66,91.86,4.14,3.66,10.1,0.47,61,54,149,7
warehouse,Whitestown,IN,867,179,0.35,4.04,46.48,87.54,0.46,7.04,53.29,88.81,0.12,3.0,6.81,1.27,1,26,59,11
