supplier_id,su_name,city_name,state_name,fri_sat_vol,fri_sat_induct_sunday,fri_sat_induct_saturday,fri_sat_induct_weekend,pct_fri_sat_weekend_ship,pct_fri_sat_induct_sunday
93132,Safavieh IN46075,WHITESTOWN,IN,3696,1202,2,1204,0.3258,0.3252
223799,Safavieh Texas,Baytown,TX,3459,1008,126,1134,0.3278,0.2914
19770,Safavieh NJ 08809,Lebanon,NJ,2024,563,158,721,0.3562,0.2782
59119,Safavieh CA 92518,Riverside,CA,1977,549,3,552,0.2792,0.2777
125267,Safavieh GA 31320,Midway,GA,1668,363,127,490,0.2938,0.2176
34809,Safavieh GA31407 B,Savannah,GA,1617,459,0,459,0.2839,0.2839
287737,Safavieh CA 95363,Patterson,CA,1267,253,167,420,0.3315,0.1997
26803,Safavieh NJ 08822,Flemington,NJ,1149,251,128,379,0.3299,0.2185
10114,Safavieh PA 18042a,Easton,PA,666,98,56,154,0.2312,0.1471
358410,Safavieh PA 17015,Carlisle,PA,345,0,0,0,0.0,0.0
51684,Safavieh GA31407 C,Port Wentworth,GA,343,65,0,65,0.1895,0.1895
412459,Safavieh IN 46075,Whitestown,IN,192,42,0,42,0.2188,0.2188
14697,Safavieh PA 18042b,Easton,PA,53,0,5,5,0.0943,0.0
