supplier_id,su_name,june_msbd_vol,fri_sat_vol,pct_same_day_ship_before_2pm,orders_before_2pm,current_badge_1d_pct,current_badge_2d_pct,current_badge_3d_pct,current_badge_fast_pct,fri_sat_minus1_badge_1d_pct,fri_sat_minus1_badge_2d_pct,fri_sat_minus1_badge_3d_pct,fri_sat_minus1_badge_fast_pct,lift_1d_pp,lift_2d_pp,lift_3d_pp,lift_fast_pp,new_3d_orders,sim_badge_1d_pct,sim_badge_2d_pct,sim_badge_3d_pct,sim_badge_fast_pct
93132,Safavieh IN46075,13770,3587,73.35,4277,0.33,15.16,56.51,90.57,4.16,21.53,63.97,91.16,3.83,6.38,7.46,0.59,1027,9.16,31.06,69.52,91.68
223799,Safavieh Texas,12825,3322,65.59,4412,0.62,13.75,40.74,91.37,3.82,18.06,50.99,94.27,3.2,4.3,10.25,2.9,1314,6.29,24.51,56.44,94.79
19770,Safavieh NJ 08809,9385,1967,50.14,2519,0.31,2.44,45.13,80.78,0.32,5.24,53.05,82.3,0.01,2.8,7.93,1.52,744,14.17,55.29,77.84,84.08
59119,Safavieh CA 92518,7967,1937,83.81,2854,0.78,10.47,34.58,73.2,2.61,13.79,41.12,76.82,1.83,3.33,6.54,3.61,521,3.4,14.75,41.81,76.97
34809,Safavieh GA31407 B,6484,1581,84.09,2017,0.43,2.79,34.55,89.64,0.52,5.31,46.1,91.3,0.09,2.51,11.55,1.67,749,1.84,14.39,53.27,91.67
125267,Safavieh GA 31320,5975,1623,67.4,1816,0.33,1.39,30.76,90.46,0.42,3.6,45.52,91.98,0.08,2.21,14.76,1.52,882,0.95,7.51,47.11,92.1
287737,Safavieh CA 95363,5272,1219,73.02,1953,0.83,10.91,36.49,63.98,1.92,13.92,42.05,66.24,1.08,3.02,5.56,2.26,293,2.58,15.42,42.45,66.41
26803,Safavieh NJ 08822,4447,1107,49.91,1595,1.06,13.18,49.34,84.17,2.77,16.48,58.85,85.97,1.71,3.31,9.51,1.8,423,6.68,24.33,63.14,86.55
10114,Safavieh PA 18042a,2857,650,42.34,692,0.39,6.16,43.47,82.22,0.39,9.56,53.31,83.93,0.0,3.4,9.84,1.72,281,18.27,55.48,79.35,86.14
51684,Safavieh GA31407 C,1664,320,50.79,382,0.12,0.12,15.75,86.84,0.12,0.54,23.26,89.0,0.0,0.42,7.51,2.16,125,5.65,32.87,81.25,92.19
358410,Safavieh PA 17015,1475,332,94.1,458,0.81,25.49,65.56,91.39,4.95,29.15,75.66,91.86,4.14,3.66,10.1,0.47,149,5.29,29.83,75.73,91.86
412459,Safavieh IN 46075,867,179,45.74,188,0.35,4.04,46.48,87.54,0.46,7.04,53.29,88.81,0.12,3.0,6.81,1.27,59,2.31,16.15,55.13,89.04
14697,Safavieh PA 18042b,275,50,54.29,70,0.36,1.45,16.73,73.09,0.36,1.45,25.09,74.18,0.0,0.0,8.36,1.09,23,1.45,16.0,39.64,76.0
10115,Safavieh NY 11050 a,30,6,25.0,4,0.0,0.0,20.0,60.0,0.0,0.0,33.33,60.0,0.0,0.0,13.33,0.0,4,6.67,33.33,50.0,66.67
127703,CastleGate Safavieh MD WH35,1,1,,,0.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,1,0.0,0.0,100.0,100.0
