Mas_SuID,supplier_id,su_name,city_name,state_name,LT,Cutoff,june_msbd_vol,june_IFR,june_fast_badge,june_o2i_0_adj,june_o2label_0_adj,june_label2i_0_adj,pct_same_day_induct_before_2pm,orders_before_2pm
93132,93132,Safavieh IN46075,WHITESTOWN,IN,24,12:00:00,13757,0.9272,0.9056,0.2384,0.2661,0.8979,0.7335,4277
223799,223799,Safavieh Texas,Baytown,TX,24,14:00:00,12824,0.8923,0.9134,0.2421,0.3059,0.8945,0.6559,4412
19770,19770,Safavieh NJ 08809,Lebanon,NJ,24,08:00:00,9377,0.8214,0.8079,0.1568,0.2599,0.6969,0.5014,2519
59119,59119,Safavieh CA 92518,Riverside,CA,24,14:00:00,7967,0.9853,0.7319,0.3335,0.3349,0.9961,0.8381,2854
34809,34809,Safavieh GA31407 B,Savannah,GA,24,13:00:00,6483,0.9455,0.8962,0.2781,0.2923,0.9517,0.8409,2017
125267,125267,Safavieh GA 31320,Midway,GA,24,11:00:00,5975,0.9451,0.9044,0.2137,0.2219,0.9359,0.674,1816
287737,287737,Safavieh CA 95363,Patterson,CA,24,14:00:00,5271,0.927,0.6395,0.3054,0.3464,0.8809,0.7302,1953
26803,26803,Safavieh NJ 08822,Flemington,NJ,24,14:00:00,4446,0.7587,0.8412,0.1883,0.3246,0.715,0.4991,1595
10114,10114,Safavieh PA 18042a,Easton,PA,24,00:00:00,2855,0.8333,0.8221,0.1131,0.1478,0.6266,0.4234,692
51684,51684,Safavieh GA31407 C,Port Wentworth,GA,24,00:00:00,1665,0.9045,0.8679,0.1195,0.206,0.7171,0.5079,382
358410,358410,Safavieh PA 17015,Carlisle,PA,24,14:00:00,1475,0.8915,0.9139,0.3098,0.318,0.7797,0.941,458
412459,412459,Safavieh IN 46075, Whitestown ,IN,24,10:00:00,866,0.9908,0.8753,0.0993,0.1051,0.8383,0.4574,188
14697,14697,Safavieh PA 18042b,Easton,PA,24,00:00:00,275,0.9455,0.7309,0.1382,0.1455,0.9636,0.5429,70
10115,10115,Safavieh NY 11050 a,Port Washington,NY,24,00:00:00,30,0.9667,0.6,0.0,0.0,1.0,0.25,4
127703,127703,CastleGate Safavieh MD WH35,Aberdeen,MD,PL,12:00:00,1,0.0,1.0,0.0,1.0,0.0,,
