city_name,state_name,vol,current_1d,sim_1d,current_2d,sim_2d,current_3d,sim_3d,current_5d,sim_5d,ifr
WHITESTOWN,IN,13770,0.0033,0.0916,0.1516,0.3106,0.5651,0.6952,0.9057,0.9168,0.9272
Baytown,TX,12825,0.0062,0.0629,0.1375,0.2451,0.4074,0.5644,0.9137,0.9479,0.8924
Lebanon,NJ,9385,0.0031,0.1417,0.0244,0.5529,0.4513,0.7784,0.8078,0.8408,0.8215
Riverside,CA,7967,0.0078,0.034,0.1047,0.1475,0.3458,0.4181,0.732,0.7697,0.9853
Savannah,GA,6484,0.0043,0.0184,0.0279,0.1439,0.3455,0.5327,0.8964,0.9167,0.9454
Midway,GA,5975,0.0033,0.0095,0.0139,0.0751,0.3076,0.4711,0.9046,0.921,0.9451
Patterson,CA,5272,0.0083,0.0258,0.1091,0.1542,0.3649,0.4245,0.6398,0.6641,0.927
Flemington,NJ,4447,0.0106,0.0668,0.1318,0.2433,0.4934,0.6314,0.8417,0.8655,0.7585
Easton,PA,3132,0.0038,0.1679,0.0575,0.5201,0.4112,0.7586,0.8142,0.8525,0.8432
Port Wentworth,GA,1664,0.0012,0.0565,0.0012,0.3287,0.1575,0.8125,0.8684,0.9219,0.9044
Carlisle,PA,1475,0.0081,0.0529,0.2549,0.2983,0.6556,0.7573,0.9139,0.9186,0.8915
Whitestown,IN,867,0.0035,0.0231,0.0404,0.1615,0.4648,0.5513,0.8754,0.8904,0.9908
