city_name,state_name,cutoff,l6w_volume,fri_sat_vol,pct_fri_sat_weekend_ship,ifr_pct,current_fast_pct,policy_fast_pct,full_sim_fast_pct,fri_sat_not_weekend
WHITESTOWN,IN,12:00:00,19342,5314,42.8,79.0,90.3,91.1,91.7,2835
Baytown,TX,14:00:00,19270,5361,45.2,72.5,91.9,92.5,94.0,2839
Lebanon,NJ,08:00:00,14737,3519,45.9,71.1,80.0,83.3,83.6,1824
Riverside,CA,14:00:00,11935,3318,43.4,86.0,71.8,71.8,74.0,1847
Savannah,GA,13:00:00,10065,2779,48.4,83.1,89.7,90.5,91.1,1418
Patterson,CA,14:00:00,8431,2298,43.5,86.8,61.6,61.7,63.3,1262
Midway,GA,11:00:00,8234,2342,54.8,84.1,89.9,90.6,91.5,976
Flemington,NJ,14:00:00,6809,1865,58.1,66.8,83.9,84.3,85.2,763
Easton,PA,00:00:00,4250,1023,46.7,74.7,78.4,81.9,82.1,495
Port Wentworth,GA,00:00:00,2721,661,38.4,83.5,87.0,91.3,92.3,385
Carlisle,PA,14:00:00,1824,473,39.3,89.7,91.8,91.8,92.3,287
 Whitestown ,IN,10:00:00,1332,320,40.6,93.9,87.3,89.0,89.3,189
