supplier_id,su_name,parent_su_name,sto,srm,sp_lt,enable_week,wave,pre6w_weekend_msbd_rate,pre6w_fri_sat_vol
14129,nuLOOM NJ 08512,nuLOOM,Rugs,Brianna Barrett,24,2026-06-21,wave1_jun_jul,0.0003,4446
93132,Safavieh IN46075,Safavieh,Rugs,Alex Resnick,24,2026-07-05,wave1_jun_jul,0.0005,5295
223799,Safavieh Texas,Safavieh,Rugs,Alex Resnick,24,2026-07-05,wave1_jun_jul,0.0004,5076
325564,SLM GA3,YISHANG TRADE INC,APS Outdoor,Melody Lu,24,2026-07-05,wave1_jun_jul,0.0,3383
59119,Safavieh CA 92518,Safavieh,Rugs,Alex Resnick,24,2026-07-05,wave1_jun_jul,0.0006,3222
85184,Aosom LLC GA30294,Aosom LLC,APS Outdoor,Amber Xiang,24,2026-07-05,wave1_jun_jul,0.0007,2756
34809,Safavieh GA31407 B,Safavieh,Rugs,Alex Resnick,24,2026-07-05,wave1_jun_jul,0.0,2455
70707,Aosom LLC NJ 08022,Aosom LLC,APS Outdoor,Amber Xiang,24,2026-07-05,wave1_jun_jul,0.0,2309
288109,WINADO INC NJ 08505(3),WINADO INC,APS Outdoor,Melody Lu,24,2026-07-05,wave1_jun_jul,0.0,1926
28971,NFusion CA 91761 Warehouse CA11,"GigaCloud Trading, Inc.",Outdoor Furniture,Amy Connell,24,2026-07-05,wave1_jun_jul,0.0011,1902
27593,NFusion CA El Monte,"GigaCloud Trading, Inc.",Outdoor Furniture,Amy Connell,24,2026-07-05,wave1_jun_jul,0.0007,1388
59466,nuLOOM CA 95206,nuLOOM,Rugs,Brianna Barrett,24,2026-07-12,wave1_jun_jul,0.0,1684
30326,VIG Furniture CA 90058 Slauson,Lima Trading LLC,Casegoods,Joseph Hannigan,24,2026-07-19,other,0.0,90
302342,Westin Outdoor GA 31320,Westin Outdoor,Outdoor Furniture,Isha Singh,24,2026-08-02,wave2_aug,0.0007,3380
119437,Aosom LLC CA 92374,Aosom LLC,APS Outdoor,Amber Xiang,24,2026-08-02,wave2_aug,0.0008,2273
