wave,supplier_id,su_name,parent_su_name,sto,srm,enable_week,order_bucket,period,n_suppliers,vol,weekend_msbd,weekend_ship,sat_ship,sun_ship,ifr,late_orders,o2s_stated,o2s_stated_1,o2d_stated,o2d_actual,o2s_actual,fast_badge,actual_fast_badge,del_rel,delivered_vol
other,30326,VIG Furniture CA 90058 Slauson,Lima Trading LLC,Casegoods,Joseph Hannigan,2026-07-19,fri_sat,post,1.0,62.0,0.03225806451612903,0.0,0.0,0.0,1.0,0.0,3.1129032258064515,0.0,5.30188679245283,5.483870967741935,2.2096774193548385,0.3870967741935484,0.45161290322580644,0.7868852459016393,61.0
other,30326,VIG Furniture CA 90058 Slauson,Lima Trading LLC,Casegoods,Joseph Hannigan,2026-07-19,fri_sat,pre,1.0,130.0,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.0,0.9692307692307692,4.0,2.9846153846153847,0.0,6.851239669421488,6.107692307692307,2.4692307692307693,0.3,0.33076923076923076,0.8359375,128.0
other,30326,VIG Furniture CA 90058 Slauson,Lima Trading LLC,Casegoods,Joseph Hannigan,2026-07-19,sunday,post,1.0,70.0,0.0,0.0,0.0,0.0,1.0,0.0,1.3428571428571427,0.9857142857142858,4.656716417910448,4.014285714285714,1.0,0.8428571428571429,0.8285714285714286,0.8142857142857143,70.0
other,30326,VIG Furniture CA 90058 Slauson,Lima Trading LLC,Casegoods,Joseph Hannigan,2026-07-19,sunday,pre,1.0,116.0,0.0,0.0,0.0,0.0,0.9913793103448276,0.9999999999999956,1.6293103448275863,0.9741379310344828,4.935185185185185,5.129310344827586,1.1551724137931034,0.8448275862068966,0.7241379310344828,0.7931034482758621,116.0
other,30326,VIG Furniture CA 90058 Slauson,Lima Trading LLC,Casegoods,Joseph Hannigan,2026-07-19,weekday,post,1.0,169.0,0.0,0.0,0.0,0.0,0.9526627218934911,8.000000000000004,1.5029585798816567,0.8579881656804734,5.538461538461538,5.27810650887574,0.9822485207100592,0.40828402366863903,0.4556213017751479,0.8154761904761905,168.0
other,30326,VIG Furniture CA 90058 Slauson,Lima Trading LLC,Casegoods,Joseph Hannigan,2026-07-19,weekday,pre,1.0,293.0,0.0,0.0,0.0,0.0,0.9488054607508533,14.999999999999995,1.5051194539249146,0.7610921501706485,6.057251908396947,5.771331058020478,1.1911262798634812,0.36177474402730375,0.447098976109215,0.7731958762886598,291.0
wave1_jun_jul,14129,nuLOOM NJ 08512,nuLOOM,Rugs,Brianna Barrett,2026-06-21,fri_sat,post,1.0,5056.0,0.7935126582278481,0.714003164556962,0.022556390977443608,0.6917293233082706,0.9078322784810127,465.99999999999994,1.3742088607594938,0.4606408227848101,4.809475806451613,4.114896988906498,1.206371191135734,0.7931170886075949,0.8520569620253164,0.8565182829888712,5032.0
wave1_jun_jul,14129,nuLOOM NJ 08512,nuLOOM,Rugs,Brianna Barrett,2026-06-21,fri_sat,pre,1.0,4446.0,0.0002249212775528565,0.7233468286099866,0.0031510240828269186,0.720684222372271,0.9871794871794872,56.9999999999998,2.290148448043185,0.0,5.136842105263158,4.0792614276063945,1.131892865181184,0.7678812415654521,0.8760683760683761,0.9218468468468468,4440.0
wave1_jun_jul,14129,nuLOOM NJ 08512,nuLOOM,Rugs,Brianna Barrett,2026-06-21,sunday,post,1.0,3575.0,0.16867132867132867,0.21930069930069931,0.0,0.21936205931729155,0.857062937062937,511.00000000000017,0.8791608391608392,0.8282517482517483,4.352891156462585,3.357263039820527,0.8648573027420258,0.8836363636363637,0.953006993006993,0.9529974669293555,3553.0
wave1_jun_jul,14129,nuLOOM NJ 08512,nuLOOM,Rugs,Brianna Barrett,2026-06-21,sunday,pre,1.0,3160.0,0.00031645569620253165,0.1591772151898734,0.0,0.15927802406586447,0.9886075949367089,35.999999999999844,1.2768987341772151,0.7585443037974684,4.350479233226837,3.310082435003171,0.8863204559848005,0.9177215189873418,0.9696202531645569,0.9628571428571429,3150.0
wave1_jun_jul,14129,nuLOOM NJ 08512,nuLOOM,Rugs,Brianna Barrett,2026-06-21,weekday,post,1.0,9866.0,0.027772146766673424,0.003243462396107845,0.00030416708912095713,0.0029402818615025853,0.9326981552807622,664.0000000000005,0.852118386377458,0.7062639367524832,4.098212429848265,3.252739448051948,0.6461522863226199,0.8683356983579972,0.91293330630448,0.8801223241590214,9810.0
wave1_jun_jul,14129,nuLOOM NJ 08512,nuLOOM,Rugs,Brianna Barrett,2026-06-21,weekday,pre,1.0,9372.0,0.00010670081092616304,0.002667520273154076,0.0,0.0026692291266282296,0.9512377294067434,457.0000000000004,0.8293854033290653,0.7469056764831413,4.134852283876595,3.183333333333333,0.6758488148622678,0.879534784464362,0.9233888177550149,0.9223778466802096,9353.0
wave1_jun_jul,27593,NFusion CA El Monte,"GigaCloud Trading, Inc.",Outdoor Furniture,Amy Connell,2026-07-05,fri_sat,post,1.0,1127.0,0.9165927240461402,0.7923691215616682,0.0,0.7923691215616682,0.7391304347826086,294.00000000000006,1.5244010647737356,0.5527950310559007,5.999095022624434,5.499556344276841,1.6645962732919255,0.5004436557231589,0.5173025732031943,0.7976929902395741,1127.0
wave1_jun_jul,27593,NFusion CA El Monte,"GigaCloud Trading, Inc.",Outdoor Furniture,Amy Connell,2026-07-05,fri_sat,pre,1.0,1388.0,0.0007204610951008645,0.8811239193083573,0.0,0.8817591925018025,0.9920749279538905,10.999999999999961,2.672190201729107,0.0,6.399851079672375,5.798846431146359,1.6113914924297044,0.38976945244956773,0.5194524495677233,0.9090252707581228,1385.0
wave1_jun_jul,27593,NFusion CA El Monte,"GigaCloud Trading, Inc.",Outdoor Furniture,Amy Connell,2026-07-05,sunday,post,1.0,843.0,0.01542111506524318,0.0166073546856465,0.0,0.0166073546856465,0.9383155397390273,52.00000000000002,1.029655990510083,0.9750889679715302,4.734299516908212,4.387365911799762,1.0616844602609727,0.8932384341637011,0.8529062870699882,0.8794749403341289,838.0
wave1_jun_jul,27593,NFusion CA El Monte,"GigaCloud Trading, Inc.",Outdoor Furniture,Amy Connell,2026-07-05,sunday,pre,1.0,1024.0,0.0,0.0078125,0.0,0.0078125,0.9765625,24.0,1.3203125,0.6943359375,5.445534838076545,4.9931573802541545,1.181640625,0.775390625,0.76171875,0.9050880626223092,1022.0
wave1_jun_jul,27593,NFusion CA El Monte,"GigaCloud Trading, Inc.",Outdoor Furniture,Amy Connell,2026-07-05,weekday,post,1.0,2162.0,0.002312673450508788,0.00786308973172988,0.006478482184173994,0.0013882461823229986,0.969472710453284,66.00000000000003,1.1077705827937094,0.9639222941720629,5.324582338902148,4.952734012974977,1.05090236001851,0.5851063829787234,0.5999074930619797,0.8149697814969782,2151.0
wave1_jun_jul,27593,NFusion CA El Monte,"GigaCloud Trading, Inc.",Outdoor Furniture,Amy Connell,2026-07-05,weekday,pre,1.0,3003.0,0.000999000999000999,0.004995004995004995,0.0016661112962345886,0.003332222592469177,0.9100899100899101,269.9999999999999,1.254079254079254,0.9357309357309357,5.869789872545643,5.350883038987004,1.119,0.5118215118215118,0.5644355644355644,0.8731218697829716,2995.0
wave1_jun_jul,28971,NFusion CA 91761 Warehouse CA11,"GigaCloud Trading, Inc.",Outdoor Furniture,Amy Connell,2026-07-05,fri_sat,post,1.0,1690.0,0.906508875739645,0.9088757396449704,0.0,0.9094138543516874,0.8763313609467456,208.99999999999997,1.5621301775147929,0.5254437869822485,6.09399636143117,5.748367952522255,1.5725281231497927,0.4396449704142012,0.4526627218934911,0.8096371207614516,1681.0
wave1_jun_jul,28971,NFusion CA 91761 Warehouse CA11,"GigaCloud Trading, Inc.",Outdoor Furniture,Amy Connell,2026-07-05,fri_sat,pre,1.0,1902.0,0.0010515247108307045,0.7644584647739222,0.0,0.7644584647739222,0.9752891692954785,46.99999999999992,2.5946372239747633,0.0,6.4514038876889845,6.208311415044713,1.7313354363827549,0.33543638275499477,0.4127234490010515,0.8509741969457609,1899.0
wave1_jun_jul,28971,NFusion CA 91761 Warehouse CA11,"GigaCloud Trading, Inc.",Outdoor Furniture,Amy Connell,2026-07-05,sunday,post,1.0,1323.0,0.012849584278155708,0.015873015873015872,0.0,0.015873015873015872,0.6303854875283447,489.0,1.0627362055933485,0.9743008314436886,5.670750382848392,5.220287660862983,1.398337112622827,0.7112622826908541,0.6848072562358276,0.7435508345978755,1318.0
wave1_jun_jul,28971,NFusion CA 91761 Warehouse CA11,"GigaCloud Trading, Inc.",Outdoor Furniture,Amy Connell,2026-07-05,sunday,pre,1.0,1406.0,0.0007112375533428165,0.013513513513513514,0.0,0.013523131672597865,0.837126600284495,228.99999999999997,1.4491103202846976,0.7005689900426743,6.0422432629278955,5.658831908831909,1.1779359430604983,0.6685633001422475,0.631578947368421,0.8092857142857143,1400.0
wave1_jun_jul,28971,NFusion CA 91761 Warehouse CA11,"GigaCloud Trading, Inc.",Outdoor Furniture,Amy Connell,2026-07-05,weekday,post,1.0,3336.0,0.0035971223021582736,0.009892086330935251,0.0065986802639472104,0.0032993401319736052,0.8914868105515588,362.0,1.0581534772182255,0.9622302158273381,5.932817337461301,5.401860744297719,1.113977204559088,0.5113908872901679,0.5191846522781774,0.8094663852879108,3317.0
wave1_jun_jul,28971,NFusion CA 91761 Warehouse CA11,"GigaCloud Trading, Inc.",Outdoor Furniture,Amy Connell,2026-07-05,weekday,pre,1.0,4369.0,0.001373311970702678,0.010986495765621425,0.006414662084765177,0.004581901489117984,0.7317463950560769,1172.0000000000002,1.296864271000229,0.9398031586175326,6.388954448902525,6.024552547039926,1.2950744558991982,0.40627145799954223,0.4417486839093614,0.7904893177119228,4353.0
wave1_jun_jul,34809,Safavieh GA31407 B,Safavieh,Rugs,Alex Resnick,2026-07-05,fri_sat,post,1.0,2738.0,0.7399561723886048,0.5383491599707816,0.0,0.5385458531238583,0.7154857560262966,778.9999999999999,1.1168736303871438,0.47552958363769177,4.496641791044776,3.99743964886613,1.3028863719400803,0.8842220598977356,0.8849525200876552,0.8400439238653001,2732.0
wave1_jun_jul,34809,Safavieh GA31407 B,Safavieh,Rugs,Alex Resnick,2026-07-05,fri_sat,pre,1.0,2455.0,0.0,0.6089613034623218,0.0,0.6089613034623218,0.9910386965376782,22.000000000000078,2.1209775967413442,0.0,4.902823920265781,4.359413202933985,1.3637474541751526,0.8374745417515275,0.8276985743380856,0.8140293637846656,2452.0
wave1_jun_jul,34809,Safavieh GA31407 B,Safavieh,Rugs,Alex Resnick,2026-07-05,sunday,post,1.0,2056.0,0.20622568093385213,0.01556420233463035,0.0,0.015594541910331383,0.7830739299610895,446.0,0.8312256809338522,0.7903696498054474,4.004466501240695,3.5653021442495128,1.0350877192982457,0.931420233463035,0.9348249027237354,0.8994140625,2048.0
wave1_jun_jul,34809,Safavieh GA31407 B,Safavieh,Rugs,Alex Resnick,2026-07-05,sunday,pre,1.0,1595.0,0.0,0.03134796238244514,0.0,0.03134796238244514,0.8683385579937304,210.00000000000003,1.2727272727272727,0.7498432601880878,4.407928388746803,3.9277638190954773,1.342319749216301,0.9147335423197492,0.9109717868338558,0.8881206788183532,1591.0
wave1_jun_jul,34809,Safavieh GA31407 B,Safavieh,Rugs,Alex Resnick,2026-07-05,weekday,post,1.0,5487.0,0.0007289958082741025,0.001822489520685256,0.0007291286912139992,0.001093693036820999,0.928922908693275,390.00000000000017,0.6743211226535447,0.647348277747403,3.8406040268456376,3.325,0.6669704702880058,0.8888281392381994,0.9008565700747221,0.8508997429305912,5446.0
wave1_jun_jul,34809,Safavieh GA31407 B,Safavieh,Rugs,Alex Resnick,2026-07-05,weekday,pre,1.0,5458.0,0.0,0.0021986075485525836,0.00018328445747800586,0.0020161290322580645,0.8451813851227555,845.0000000000003,0.8657017222425797,0.6401612312202272,4.172246119319245,3.524307466519905,0.8005499541704858,0.8679003297911323,0.8831073653352877,0.8590308370044053,5448.0
wave1_jun_jul,59119,Safavieh CA 92518,Safavieh,Rugs,Alex Resnick,2026-07-05,fri_sat,post,1.0,3160.0,0.6762658227848102,0.5281645569620254,0.001266624445851805,0.5272324255858138,0.7199367088607594,885.0000000000001,1.0189933523266856,0.4651898734177215,5.042512077294686,4.579080824088748,1.2200759974667512,0.6560126582278482,0.6835443037974683,0.805087440381558,3145.0
wave1_jun_jul,59119,Safavieh CA 92518,Safavieh,Rugs,Alex Resnick,2026-07-05,fri_sat,pre,1.0,3222.0,0.0006207324643078833,0.585350713842334,0.000931098696461825,0.5844196151458722,0.9878957169459963,38.99999999999987,2.004345127250155,0.0,5.431459254579911,4.89137181874612,1.3795779019242707,0.6052141527001862,0.6654252017380509,0.8624223602484472,3220.0
wave1_jun_jul,59119,Safavieh CA 92518,Safavieh,Rugs,Alex Resnick,2026-07-05,sunday,post,1.0,2352.0,0.3120748299319728,0.036989795918367346,0.0,0.03702127659574468,0.7142857142857143,672.0,0.8886054421768708,0.6840986394557823,4.439276485788113,4.072827938671209,0.9851063829787234,0.9026360544217688,0.8584183673469388,0.861051731509192,2339.0
wave1_jun_jul,59119,Safavieh CA 92518,Safavieh,Rugs,Alex Resnick,2026-07-05,sunday,pre,1.0,1907.0,0.0,0.03932878867330886,0.0,0.03932878867330886,0.9963293130571579,6.999999999999916,1.3057157839538542,0.7262716308337703,4.8110526315789475,4.359202936549554,1.0052438384897746,0.8531725222863136,0.8148925013109596,0.8708661417322835,1905.0
wave1_jun_jul,59119,Safavieh CA 92518,Safavieh,Rugs,Alex Resnick,2026-07-05,weekday,post,1.0,6131.0,0.0008155276463872126,0.000978633175664655,0.0006530612244897959,0.00032653061224489796,0.9760234871962159,147.0000000000003,0.5584013050570963,0.509052356874898,4.5342762063227955,3.9298675821481117,0.537469387755102,0.690751916489969,0.7329962485728266,0.8831423895253683,6110.0
wave1_jun_jul,59119,Safavieh CA 92518,Safavieh,Rugs,Alex Resnick,2026-07-05,weekday,pre,1.0,6541.0,0.00030576364470264486,0.001834581868215869,0.0003058571647040832,0.001529285823520416,0.9804311267390308,127.99999999999976,0.7304693471946185,0.5246904143097386,4.699079132199157,4.151904543368517,0.577458326961309,0.7023390918819752,0.7232839015441064,0.8289655172413793,6525.0
wave1_jun_jul,59466,nuLOOM CA 95206,nuLOOM,Rugs,Brianna Barrett,2026-07-12,fri_sat,post,1.0,1158.0,0.7573402417962003,0.7348877374784111,0.4407951598962835,0.29472774416594644,0.9835924006908463,18.999999999999982,1.044041450777202,0.5233160621761658,5.107705779334501,4.327272727272727,0.5358686257562663,0.7124352331606217,0.7504317789291882,0.8067590987868284,1154.0
wave1_jun_jul,59466,nuLOOM CA 95206,nuLOOM,Rugs,Brianna Barrett,2026-07-12,fri_sat,pre,1.0,1684.0,0.0,0.588479809976247,0.3972684085510689,0.19121140142517815,0.9958432304038005,6.99999999999993,2.169833729216152,0.0,5.858091787439614,4.783462224866151,0.8206650831353919,0.6211401425178147,0.7078384798099763,0.9290822407628129,1678.0
wave1_jun_jul,59466,nuLOOM CA 95206,nuLOOM,Rugs,Brianna Barrett,2026-07-12,sunday,post,1.0,850.0,0.39176470588235296,0.46941176470588236,0.0,0.46996466431095407,0.9694117647058823,26.00000000000004,0.6129411764705882,0.6058823529411764,4.300832342449465,3.878680800942285,0.5371024734982333,0.8270588235294117,0.8658823529411764,0.9574970484061394,847.0
wave1_jun_jul,59466,nuLOOM CA 95206,nuLOOM,Rugs,Brianna Barrett,2026-07-12,sunday,pre,1.0,1097.0,0.0,0.3154056517775752,0.0,0.3156934306569343,0.9963536918869644,4.000000000000018,1.0145852324521423,0.9963536918869644,4.681399631675875,4.311985361390668,0.7034671532846716,0.7702825888787602,0.780309936189608,0.9019248395967002,1091.0
