wave,order_bucket,weeks_from_enable,week_start,n_suppliers,vol,weekend_msbd,weekend_ship,sat_ship,sun_ship,ifr,late_orders,o2s_stated,o2s_stated_1,o2d_stated,o2d_actual,o2s_actual,fast_badge,o2d_actual_less5,o2d_det,det_del_rel,del_rel,delivered_vol,det_vol
other,fri_sat,-6,2026-06-07,1.0,26.0,0.0,0.0,0.0,0.0,0.9230769230769231,1.9999999999999987,2.230769230769231,0.0,6.115384615384615,5.846153846153846,2.4615384615384617,0.23076923076923078,0.34615384615384615,5.8076923076923075,0.6923076923076923,0.8076923076923077,26.0,26.0
other,fri_sat,-5,2026-06-14,1.0,18.0,0.05555555555555555,0.0,0.0,0.0,0.9444444444444444,1.0000000000000004,6.666666666666667,0.0,6.928571428571429,6.388888888888889,2.5555555555555554,0.3333333333333333,0.3888888888888889,5.071428571428571,0.6428571428571429,0.6666666666666666,18.0,14.0
other,fri_sat,-4,2026-06-21,1.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,2.3333333333333335,0.0,7.44,7.0,2.3333333333333335,0.1111111111111111,0.14814814814814814,6.08,0.4,0.8076923076923077,26.0,25.0
other,fri_sat,-3,2026-06-28,1.0,37.0,0.0,0.0,0.0,0.0,1.0,0.0,2.675675675675676,0.0,6.166666666666667,5.72972972972973,2.675675675675676,0.43243243243243246,0.43243243243243246,5.722222222222222,0.9722222222222222,1.0,36.0,36.0
other,fri_sat,-2,2026-07-05,1.0,14.0,0.0,0.07142857142857142,0.07142857142857142,0.0,0.9285714285714286,0.9999999999999996,2.357142857142857,0.0,9.0,5.857142857142857,2.4285714285714284,0.35714285714285715,0.35714285714285715,7.6923076923076925,0.7692307692307693,0.8571428571428571,14.0,13.0
other,fri_sat,-1,2026-07-12,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,1.875,0.0,6.857142857142857,5.5,1.875,0.375,0.25,5.666666666666667,0.6666666666666666,0.625,8.0,6.0
other,fri_sat,0,2026-07-19,1.0,20.0,0.1,0.0,0.0,0.0,1.0,0.0,4.9,0.0,5.294117647058823,4.95,2.1,0.5,0.55,4.666666666666667,0.8333333333333334,0.8,20.0,18.0
other,fri_sat,1,2026-07-26,1.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,2.2,0.0,4.923076923076923,5.8,2.2,0.4,0.4666666666666667,4.466666666666667,0.7333333333333333,0.7857142857142857,14.0,15.0
other,fri_sat,2,2026-08-02,1.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,5.375,5.7,2.0,0.3,0.5,5.285714285714286,0.5714285714285714,0.6,10.0,7.0
other,fri_sat,3,2026-08-09,1.0,17.0,0.0,0.0,0.0,0.0,1.0,0.0,2.4705882352941178,0.0,5.6,5.705882352941177,2.4705882352941178,0.29411764705882354,0.29411764705882354,5.533333333333333,1.0,0.8823529411764706,17.0,15.0
