parentsuid,parentsuname,srm,warehouse_names,ifr
329,Nourison,Alex Melius,Nourison PA 18067,99.0%
405,Linon,Connor Henderson,Linon CA 92408,86.0%
1143,simplehuman,Bryn Bennett,simplehuman CA 90808,98.0%
2022,Ashley Furniture,Anne Marie Conde,"Ashley Furniture MS 38841, Ashley Furniture WI 54612",98.5%
3215,"GigaCloud Trading, Inc.",Amy Connell,NFusion CA El Monte,95.0%
5725,Aosom LLC,Amber Xiang,Aosom LLC CA 92374,99.0%
10585,Craig Frames Inc.,Carly Baker,Craig Frames Inc.,99.0%
19185,Bare Home,Jaiden Lawlor,TwinXLcom MN,99.0%
22539,AMEZIEL INC,Carl Li,"AMEZIEL INC AW-TX 77489, AMEZIEL INC IN 46219",91.0%
38830,Costway,David Liu,"Costway NJ 08505, Costway CA 92337B",93.0%
38965,Annie Selke,Rachel Markham,Annie Selke NJ 08512,94.0%
39357,Westin Outdoor,Isha Singh,Westin Outdoor GA 31320,88.0%
46710,Alphamarts,Melody Lu,"Alphamarts TX 77521(2), Alphamarts AL 08505",89.5%
46852,Yaheetech,Louisa Zhang,Yaheetech NJ 07036,98.0%
47495,Spreetail,Claire Przybocki,"VM MP, LLC PA 18634, VM MP, LLC IN 46143, VM MP, LLC GA 31308",95.0%
49538,NORTH ELM ARTISAN LLC_1,Nicole Sun,SmartStandard CA 92337,98.0%
49963,"Sorara Outdoor Living USA, Inc.",Yun Yau,"Sorara Outdoor Living USA, Inc. GA 30168",98.0%
50192,NEO CHAIR INC,Ashley Green,"NEO CHAIR INC GA 30567, NeoChair CA 90723, NeoChair TX 77507",96.7%
53692,YESURE INC.,Qiwen Fan,YESURE INC. CA 92571,98.0%
53997,Ningbo Jiangbei Fufu,Christal Ding,Ningbo Jiangbei Fufu CA 91761 (3),87.0%
54838,Grand Leisure Outdoor Product Co.,Melody Lu,Grand Leisure Outdoor Product CA 92335,95.0%
58041,YISHANG TRADE INC,Melody Lu,"SLM CA3, SLM TX2",91.5%
58624,"Haomaijia Technology (Shenzhen) Co., LTD",Sean Xu,"Haomaijia Technology (Shenzhen) Co., LTD NJ 07036",91.0%
59450,EC EXPORT INC. NJ 08831,Ida Li,EC EXPORT INC. NJ 08505,98.0%
59517,Shenzhen Zhichen Trading Co. LTD.,Stella Yin,Shenzhen Zhichen Trading Co. LTD. CA 91748,98.0%
60257,Best Choice Products,Shannon Hoar,Best Choice Products IN 46231,94.0%
61200,"Zhejiang Xingyang Furniture Co.,Ltd.",Estrella Wang,"Zhejiang Xingyang Furniture Co.,Ltd. CA 92880",97.0%
61379,Eternadecor INC_1,Aria LI,Yii Lighting CA  92324,95.0%
61515,"HONGKONG OUSHENG NETWORK TECHNOLOGY CO.,LIMITED",Asia Supplier Service Desk,"Zhengzhou Bevi Import  Export Trading Co., Ltd. PA 19030",99.0%
61691,Gymax LLC,David Liu,"NINGBO JOYS IMP. EXP. CO.,LTD NJ 08505",99.0%
62368,Shenzhen Like Keji Youxiangongsi,Lydia Liu,Shenzhen Like Keji Youxiangongsi GA 31407,95.0%
63240,Brightech Inc.,Kya Mehlman,Brightech Inc. CA,95.0%
63305,"FUFU and GAGA Trade Co., Ltd.",Christal Ding,"FUFU and GAGA Trade Co., Ltd. NJ 08820, FUFU and GAGA Trade Co., Ltd. CA 91761 (3)",92.0%
